 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: Amapá
Período:2017
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Total"
"160010 Amapá";0;0;0;0;1;1
"160020 Calçoene";0;0;0;1;0;1
"160023 Ferreira Gomes";0;0;0;2;0;2
"160027 Laranjal do Jari";3;1;0;7;0;11
"160030 Macapá";53;14;1;132;0;200
"160040 Mazagão";0;0;0;1;0;1
"160050 Oiapoque";0;0;0;1;0;1
"160053 Porto Grande";0;0;0;1;0;1
"160060 Santana";2;0;0;5;0;7
"160080 Vitória do Jari";0;0;0;1;0;1
"Total";58;15;1;151;1;226
