 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Amapá
Período:2017
"Município (Res)";"1-4";"5-9";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"Total"
"160010 Amapá";0;0;0;1;0;0;0;0;0;1
"160020 Calçoene";0;0;0;1;0;0;0;0;0;1
"160023 Ferreira Gomes";0;0;0;1;0;1;0;0;0;2
"160027 Laranjal do Jari";1;0;0;2;5;1;2;0;0;11
"160030 Macapá";4;3;7;81;41;35;22;6;1;200
"160040 Mazagão";0;0;0;0;1;0;0;0;0;1
"160050 Oiapoque";0;0;0;1;0;0;0;0;0;1
"160053 Porto Grande";0;0;0;0;1;0;0;0;0;1
"160060 Santana";0;0;0;3;1;2;1;0;0;7
"160080 Vitória do Jari";0;0;0;0;0;1;0;0;0;1
"Total";5;3;7;90;49;40;25;6;1;226
