 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Sergipe
Período:2023
"Município (Res)";"1-4";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"280020 Aquidabã";0;0;1;0;0;0;0;0;0;1
"280030 Aracaju";2;4;75;75;69;32;19;4;1;281
"280040 Arauá";0;0;0;0;2;0;0;0;0;2
"280050 Areia Branca";0;0;0;0;1;0;0;0;0;1
"280060 Barra dos Coqueiros";0;0;1;1;0;0;0;0;0;2
"280110 Canhoba";0;0;0;0;1;0;0;0;0;1
"280120 Canindé de São Francisco";0;0;0;2;2;0;0;0;0;4
"280130 Capela";0;0;0;1;3;1;0;0;0;5
"280150 Carmópolis";0;0;0;0;1;0;0;0;0;1
"280170 Cristinápolis";0;0;0;0;0;0;1;0;0;1
"280200 Divina Pastora";0;0;0;1;0;0;0;0;0;1
"280210 Estância";1;0;0;1;1;3;0;0;0;6
"280220 Feira Nova";0;0;0;0;1;1;0;0;0;2
"280240 Gararu";0;0;0;1;0;0;0;0;0;1
"280250 General Maynard";0;1;0;0;0;0;0;0;0;1
"280280 Indiaroba";0;0;0;1;0;0;0;0;0;1
"280290 Itabaiana";0;0;0;2;2;2;0;0;0;6
"280300 Itabaianinha";0;0;1;0;0;0;0;0;0;1
"280320 Itaporanga d'Ajuda";0;0;3;2;3;2;0;1;0;11
"280340 Japoatã";0;0;0;0;1;0;0;0;0;1
"280350 Lagarto";0;0;2;1;1;1;0;0;0;5
"280360 Laranjeiras";0;0;0;0;1;1;0;0;0;2
"280370 Macambira";0;0;0;0;0;1;0;0;0;1
"280390 Malhador";0;0;0;0;1;1;0;0;0;2
"280445 Nossa Senhora Aparecida";0;0;0;0;1;0;0;0;0;1
"280450 Nossa Senhora da Glória";0;0;1;1;0;1;0;0;0;3
"280460 Nossa Senhora das Dores";0;0;0;0;1;2;0;0;0;3
"280470 Nossa Senhora de Lourdes";0;0;0;0;1;0;0;0;0;1
"280480 Nossa Senhora do Socorro";0;0;12;6;8;1;1;2;0;30
"280520 Pinhão";0;0;0;1;0;0;1;0;0;2
"280540 Poço Redondo";0;0;0;1;2;0;0;0;0;3
"280550 Poço Verde";0;0;0;0;0;1;0;0;0;1
"280560 Porto da Folha";0;0;0;1;0;0;1;0;0;2
"280570 Propriá";0;1;1;3;0;2;0;0;0;7
"280620 Salgado";0;0;0;1;0;1;0;0;0;2
"280630 Santa Luzia do Itanhy";0;0;1;0;0;0;0;0;0;1
"280660 Santo Amaro das Brotas";0;0;0;1;0;0;0;0;0;1
"280670 São Cristóvão";0;0;2;1;4;1;0;0;0;8
"280710 Simão Dias";0;0;0;0;0;0;1;0;0;1
"280730 Telha";0;0;1;0;0;0;0;0;0;1
"280740 Tobias Barreto";0;0;0;1;0;1;0;0;0;2
"280760 Umbaúba";0;0;1;2;1;0;0;0;0;4
"Total";3;6;102;107;108;55;24;7;1;413
