 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
UF Residência: São Paulo
Período:2022
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"não se aplica";"Total"
"350010 Adamantina";0;0;0;0;0;2;2;1;4;0;9
"350030 Aguaí";0;0;0;0;0;1;0;0;0;0;1
"350070 Agudos";0;0;0;0;1;0;0;0;0;0;1
"350100 Altinópolis";0;0;0;0;0;0;1;0;0;0;1
"350130 Álvares Machado";0;0;0;1;0;0;1;0;1;0;3
"350160 Americana";1;3;1;2;2;4;12;2;3;0;30
"350170 Américo Brasiliense";1;1;0;3;0;1;2;0;0;0;8
"350180 Américo de Campos";0;0;0;0;0;0;1;0;0;0;1
"350190 Amparo";0;0;1;0;0;1;1;1;0;0;4
"350210 Andradina";0;1;0;3;0;2;1;0;1;0;8
"350250 Aparecida";0;0;0;1;0;0;0;0;0;0;1
"350260 Aparecida d'Oeste";0;0;0;0;0;1;0;0;0;0;1
"350270 Apiaí";0;0;0;0;0;2;1;0;0;0;3
"350275 Araçariguama";0;1;0;1;0;1;0;0;1;0;4
"350280 Araçatuba";0;0;2;4;2;7;9;3;5;0;32
"350290 Araçoiaba da Serra";0;0;0;0;0;0;1;0;1;0;2
"350320 Araraquara";0;0;0;2;4;1;8;1;1;0;17
"350330 Araras";0;1;0;2;0;0;0;0;0;0;3
"350360 Areiópolis";0;0;0;0;0;0;1;0;0;0;1
"350380 Artur Nogueira";0;0;0;1;0;1;1;0;0;0;3
"350390 Arujá";1;1;0;0;0;1;0;0;1;0;4
"350400 Assis";0;2;0;1;2;2;4;0;2;0;13
"350410 Atibaia";0;0;0;0;1;1;3;0;3;0;8
"350420 Auriflama";0;0;0;0;1;0;1;0;0;0;2
"350450 Avaré";0;2;0;0;2;1;2;0;1;0;8
"350470 Balbinos";0;0;0;1;0;0;0;0;0;0;1
"350520 Bariri";0;0;0;0;0;1;0;0;0;0;1
"350530 Barra Bonita";0;0;0;0;0;2;0;0;0;0;2
"350550 Barretos";0;0;0;6;5;3;5;0;4;0;23
"350560 Barrinha";0;0;0;0;1;0;0;0;0;0;1
"350570 Barueri";1;2;2;3;6;13;37;7;4;0;75
"350580 Bastos";0;0;0;0;1;0;0;0;1;0;2
"350600 Bauru";0;2;1;6;11;4;30;1;13;0;68
"350610 Bebedouro";0;1;0;1;1;0;0;0;1;0;4
"350635 Bertioga";1;0;0;1;1;1;2;0;0;0;6
"350640 Bilac";0;1;0;0;0;0;0;0;0;0;1
"350650 Birigui";1;0;0;0;0;0;6;0;1;0;8
"350690 Bofete";0;0;0;0;0;0;0;0;1;0;1
"350700 Boituva";0;1;0;0;0;0;2;0;0;0;3
"350730 Boracéia";0;1;0;0;0;0;0;0;0;0;1
"350750 Botucatu";0;0;2;3;0;4;5;0;1;0;15
"350760 Bragança Paulista";0;2;0;2;2;1;9;2;0;0;18
"350780 Brodowski";0;1;0;0;0;0;0;0;0;0;1
"350790 Brotas";0;0;1;0;1;0;1;0;0;0;3
"350800 Buri";0;0;0;0;1;0;0;0;0;0;1
"350810 Buritama";0;0;1;0;0;0;1;0;0;0;2
"350840 Cabreúva";0;0;0;0;1;0;0;0;0;0;1
"350850 Caçapava";0;0;0;0;0;2;2;0;1;0;5
"350860 Cachoeira Paulista";0;0;0;0;1;1;3;0;0;0;5
"350900 Caieiras";0;1;1;0;1;1;6;0;1;0;11
"350910 Caiuá";0;0;0;0;0;1;0;0;0;0;1
"350920 Cajamar";0;0;0;0;0;1;7;1;1;0;10
"350925 Cajati";0;1;0;0;0;0;0;0;0;0;1
"350930 Cajobi";0;0;0;0;0;0;0;0;1;0;1
"350950 Campinas";1;11;5;13;7;14;40;3;21;0;115
"350960 Campo Limpo Paulista";0;0;0;1;0;1;1;0;1;0;4
"350970 Campos do Jordão";0;0;0;0;0;0;2;0;0;0;2
"351030 Capela do Alto";0;1;0;0;0;0;0;0;1;0;2
"351040 Capivari";0;1;0;2;1;3;2;0;0;0;9
"351050 Caraguatatuba";0;2;0;2;9;5;14;1;4;0;37
"351060 Carapicuíba";1;3;3;4;5;9;24;0;3;0;52
"351070 Cardoso";0;0;0;0;0;0;1;0;0;0;1
"351100 Castilho";0;0;1;0;0;1;0;0;0;0;2
"351110 Catanduva";0;1;1;1;3;1;3;0;3;0;13
"351120 Catiguá";0;1;0;0;0;0;0;0;0;0;1
"351130 Cedral";0;0;0;0;0;0;1;0;0;0;1
"351150 Cerquilho";0;0;0;1;0;1;0;0;0;0;2
"351200 Colina";0;2;0;0;0;0;0;0;0;0;2
"351230 Conchas";0;0;0;0;1;0;0;0;0;0;1
"351240 Cordeirópolis";0;1;0;1;0;0;0;0;0;0;2
"351280 Cosmópolis";0;0;0;0;1;1;1;0;0;0;3
"351300 Cotia";0;0;1;2;2;1;4;1;4;0;15
"351310 Cravinhos";0;1;0;0;0;0;0;0;0;0;1
"351340 Cruzeiro";0;0;0;2;1;2;2;0;2;0;9
"351350 Cubatão";0;1;0;1;1;3;5;1;1;0;13
"351370 Descalvado";0;0;0;0;0;1;0;0;0;0;1
"351380 Diadema";1;1;1;6;11;8;23;5;6;0;62
"351390 Divinolândia";0;0;0;0;0;0;1;0;0;0;1
"351410 Dois Córregos";0;0;0;0;0;0;1;0;0;0;1
"351440 Dracena";0;0;0;1;0;0;2;0;0;0;3
"351450 Duartina";0;1;0;0;0;0;0;0;1;0;2
"351490 Elias Fausto";0;1;0;0;0;0;0;1;0;0;2
"351500 Embu";0;0;0;2;3;3;6;0;0;0;14
"351510 Embu-Guaçu";0;0;0;1;1;1;1;0;0;0;4
"351518 Espírito Santo do Pinhal";0;0;0;0;1;0;0;0;0;0;1
"351540 Fartura";0;0;0;0;0;0;1;0;0;0;1
"351550 Fernandópolis";0;0;0;4;3;2;7;1;0;0;17
