 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: Roraima
Período:2018
"Município (Res)";"Branca";"Preta";"Parda";"Indígena";"Total"
"140005 Alto Alegre";0;0;2;1;3
"140002 Amajari";0;0;1;0;1
"140010 Boa Vista";41;6;152;11;210
"140017 Cantá";0;0;1;0;1
"140020 Caracaraí";0;0;2;0;2
"140023 Caroebe";1;0;1;0;2
"140040 Normandia";0;0;1;0;1
"140045 Pacaraima";0;0;0;1;1
"140047 Rorainópolis";1;0;4;0;5
"140050 São João da Baliza";0;0;1;0;1
"Total";43;6;165;13;227
