 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
UF Residência: Minas Gerais
Período:2018
"Município (Res)";"Masculino";"Feminino";"Total"
"314800 Patos de Minas";11;4;15
"314810 Patrocínio";8;1;9
"314850 Pavão";0;1;1
"314860 Peçanha";0;1;1
"314930 Pedro Leopoldo";6;0;6
"314970 Perdigão";1;1;2
"314990 Perdões";1;1;2
"315120 Pirapora";3;4;7
"315140 Pitangui";1;0;1
"315150 Piumhi";1;0;1
"315160 Planura";1;0;1
"315180 Poços de Caldas";6;3;9
"315200 Pompéu";2;0;2
"315210 Ponte Nova";5;4;9
"315250 Pouso Alegre";22;6;28
"315270 Prados";1;0;1
"315280 Prata";2;1;3
"315300 Pratinha";1;0;1
"315360 Prudente de Morais";0;1;1
"315400 Raul Soares";1;0;1
"315415 Reduto";1;0;1
"315430 Resplendor";0;1;1
"315460 Ribeirão das Neves";30;19;49
"315480 Rio Acima";1;0;1
"315490 Rio Casca";2;1;3
"315560 Rio Pardo de Minas";1;0;1
"315580 Rio Pomba";1;0;1
"315660 Rubim";1;0;1
"315670 Sabará";12;7;19
"315700 Salinas";1;0;1
"315720 Santa Bárbara";0;1;1
"315727 Santa Bárbara do Monte Verde";1;0;1
"315730 Santa Bárbara do Tugúrio";1;0;1
"315780 Santa Luzia";16;6;22
"315820 Santa Maria do Suaçuí";1;0;1
"315950 Santa Rita do Itueto";0;1;1
"315960 Santa Rita do Sapucaí";1;1;2
"315895 Santana do Paraíso";1;0;1
"315990 Santo Antônio do Amparo";1;0;1
"316040 Santo Antônio do Monte";3;0;3
"316070 Santos Dumont";3;1;4
"316210 São Gotardo";1;0;1
"316230 São João da Mata";1;0;1
"316250 São João del Rei";7;2;9
"316292 São Joaquim de Bicas";2;2;4
"316295 São José da Lapa";1;0;1
"316340 São José do Goiabal";1;0;1
"316370 São Lourenço";5;0;5
"316440 São Sebastião da Bela Vista";1;0;1
"316460 São Sebastião do Oeste";0;1;1
"316470 São Sebastião do Paraíso";3;3;6
"316500 São Tiago";1;0;1
"316553 Sarzedo";1;1;2
"316620 Senhora dos Remédios";1;0;1
"316690 Serrania";1;1;2
"316710 Serro";1;0;1
"316720 Sete Lagoas";50;20;70
"316810 Tapira";1;0;1
"316840 Tarumirim";0;1;1
"316860 Teófilo Otoni";18;9;27
"316870 Timóteo";14;4;18
"316900 Tocantins";1;1;2
"316920 Tombos";0;1;1
"316930 Três Corações";6;1;7
"316935 Três Marias";2;1;3
"316940 Três Pontas";7;3;10
"316970 Turmalina";0;1;1
"316990 Ubá";1;3;4
"317000 Ubaí";1;0;1
"317010 Uberaba";45;18;63
"317020 Uberlândia";143;44;187
"317030 Umburatiba";0;1;1
"317040 Unaí";4;3;7
"317050 Urucânia";1;2;3
"317070 Varginha";20;2;22
"317075 Varjão de Minas";1;0;1
"317080 Várzea da Palma";2;0;2
"317120 Vespasiano";13;5;18
"317130 Viçosa";11;2;13
"317160 Virgem da Lapa";1;0;1
"317200 Visconde do Rio Branco";2;1;3
"317210 Volta Grande";0;1;1
"310000 Município ignorado - MG";2;1;3
"Total";1909;614;2523
