 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
Ano Diagnóstico: 2017
UF Residência: Maranhão
Região Res.: Região Nordeste
UF Notificação: Maranhão
Período:2017
"Município (Res)";"< 1 ano";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"210670 Mirador";0;0;0;0;0;0;0;1;0;0;0;0;1
"210680 Mirinzal";0;0;0;0;0;0;1;1;0;0;0;0;2
"210690 Monção";1;0;0;0;0;1;0;0;1;0;0;0;3
"210735 Nova Olinda do Maranhão";0;0;0;0;0;1;0;0;1;0;0;0;2
"210740 Olho d'Água das Cunhãs";0;0;0;0;0;1;0;0;0;0;0;0;1
"210745 Olinda Nova do Maranhão";0;0;0;0;0;1;0;1;0;0;0;0;2
"210750 Paço do Lumiar";0;0;1;0;0;9;12;11;0;1;0;0;34
"210760 Palmeirândia";0;0;0;0;0;0;1;0;0;0;0;0;1
"210770 Paraibano";0;0;0;0;1;1;1;0;0;0;0;0;3
"210780 Parnarama";0;0;0;0;0;0;0;1;0;0;0;0;1
"210790 Passagem Franca";0;0;0;0;0;0;0;1;0;0;0;0;1
"210800 Pastos Bons";0;0;0;0;0;2;0;0;1;0;0;0;3
"210805 Paulino Neves";0;0;0;0;0;0;1;0;0;0;0;0;1
"210810 Paulo Ramos";0;0;0;0;0;0;1;1;0;0;0;0;2
"210820 Pedreiras";0;0;0;0;1;1;2;10;3;2;0;0;19
"210825 Pedro do Rosário";0;0;0;0;0;0;2;0;0;0;0;0;2
"210830 Penalva";0;0;0;0;0;1;0;2;1;0;0;0;4
"210840 Peri Mirim";0;0;0;0;0;0;0;2;0;0;0;0;2
"210845 Peritoró";0;0;0;0;0;0;3;0;1;1;0;0;5
"210850 Pindaré-Mirim";0;0;0;0;1;0;1;0;1;0;0;0;3
"210860 Pinheiro";0;0;0;0;0;6;8;5;3;1;0;0;23
"210870 Pio XII";0;0;0;0;0;1;0;0;0;0;0;0;1
"210880 Pirapemas";0;0;0;0;0;2;1;1;0;1;0;0;5
"210890 Poção de Pedras";0;0;0;0;0;0;1;0;0;0;1;0;2
"210900 Porto Franco";0;0;0;0;0;1;1;1;1;0;0;0;4
"210910 Presidente Dutra";0;0;0;0;0;1;0;1;1;0;0;0;3
"210923 Presidente Médici";0;0;0;0;0;0;1;0;0;0;0;0;1
"210930 Presidente Vargas";0;0;0;0;0;0;1;0;0;0;0;0;1
"210940 Primeira Cruz";0;0;0;0;0;1;0;0;0;0;0;0;1
"210945 Raposa";0;0;0;0;0;2;2;2;1;0;0;0;7
"210955 Ribamar Fiquene";0;0;0;0;0;0;0;1;0;0;0;0;1
"210960 Rosário";0;0;0;0;0;0;1;0;0;0;0;0;1
"210980 Santa Helena";0;0;0;0;0;1;1;1;0;1;0;0;4
"210990 Santa Inês";0;0;0;0;0;2;17;11;3;3;0;0;36
"211000 Santa Luzia";0;0;0;0;0;1;1;1;1;0;0;0;4
"211003 Santa Luzia do Paruá";0;0;0;0;0;0;1;0;1;0;0;0;2
"211010 Santa Quitéria do Maranhão";0;0;0;0;0;0;1;0;0;0;0;0;1
"211020 Santa Rita";0;0;0;0;0;2;1;0;0;0;0;0;3
"211030 Santo Antônio dos Lopes";0;0;0;0;0;1;0;0;0;0;0;0;1
"211040 São Benedito do Rio Preto";0;1;0;0;0;0;0;0;0;0;0;0;1
"211050 São Bento";0;0;0;0;0;1;2;4;0;0;0;0;7
"211060 São Bernardo";0;0;0;0;0;0;1;0;0;0;0;0;1
"211065 São Domingos do Azeitão";0;0;0;0;0;0;1;0;0;0;0;0;1
"211070 São Domingos do Maranhão";0;0;0;0;0;0;1;1;1;1;1;0;5
"211090 São Francisco do Maranhão";0;0;0;0;0;0;0;0;0;1;0;0;1
"211110 São João dos Patos";0;0;0;0;0;0;1;1;0;0;0;0;2
"211120 São José de Ribamar";0;0;0;0;2;16;17;10;3;2;0;0;50
"211130 São Luís";1;6;4;1;19;205;220;128;61;19;6;1;671
"211150 São Mateus do Maranhão";0;0;0;0;0;1;4;4;2;1;0;0;12
"211174 Senador Alexandre Costa";0;0;0;0;0;0;1;0;0;0;0;0;1
"211176 Senador La Rocque";0;0;0;0;0;0;0;1;1;0;0;0;2
"211178 Serrano do Maranhão";0;0;0;0;0;1;0;0;0;0;0;0;1
"211180 Sítio Novo";0;0;0;0;0;1;0;0;0;0;0;0;1
"211220 Timon";0;0;1;0;0;4;4;4;3;0;0;0;16
"211223 Trizidela do Vale";0;0;0;0;0;0;1;2;2;0;0;0;5
"211230 Tuntum";0;0;0;0;0;0;0;1;0;0;0;0;1
"211240 Turiaçu";0;0;0;0;0;1;1;0;1;0;0;0;3
"211245 Turilândia";0;0;0;0;0;2;1;1;1;0;1;0;6
"211250 Tutóia";0;0;0;0;0;1;2;1;0;0;0;0;4
"211260 Urbano Santos";0;0;0;0;0;1;2;0;0;0;0;0;3
"211270 Vargem Grande";0;0;0;0;0;0;1;0;0;0;0;0;1
"211280 Viana";0;0;0;0;0;1;2;1;2;0;0;0;6
"211290 Vitória do Mearim";0;0;0;0;0;1;1;0;0;0;0;0;2
"211300 Vitorino Freire";0;0;0;0;0;1;1;1;0;0;0;0;3
"211400 Zé Doca";0;0;0;0;0;0;0;1;0;0;0;0;1
"Total";5;9;8;1;38;374;485;307;140;54;17;2;1440
