 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: São Paulo
Período:2020
"Município (Res)";"< 1 ano";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"351350 Cubatão";0;0;0;0;0;3;2;1;1;0;0;0;7
"351360 Cunha";0;0;0;0;0;0;0;0;1;0;0;0;1
"351370 Descalvado";0;0;0;0;0;0;0;1;0;0;0;0;1
"351380 Diadema";0;0;0;0;0;7;11;12;4;3;1;0;38
"351430 Dourado";0;0;0;0;0;0;1;1;0;0;0;0;2
"351440 Dracena";0;0;0;0;0;4;0;2;1;0;0;0;7
"351450 Duartina";0;0;0;0;0;0;0;1;1;0;0;0;2
"351490 Elias Fausto";0;0;0;0;0;0;1;2;0;0;0;0;3
"351500 Embu";0;0;0;0;0;13;6;9;2;1;0;0;31
"351510 Embu-Guaçu";0;0;0;0;0;0;0;0;1;0;0;0;1
"351515 Engenheiro Coelho";0;0;0;0;0;1;0;0;0;0;0;0;1
"351518 Espírito Santo do Pinhal";0;0;0;0;0;0;2;1;0;0;0;0;3
"351550 Fernandópolis";0;0;0;0;0;6;3;4;0;0;0;0;13
"351570 Ferraz de Vasconcelos";0;0;0;0;0;1;4;3;3;1;0;0;12
"351590 Floreal";0;0;0;0;0;0;0;0;1;0;0;0;1
"351600 Flórida Paulista";0;0;0;0;0;0;0;1;1;0;0;0;2
"351610 Florínia";0;0;0;0;0;1;0;0;0;0;0;0;1
"351620 Franca";0;0;0;0;1;8;7;7;3;2;3;0;31
"351630 Francisco Morato";0;0;0;0;0;5;4;4;3;2;0;0;18
"351640 Franco da Rocha";0;0;0;0;0;4;10;4;4;0;0;0;22
"351690 General Salgado";0;0;0;0;0;1;1;0;0;0;0;0;2
"351700 Getulina";0;0;0;0;0;1;0;0;0;0;0;0;1
"351720 Guaiçara";0;0;0;0;0;0;0;1;0;0;0;0;1
"351730 Guaimbê";0;0;0;0;0;0;0;0;1;0;0;0;1
"351740 Guaíra";0;0;0;0;0;0;2;0;3;0;0;0;5
"351750 Guapiaçu";0;0;0;0;0;0;0;0;1;0;0;0;1
"351770 Guará";0;0;0;0;0;0;1;1;1;1;0;0;4
"351780 Guaraçaí";0;0;0;0;0;0;1;0;0;0;0;0;1
"351790 Guaraci";0;0;0;0;0;0;0;1;1;0;0;0;2
"351810 Guarantã";0;0;0;0;0;0;0;0;0;0;1;0;1
