 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Espírito Santo
Período:2019
"Município (Res)";"< 1 ano";"1-4";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"320010 Afonso Cláudio";0;0;0;1;0;0;0;0;0;0;1
"320030 Alfredo Chaves";0;0;0;0;0;1;0;0;0;0;1
"320050 Apiacá";0;0;0;0;1;0;0;0;0;0;1
"320060 Aracruz";0;0;2;3;6;3;2;0;0;0;16
"320080 Baixo Guandu";0;0;0;0;1;0;0;0;0;0;1
"320090 Barra de São Francisco";0;0;0;0;2;1;1;0;0;0;4
"320110 Bom Jesus do Norte";0;0;1;1;0;0;0;0;0;0;2
"320120 Cachoeiro de Itapemirim";0;0;0;6;8;15;8;5;2;0;44
"320130 Cariacica";0;0;2;10;14;12;4;3;2;1;48
"320140 Castelo";0;0;0;0;0;1;0;0;0;0;1
"320150 Colatina";0;0;1;4;10;5;7;2;0;0;29
"320160 Conceição da Barra";0;0;0;0;0;0;1;0;0;0;1
"320210 Ecoporanga";0;0;0;0;1;0;0;0;0;0;1
"320220 Fundão";0;0;0;1;0;0;0;0;0;0;1
"320230 Guaçuí";0;0;0;3;2;1;1;0;0;0;7
"320240 Guarapari";0;0;0;4;9;5;1;1;1;0;21
"320245 Ibatiba";0;0;0;0;0;1;0;0;0;0;1
"320250 Ibiraçu";0;0;0;0;1;0;0;0;0;0;1
"320280 Itapemirim";0;0;0;1;0;1;0;0;0;0;2
"320290 Itarana";0;0;0;0;0;0;1;0;0;0;1
"320300 Iúna";0;0;0;0;1;0;0;0;0;0;1
"320305 Jaguaré";0;0;0;0;0;1;1;0;0;0;2
"320313 João Neiva";0;0;0;0;2;0;0;0;1;0;3
"320320 Linhares";0;0;1;3;4;12;2;7;1;0;30
"320332 Marataízes";0;0;0;0;1;0;0;0;0;0;1
"320334 Marechal Floriano";0;0;0;0;1;0;0;0;0;0;1
"320335 Marilândia";0;0;0;0;0;1;0;0;0;0;1
"320360 Mucurici";0;0;0;0;0;0;1;0;0;0;1
"320380 Muqui";0;0;0;1;0;0;0;0;0;0;1
"320390 Nova Venécia";0;0;0;1;2;2;0;1;0;0;6
"320400 Pancas";0;0;0;1;0;0;1;0;0;0;2
"320405 Pedro Canário";0;0;0;0;0;2;1;0;0;0;3
"320420 Piúma";0;0;0;0;1;0;0;0;0;0;1
"320430 Presidente Kennedy";0;0;0;1;0;0;0;0;0;0;1
"320435 Rio Bananal";0;0;0;0;0;1;0;0;0;0;1
"320450 Santa Leopoldina";0;0;0;0;0;1;0;1;0;0;2
"320455 Santa Maria de Jetibá";0;0;0;0;0;0;1;0;0;0;1
"320460 Santa Teresa";0;0;0;0;0;0;1;0;0;0;1
"320465 São Domingos do Norte";0;0;0;1;0;0;0;0;0;0;1
"320470 São Gabriel da Palha";0;0;0;0;3;0;1;0;0;0;4
"320480 São José do Calçado";0;0;0;0;0;0;1;0;0;0;1
"320490 São Mateus";0;0;3;12;19;10;9;3;0;0;56
"320495 São Roque do Canaã";0;0;0;0;1;0;0;0;0;0;1
"320500 Serra";0;0;3;31;38;22;17;9;2;0;122
"320501 Sooretama";0;0;0;0;0;0;1;0;1;0;2
"320510 Viana";0;0;0;3;5;6;1;0;0;0;15
"320515 Vila Pavão";0;0;0;0;0;0;1;0;0;0;1
"320517 Vila Valério";0;0;0;0;0;0;1;0;0;0;1
"320520 Vila Velha";0;0;4;46;46;30;14;7;0;0;147
"320530 Vitória";1;2;2;22;28;19;17;6;2;1;100
"Total";1;2;19;156;207;153;97;45;12;2;694
