 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Rio de Janeiro
Período:2022
"Município (Res)";"< 1 ano";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"ignorado";"Total"
"330010 Angra dos Reis";0;0;0;0;0;5;15;3;6;0;0;0;0;29
"330015 Aperibé";0;0;0;0;0;1;0;0;0;0;0;0;0;1
"330020 Araruama";0;0;0;0;1;1;3;5;1;2;0;0;0;13
"330022 Areal";0;0;0;0;0;0;2;1;0;1;0;0;0;4
"330023 Armação dos Búzios";0;0;0;0;0;0;2;1;1;1;0;0;0;5
"330025 Arraial do Cabo";0;0;0;0;0;3;2;2;2;0;0;0;0;9
"330030 Barra do Piraí";0;0;0;0;0;4;5;5;2;0;0;0;0;16
"330040 Barra Mansa";0;0;0;0;0;1;8;4;6;1;1;0;0;21
"330045 Belford Roxo";3;1;0;0;0;46;22;20;16;1;1;0;0;110
"330050 Bom Jardim";0;0;0;0;0;0;0;0;1;0;0;0;0;1
"330060 Bom Jesus do Itabapoana";0;0;0;0;0;2;2;3;1;0;0;0;0;8
"330070 Cabo Frio";0;1;0;0;1;14;18;16;5;7;0;0;0;62
"330080 Cachoeiras de Macacu";0;0;0;0;0;2;0;3;0;0;0;0;0;5
"330100 Campos dos Goytacazes";1;0;0;0;2;25;44;32;12;10;0;0;0;126
"330093 Carapebus";0;0;0;0;0;1;0;0;0;0;0;0;0;1
"330120 Carmo";0;0;0;0;0;1;1;2;0;1;0;0;0;5
"330130 Casimiro de Abreu";0;0;0;0;0;1;2;1;3;1;0;0;0;8
"330095 Comendador Levy Gasparian";0;0;0;0;0;0;0;0;0;0;1;0;0;1
"330140 Conceição de Macabu";0;0;0;0;0;0;0;1;0;0;0;0;0;1
"330150 Cordeiro";0;0;0;0;0;0;1;2;1;0;0;0;0;4
"330170 Duque de Caxias";2;2;1;1;7;50;72;61;30;8;1;0;0;235
"330180 Engenheiro Paulo de Frontin";0;0;0;0;0;0;0;1;0;0;0;0;0;1
"330185 Guapimirim";0;0;0;0;1;2;4;3;1;0;0;1;0;12
"330187 Iguaba Grande";0;0;0;0;0;1;1;3;0;0;0;0;0;5
"330190 Itaboraí";0;0;0;0;3;5;18;19;3;2;0;1;0;51
"330200 Itaguaí";0;0;0;1;0;4;6;6;3;2;0;0;0;22
"330220 Itaperuna";0;0;0;0;0;10;2;9;3;0;0;0;0;24
"330225 Itatiaia";0;0;0;0;0;0;2;0;0;0;0;0;0;2
"330227 Japeri";0;0;0;0;1;10;12;10;2;3;1;0;0;39
"330230 Laje do Muriaé";0;0;0;0;0;0;1;0;0;0;0;0;0;1
"330240 Macaé";0;1;0;0;0;29;24;20;19;3;3;0;0;99
"330250 Magé";1;0;0;0;1;20;18;9;10;3;0;0;0;62
"330260 Mangaratiba";0;0;0;0;0;4;2;2;2;1;0;0;0;11
"330270 Maricá";0;0;0;0;0;10;6;11;7;1;1;0;0;36
"330280 Mendes";0;0;0;0;0;0;0;0;1;0;0;0;0;1
"330285 Mesquita";0;0;0;0;1;18;16;12;5;2;0;0;0;54
"330290 Miguel Pereira";0;0;0;0;0;0;0;1;0;0;0;0;0;1
"330300 Miracema";0;0;0;0;0;2;0;1;0;0;0;1;0;4
"330310 Natividade";0;0;0;0;0;0;1;2;1;1;0;0;0;5
"330320 Nilópolis";0;0;0;0;0;6;3;5;5;4;0;0;0;23
"330330 Niterói";1;1;1;0;1;31;27;28;20;9;2;0;0;121
"330340 Nova Friburgo";0;0;0;0;2;8;11;2;2;1;1;0;0;27
"330350 Nova Iguaçu";0;4;1;0;8;89;78;63;43;12;3;2;0;303
"330360 Paracambi";0;0;0;0;0;3;4;0;2;0;0;0;0;9
"330370 Paraíba do Sul";0;0;0;0;0;0;1;2;2;1;0;0;0;6
"330380 Parati";0;0;0;0;0;0;2;3;0;0;0;0;0;5
"330390 Petrópolis";0;1;0;0;1;13;19;13;2;1;0;0;0;50
"330395 Pinheiral";0;0;0;0;0;0;1;2;3;0;0;0;0;6
"330400 Piraí";0;0;0;0;0;1;2;2;2;0;0;1;0;8
"330410 Porciúncula";0;0;0;0;0;0;1;0;0;0;0;0;0;1
"330411 Porto Real";0;0;0;0;0;0;1;1;0;0;0;0;0;2
"330412 Quatis";0;0;0;0;0;0;1;1;0;0;0;0;0;2
"330414 Queimados";1;0;0;0;0;13;9;11;2;2;1;0;0;39
"330415 Quissamã";0;1;0;0;0;2;0;0;0;0;1;0;0;4
"330420 Resende";0;0;0;0;2;4;11;13;4;1;0;0;0;35
"330430 Rio Bonito";0;0;0;0;0;2;4;4;2;0;0;0;0;12
"330452 Rio das Ostras";0;0;0;0;0;8;6;9;7;2;0;0;0;32
"330455 Rio de Janeiro";4;9;3;4;28;468;504;398;235;89;15;5;1;1763
"330470 Santo Antônio de Pádua";0;0;0;0;0;0;0;1;1;0;0;0;0;2
"330480 São Fidélis";0;0;0;0;0;0;1;0;1;0;0;0;0;2
"330475 São Francisco de Itabapoana";0;0;0;0;0;1;0;0;0;0;0;0;0;1
"330490 São Gonçalo";2;3;2;1;3;61;54;49;30;10;3;0;0;218
"330500 São João da Barra";0;0;1;0;0;1;3;1;1;0;0;0;0;7
"330510 São João de Meriti";0;0;1;1;0;31;30;20;10;8;1;0;0;102
