 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: Roraima
Período:2020
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Total"
"140005 Alto Alegre";0;0;0;2;0;2
"140010 Boa Vista";14;6;1;84;6;111
"140017 Cantá";0;0;0;2;0;2
"140020 Caracaraí";0;0;0;3;0;3
"140023 Caroebe";0;0;0;2;0;2
"140028 Iracema";0;1;0;0;0;1
"140030 Mucajaí";0;0;0;1;0;1
"140045 Pacaraima";0;0;0;2;0;2
"140047 Rorainópolis";0;0;0;3;0;3
"140050 São João da Baliza";0;0;0;1;0;1
"140060 São Luiz";0;1;0;0;0;1
"140070 Uiramutã";0;0;0;1;0;1
"Total";14;8;1;101;6;130
