 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
Ano Diagnóstico: 2024
UF Residência: Maranhão
Região Res.: Região Nordeste
UF Notificação: Maranhão
Região Not.: Região Nordeste
Período:2024
"Município (Res)";"< 1 ano";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"210900 Porto Franco";0;0;0;0;0;0;0;1;1;0;0;0;2
"210910 Presidente Dutra";0;0;0;0;0;1;0;2;0;0;0;0;3
"210927 Presidente Sarney";0;0;0;0;0;0;0;1;0;0;0;0;1
"210960 Rosário";0;0;0;0;0;0;0;0;1;0;1;0;2
"210970 Sambaíba";0;0;0;0;0;0;0;1;0;0;0;0;1
"210980 Santa Helena";0;0;0;0;0;3;3;0;1;0;0;0;7
"210990 Santa Inês";0;0;0;0;0;3;7;10;2;1;1;0;24
"211000 Santa Luzia";0;0;0;0;0;1;1;1;0;0;0;0;3
"211003 Santa Luzia do Paruá";0;0;0;0;0;0;0;1;1;0;0;0;2
"211010 Santa Quitéria do Maranhão";0;0;0;0;0;0;1;0;0;0;0;0;1
"211020 Santa Rita";0;0;0;0;0;0;0;2;0;0;0;0;2
"211030 Santo Antônio dos Lopes";0;0;0;0;0;0;1;0;2;0;0;0;3
"211050 São Bento";0;0;0;0;0;3;2;0;0;0;0;0;5
"211060 São Bernardo";0;0;0;0;0;1;2;1;0;0;0;0;4
"211070 São Domingos do Maranhão";0;0;0;0;0;0;2;1;1;0;0;0;4
"211080 São Félix de Balsas";0;0;0;0;0;0;0;1;0;0;0;0;1
"211100 São João Batista";0;0;0;0;0;0;0;0;1;0;0;0;1
"211107 São João do Soter";0;0;0;0;0;1;0;0;1;1;0;0;3
"211110 São João dos Patos";0;0;0;0;0;0;0;0;0;0;1;0;1
"211120 São José de Ribamar";0;0;0;0;0;6;11;3;5;1;2;2;30
"211125 São José dos Basílios";0;0;0;0;0;1;0;0;0;0;0;0;1
"211130 São Luís";1;2;0;1;14;123;134;123;59;27;10;2;496
"211140 São Luís Gonzaga do Maranhão";0;0;0;0;0;1;0;0;0;0;0;0;1
"211150 São Mateus do Maranhão";0;0;0;0;0;2;1;1;1;0;0;0;5
"211153 São Pedro da Água Branca";0;0;0;0;1;0;0;0;1;0;0;0;2
"211157 São Pedro dos Crentes";0;0;0;0;0;0;0;1;0;0;0;0;1
"211160 São Raimundo das Mangabeiras";0;0;0;0;1;2;3;0;0;0;0;0;6
"211163 São Raimundo do Doca Bezerra";0;0;0;0;0;0;0;1;0;0;0;0;1
"211167 São Roberto";0;0;0;0;0;1;0;0;0;0;0;0;1
"211170 São Vicente Ferrer";0;0;0;0;0;0;0;1;0;0;0;0;1
"211172 Satubinha";1;0;0;0;0;0;0;0;0;0;0;0;1
"211174 Senador Alexandre Costa";0;0;0;0;0;0;0;1;0;0;0;0;1
"211176 Senador La Rocque";0;0;0;0;0;0;0;1;0;0;0;0;1
"211178 Serrano do Maranhão";0;0;0;0;0;1;0;0;0;0;0;0;1
"211210 Timbiras";0;0;0;0;0;0;1;0;0;0;0;0;1
"211220 Timon";0;0;0;0;0;14;10;12;7;2;0;0;45
"211223 Trizidela do Vale";0;0;0;0;0;2;0;0;1;0;0;0;3
"211245 Turilândia";1;0;1;0;0;0;1;1;0;1;0;0;5
"211250 Tutóia";0;0;0;0;0;0;0;0;0;2;0;0;2
"211260 Urbano Santos";0;0;0;0;0;1;0;1;0;0;0;0;2
"211280 Viana";0;0;0;0;0;0;0;1;0;0;0;0;1
"211290 Vitória do Mearim";0;0;1;0;0;1;2;0;0;0;0;0;4
"211300 Vitorino Freire";0;0;0;0;0;0;0;0;1;0;0;0;1
"211400 Zé Doca";0;0;0;0;0;0;0;0;0;1;0;0;1
"Total";3;2;4;1;33;291;346;318;163;79;30;10;1280
