 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Minas Gerais
Período:2025
"Município (Res)";"< 1 ano";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"313510 Janaúba";0;0;0;0;0;2;5;4;0;0;0;0;11
"313520 Januária";0;0;0;0;0;0;0;1;0;0;0;0;1
"313620 João Monlevade";0;0;0;0;0;2;2;0;0;0;0;0;4
"313670 Juiz de Fora";0;1;0;1;1;13;41;17;13;5;2;0;94
"313720 Lagoa da Prata";0;0;0;0;0;1;0;0;0;0;0;0;1
"313750 Lagoa Formosa";0;0;0;0;0;0;0;0;1;0;0;0;1
"313760 Lagoa Santa";0;0;0;0;0;1;0;1;1;0;0;0;3
"313780 Lambari";0;0;0;0;0;0;0;0;0;1;0;0;1
"313810 Lassance";0;0;0;0;0;0;0;0;1;0;0;0;1
"313820 Lavras";0;0;0;0;0;1;2;1;3;0;0;1;8
"313865 Lontra";0;0;0;0;0;0;1;0;0;0;0;0;1
"313920 Malacacheta";0;0;0;0;0;0;1;0;0;0;0;0;1
"313925 Mamonas";0;0;0;0;0;0;1;0;0;0;0;0;1
"313930 Manga";0;0;0;0;0;0;0;1;0;0;0;0;1
"313940 Manhuaçu";0;0;0;0;0;0;8;4;2;1;0;0;15
"313950 Manhumirim";0;0;0;0;0;0;0;0;1;0;0;0;1
"313960 Mantena";0;0;0;0;0;1;1;1;0;0;1;0;4
"313970 Maravilhas";0;0;0;0;0;0;1;0;0;0;0;0;1
"314000 Mariana";0;0;0;0;1;3;0;0;1;0;0;0;5
"314070 Mateus Leme";0;0;0;0;0;0;1;1;0;1;0;0;3
"314080 Matias Barbosa";0;0;0;0;0;1;0;0;0;0;0;0;1
"314110 Matozinhos";0;0;0;0;0;1;0;0;0;0;0;0;1
"314270 Montalvânia";0;0;0;0;0;1;1;0;0;0;0;0;2
"314310 Monte Carmelo";0;0;0;0;0;0;0;0;1;0;0;0;1
"314330 Montes Claros";0;0;0;0;4;16;25;9;5;4;1;0;64
"314390 Muriaé";0;0;0;0;0;3;2;1;4;1;0;1;12
"314430 Nanuque";0;0;0;0;0;0;1;0;0;0;0;0;1
"314480 Nova Lima";0;0;0;0;0;2;2;3;0;0;0;0;7
"314520 Nova Serrana";0;0;0;0;0;1;0;0;0;0;0;0;1
"314585 Oratórios";0;0;0;0;0;0;0;0;1;0;0;0;1
"314610 Ouro Preto";0;0;0;0;0;3;2;0;1;0;0;0;6
"314650 Pains";0;0;0;0;0;0;1;0;0;0;0;0;1
"314710 Pará de Minas";0;0;0;0;0;0;1;1;0;0;0;0;2
"314700 Paracatu";0;0;0;0;0;1;5;0;1;0;0;0;7
"314730 Paraisópolis";0;0;0;0;0;0;0;1;0;0;0;0;1
"314760 Passa Quatro";0;0;0;0;0;0;0;0;1;0;0;0;1
"314790 Passos";1;0;0;0;0;2;8;1;3;0;1;0;16
"314800 Patos de Minas";0;0;0;0;2;2;9;6;3;0;1;0;23
"314810 Patrocínio";0;0;0;0;0;1;0;0;0;0;0;0;1
"314890 Pedra do Indaiá";1;0;0;0;0;0;0;0;0;0;0;0;1
"314930 Pedro Leopoldo";0;0;0;0;0;0;1;1;0;0;0;0;2
"314980 Perdizes";0;0;0;0;0;0;0;1;0;0;0;0;1
"315120 Pirapora";0;0;0;0;0;1;1;1;0;2;1;0;6
"315140 Pitangui";0;0;0;0;0;0;0;1;0;0;0;0;1
"315180 Poços de Caldas";0;0;0;0;0;2;4;3;2;1;0;1;13
"315210 Ponte Nova";0;0;0;0;0;4;0;3;0;0;0;0;7
"315250 Pouso Alegre";0;0;0;0;0;3;6;4;0;0;0;0;13
"315460 Ribeirão das Neves";0;0;0;0;0;8;3;2;3;3;1;0;20
"315490 Rio Casca";0;0;0;0;0;0;0;1;0;0;0;0;1
"315600 Rio Vermelho";0;0;0;0;0;1;0;0;0;0;0;0;1
"315630 Rodeiro";0;0;0;0;0;1;0;0;0;0;0;0;1
"315670 Sabará";0;0;1;0;0;3;3;2;2;0;0;0;11
"315770 Santa Juliana";0;0;0;0;0;0;1;0;0;0;0;0;1
"315780 Santa Luzia";0;0;0;0;0;4;4;1;2;0;0;0;11
"315790 Santa Margarida";0;0;0;0;0;0;0;0;1;0;0;0;1
"315820 Santa Maria do Suaçuí";0;0;0;0;0;0;0;0;1;0;0;0;1
"315960 Santa Rita do Sapucaí";0;0;0;0;0;1;1;1;0;0;0;0;3
"316200 São Gonçalo do Sapucaí";0;0;0;0;0;0;0;0;1;0;0;0;1
"316210 São Gotardo";0;0;0;0;0;0;1;1;0;1;0;0;3
"316250 São João del Rei";0;0;0;0;0;0;3;5;3;0;0;0;11
"316292 São Joaquim de Bicas";0;0;0;0;0;1;0;1;0;0;0;0;2
"316295 São José da Lapa";0;0;0;0;0;0;0;1;0;0;0;0;1
"316370 São Lourenço";0;0;0;0;0;3;1;1;0;2;0;0;7
"316460 São Sebastião do Oeste";0;0;0;0;0;0;0;0;0;1;0;0;1
"316470 São Sebastião do Paraíso";0;0;0;0;0;1;1;4;0;1;0;0;7
"316553 Sarzedo";0;0;0;0;0;0;1;1;0;0;0;0;2
"316557 Senador Amaral";0;0;0;0;0;0;0;0;0;0;1;0;1
"316690 Serrania";0;0;0;0;0;0;0;1;0;0;0;0;1
"316720 Sete Lagoas";0;0;0;0;2;14;10;9;7;4;0;0;46
"316770 Sobrália";0;0;0;0;0;0;1;0;0;0;0;0;1
"316800 Taiobeiras";0;0;0;0;0;0;1;1;0;0;0;0;2
"316860 Teófilo Otoni";0;0;0;0;0;3;13;1;2;1;0;0;20
"316870 Timóteo";0;0;0;0;0;0;2;1;1;0;0;0;4
"316930 Três Corações";0;0;0;0;1;0;0;2;1;0;0;0;4
"316940 Três Pontas";0;0;0;0;0;1;1;1;2;0;0;0;5
"316990 Ubá";0;0;0;0;0;2;2;1;4;5;1;0;15
"317010 Uberaba";0;0;0;0;2;16;16;11;2;3;0;0;50
"317020 Uberlândia";0;0;0;0;0;30;39;24;16;5;0;1;115
"317040 Unaí";0;0;0;0;0;1;3;1;3;1;0;0;9
"317070 Varginha";0;0;0;0;0;0;1;3;3;0;0;0;7
"317120 Vespasiano";0;0;0;0;0;5;7;4;4;1;0;0;21
"317130 Viçosa";0;0;0;0;0;4;1;0;0;0;0;0;5
"317160 Virgem da Lapa";0;0;0;0;0;0;0;1;0;0;0;0;1
"317200 Visconde do Rio Branco";0;0;0;0;0;2;1;1;0;0;0;0;4
"Total";5;1;1;1;19;353;514;343;220;90;19;4;1570
