 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: Amapá
Período:2016
"Município (Res)";"Branca";"Preta";"Parda";"Indígena";"Ignorado";"Total"
"160021 Cutias";0;0;1;0;0;1
"160023 Ferreira Gomes";1;0;2;0;0;3
"160027 Laranjal do Jari";1;2;9;0;0;12
"160030 Macapá";37;12;145;0;5;199
"160050 Oiapoque";0;0;2;0;0;2
"160053 Porto Grande";0;0;1;0;0;1
"160060 Santana";4;0;2;1;0;7
"160070 Tartarugalzinho";0;0;1;0;0;1
"Total";43;14;163;1;5;226
