 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
Ano Diagnóstico: 2021
UF Residência: Bahia
Região Res.: Região Nordeste
Período:2021
"Município (Res)";"Masculino";"Feminino";"Ignorado";"Total"
"293220 Ubaitaba";1;1;0;2
"293230 Ubatã";1;0;0;1
"293240 Uibaí";1;0;0;1
"293250 Una";0;1;0;1
"293290 Valença";15;6;0;21
"293305 Várzea da Roça";0;1;0;1
"293320 Vera Cruz";2;0;0;2
"293330 Vitória da Conquista";37;18;0;55
"293340 Wagner";0;1;0;1
"293345 Wanderley";1;0;0;1
"293350 Wenceslau Guimarães";0;2;0;2
"293360 Xique-Xique";2;0;0;2
"290000 Município ignorado - BA";2;1;0;3
"Total";1338;590;1;1929
