 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: Tocantins
Período:2017
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Ignorado";"Total"
"170040 Almas";1;0;0;0;0;1
"170100 Ananás";0;0;0;1;0;1
"170110 Aparecida do Rio Negro";0;0;0;1;0;1
"170200 Araguaçu";0;0;0;1;0;1
"170210 Araguaína";16;2;1;72;0;91
"170220 Araguatins";0;1;0;1;0;2
"170255 Augustinópolis";2;0;0;0;0;2
"170290 Axixá do Tocantins";0;0;0;1;0;1
"170300 Babaçulândia";0;0;0;1;0;1
"170310 Barrolândia";0;0;0;1;0;1
"170384 Campos Lindos";0;0;0;3;0;3
"170390 Caseara";0;0;0;1;0;1
"170550 Colinas do Tocantins";0;0;0;3;0;3
"170600 Couto de Magalhães";0;0;0;1;0;1
"170700 Dianópolis";0;0;0;1;1;2
"170765 Figueirópolis";1;0;0;0;0;1
"170770 Filadélfia";0;0;0;1;0;1
"170930 Guaraí";0;0;0;2;0;2
"170950 Gurupi";2;0;0;16;0;18
"171070 Itaguatins";0;0;0;1;0;1
"171190 Lagoa da Confusão";2;0;0;1;0;3
"171420 Natividade";0;1;0;1;0;2
"171488 Nova Olinda";1;0;0;0;0;1
"171510 Novo Acordo";0;0;0;1;0;1
"172100 Palmas";24;7;0;51;0;82
"171610 Paraíso do Tocantins";3;0;0;16;1;20
"171650 Pedro Afonso";0;0;0;1;0;1
"171720 Piraquê";0;0;0;1;0;1
"171820 Porto Nacional";1;0;0;5;0;6
"171840 Presidente Kennedy";0;0;0;1;0;1
"171845 Pugmil";0;0;0;1;0;1
"172120 Tocantinópolis";0;0;0;1;0;1
"172208 Wanderlândia";0;0;0;1;0;1
"Total";53;11;1;189;2;256
