 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
UF Residência: São Paulo
Período:2015
"Município (Res)";"Masculino";"Feminino";"Total"
"353070 Mogi Guaçu";7;5;12
"353080 Moji Mirim";8;3;11
"353110 Mongaguá";4;2;6
"353120 Monte Alegre do Sul";1;0;1
"353130 Monte Alto";1;4;5
"353140 Monte Aprazível";3;1;4
"353160 Monte Castelo";1;0;1
"353180 Monte Mor";6;1;7
"353190 Morro Agudo";1;0;1
"353220 Narandiba";1;0;1
"353240 Nazaré Paulista";1;0;1
"353250 Neves Paulista";1;0;1
"353260 Nhandeara";2;0;2
"353280 Nova Aliança";1;0;1
"353300 Nova Granada";1;0;1
"353310 Nova Guataporanga";1;0;1
"353340 Nova Odessa";4;4;8
"353350 Novo Horizonte";1;1;2
"353390 Olímpia";5;3;8
"353440 Osasco";71;24;95
"353460 Osvaldo Cruz";4;0;4
"353470 Ourinhos";7;6;13
"353490 Pacaembu";1;0;1
"353520 Palmeira d'Oeste";2;0;2
"353540 Panorama";2;1;3
"353550 Paraguaçu Paulista";4;5;9
"353560 Paraibuna";1;0;1
"353620 Pariquera-Açu";0;1;1
"353630 Patrocínio Paulista";1;0;1
"353640 Paulicéia";1;1;2
"353650 Paulínia";5;7;12
"353660 Paulo de Faria";1;0;1
"353670 Pederneiras";2;0;2
"353710 Pedreira";3;0;3
"353720 Pedro de Toledo";0;1;1
"353730 Penápolis";3;0;3
"353740 Pereira Barreto";4;4;8
"353760 Peruíbe";4;3;7
"353780 Piedade";1;1;2
"353790 Pilar do Sul";1;0;1
"353800 Pindamonhangaba";18;5;23
"353820 Pinhalzinho";1;1;2
"353850 Piquete";0;1;1
"353870 Piracicaba";37;25;62
"353880 Piraju";2;0;2
"353890 Pirajuí";4;1;5
"353900 Pirangi";1;0;1
"353910 Pirapora do Bom Jesus";1;1;2
"353920 Pirapozinho";0;1;1
"353930 Pirassununga";2;2;4
"353950 Pitangueiras";0;1;1
"353980 Poá";9;3;12
"354010 Pongaí";1;0;1
"354020 Pontal";2;2;4
"354060 Porto Feliz";3;0;3
"354070 Porto Ferreira";2;1;3
"354075 Potim";1;1;2
"354085 Pracinha";1;0;1
"354100 Praia Grande";44;13;57
"354130 Presidente Epitácio";2;5;7
"354140 Presidente Prudente";46;15;61
"354150 Presidente Venceslau";2;4;6
"354160 Promissão";1;0;1
"354170 Quatá";0;1;1
"354220 Rancharia";2;1;3
"354240 Regente Feijó";2;2;4
"354260 Registro";9;11;20
"354330 Ribeirão Pires";7;4;11
"354340 Ribeirão Preto";124;66;190
"354370 Rincão";2;0;2
"354380 Rinópolis";0;1;1
"354390 Rio Claro";23;7;30
"354400 Rio das Pedras";2;1;3
"354410 Rio Grande da Serra";3;2;5
"354420 Riolândia";3;0;3
"354430 Roseira";1;0;1
"354500 Salesópolis";1;0;1
"354520 Salto";4;0;4
"354530 Salto de Pirapora";0;1;1
"354550 Sandovalina";1;0;1
"354580 Santa Bárbara d'Oeste";27;6;33
"354600 Santa Branca";1;0;1
"354610 Santa Clara d'Oeste";0;1;1
"354640 Santa Cruz do Rio Pardo";1;0;1
"354660 Santa Fé do Sul";4;2;6
"354670 Santa Gertrudes";1;0;1
"354750 Santa Rita do Passa Quatro";2;0;2
"354730 Santana de Parnaíba";2;1;3
"354770 Santo Anastácio";2;0;2
"354780 Santo André";74;28;102
"354790 Santo Antônio da Alegria";1;0;1
"354800 Santo Antônio de Posse";1;1;2
"354810 Santo Antônio do Jardim";1;0;1
"354830 Santo Expedito";2;1;3
"354850 Santos";89;31;120
"354870 São Bernardo do Campo";81;35;116
"354880 São Caetano do Sul";21;4;25
"354890 São Carlos";24;7;31
"354910 São João da Boa Vista";10;2;12
"354920 São João das Duas Pontes";1;0;1
"354940 São Joaquim da Barra";1;0;1
"354970 São José do Rio Pardo";4;4;8
"354980 São José do Rio Preto";98;52;150
"354990 São José dos Campos";76;25;101
"354995 São Lourenço da Serra";0;1;1
"355030 São Paulo";2074;588;2662
"355060 São Roque";6;3;9
"355070 São Sebastião";10;4;14
"355080 São Sebastião da Grama";0;1;1
"355090 São Simão";1;0;1
"355100 São Vicente";47;18;65
"355140 Serra Azul";2;0;2
"355160 Serra Negra";1;0;1
"355150 Serrana";4;0;4
"355170 Sertãozinho";17;3;20
"355220 Sorocaba";83;38;121
"355240 Sumaré";29;8;37
"355250 Suzano";22;9;31
"355260 Tabapuã";1;0;1
"355270 Tabatinga";0;1;1
"355280 Taboão da Serra";30;6;36
