 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
UF Residência: São Paulo
Período:2015
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"não se aplica";"Total"
"351740 Guaíra";0;0;1;1;0;0;4;0;1;0;7
"351790 Guaraci";0;1;0;0;0;0;0;0;0;0;1
"351820 Guararapes";0;1;0;0;0;0;0;0;0;0;1
"351840 Guaratinguetá";0;0;0;1;3;2;7;1;0;0;14
"351850 Guareí";0;0;0;1;0;1;1;0;0;0;3
"351860 Guariba";0;1;0;0;1;1;0;0;1;0;4
"351870 Guarujá";3;9;1;19;6;10;9;3;2;0;62
"351880 Guarulhos";1;7;8;27;21;14;50;12;22;0;162
"351907 Hortolândia";1;0;1;3;1;0;7;0;1;0;14
"351930 Ibaté";0;0;0;0;0;1;0;0;0;0;1
"351940 Ibirá";0;0;1;0;0;0;0;0;0;0;1
"351960 Ibitinga";0;1;1;0;0;0;0;0;1;0;3
"351970 Ibiúna";0;0;0;1;0;0;0;0;0;0;1
"351980 Icém";0;0;0;0;0;0;0;0;1;0;1
"351990 Iepê";0;0;0;1;0;0;0;0;0;0;1
"352000 Igaraçu do Tietê";0;0;0;2;0;0;0;0;0;0;2
"352010 Igarapava";0;0;0;2;1;0;0;0;0;0;3
"352020 Igaratá";0;0;0;0;0;0;1;0;2;0;3
"352044 Ilha Solteira";0;0;0;1;0;0;0;1;0;0;2
"352040 Ilhabela";0;0;0;0;0;0;2;0;1;0;3
"352050 Indaiatuba";0;0;0;1;5;2;8;1;2;0;19
"352140 Iracemápolis";0;0;0;0;0;0;0;0;1;0;1
"352160 Irapuru";0;0;0;0;1;0;0;0;0;0;1
"352180 Itaí";0;1;0;1;0;0;0;0;0;0;2
"352200 Itaju";0;0;0;0;0;1;0;0;0;0;1
"352210 Itanhaém";0;1;0;2;2;0;5;1;2;0;13
"352220 Itapecerica da Serra";0;0;0;3;1;1;3;1;0;0;9
"352230 Itapetininga";2;9;2;6;1;1;4;0;1;0;26
"352240 Itapeva";1;0;0;2;0;3;4;0;0;0;10
"352250 Itapevi";2;4;0;9;4;3;9;0;2;0;33
"352260 Itapira";0;0;0;6;0;1;3;0;0;0;10
"352270 Itápolis";0;1;0;0;0;0;0;1;1;0;3
"352300 Itapura";0;0;0;1;0;0;0;0;0;0;1
"352310 Itaquaquecetuba";0;1;1;6;6;4;9;3;3;0;33
"352320 Itararé";0;0;0;2;1;0;2;0;0;0;5
"352330 Itariri";0;0;0;0;0;0;1;0;0;0;1
"352340 Itatiba";0;0;1;0;0;1;4;0;1;0;7
"352360 Itirapina";0;0;0;1;0;0;0;0;1;0;2
"352390 Itu";1;3;1;8;4;5;3;0;2;0;27
"352400 Itupeva";0;1;0;2;0;0;2;0;0;0;5
"352410 Ituverava";0;1;0;0;0;1;2;0;0;0;4
"352420 Jaborandi";0;0;0;1;0;0;0;0;0;0;1
"352430 Jaboticabal";0;1;0;2;0;0;0;0;1;0;4
"352440 Jacareí";0;2;4;7;4;3;10;3;4;0;37
"352460 Jacupiranga";1;0;1;0;1;0;1;0;0;0;4
"352470 Jaguariúna";0;0;0;0;1;0;0;0;3;0;4
"352480 Jales";0;3;1;1;1;1;2;0;0;0;9
"352490 Jambeiro";0;0;0;0;0;1;0;0;0;0;1
"352500 Jandira";0;0;0;1;5;2;2;2;2;0;14
"352510 Jardinópolis";0;0;0;0;1;0;0;0;0;0;1
"352520 Jarinu";0;0;0;0;0;0;1;0;0;0;1
"352530 Jaú";0;3;3;1;2;2;5;1;0;0;17
"352560 João Ramalho";0;0;0;1;0;0;0;0;0;0;1
"352570 José Bonifácio";0;0;0;0;1;1;1;0;0;0;3
"352580 Júlio Mesquita";0;0;0;1;0;0;0;0;0;0;1
"352590 Jundiaí";3;7;0;7;4;11;17;1;7;0;57
"352620 Juquitiba";0;0;0;0;1;0;0;0;0;0;1
"352640 Laranjal Paulista";1;1;0;0;0;0;0;0;0;0;2
"352650 Lavínia";0;0;0;2;0;0;1;0;0;0;3
"352670 Leme";0;3;4;5;3;1;0;0;0;0;16
"352680 Lençóis Paulista";0;0;0;1;1;0;0;0;0;0;2
"352690 Limeira";0;4;1;4;2;2;5;0;5;0;23
"352710 Lins";0;0;1;2;2;2;3;0;2;0;12
"352720 Lorena";0;1;0;2;1;4;0;1;0;0;9
"352730 Louveira";0;0;0;0;1;0;0;0;0;0;1
"352740 Lucélia";0;0;0;0;0;0;1;0;0;0;1
"352770 Luiziânia";0;0;0;0;0;0;0;0;1;0;1
"352840 Mairinque";0;0;0;1;0;0;0;0;0;0;1
"352850 Mairiporã";0;0;0;0;0;1;1;0;1;0;3
"352870 Marabá Paulista";0;1;0;0;0;0;0;0;0;0;1
"352900 Marília";1;2;0;13;0;6;11;0;11;0;44
"352920 Martinópolis";0;0;0;0;1;0;0;0;1;0;2
"352930 Matão";0;0;0;0;0;0;3;0;0;0;3
"352940 Mauá";0;4;0;2;7;3;13;1;6;0;36
"352970 Miguelópolis";0;0;0;0;0;1;0;0;0;0;1
"352980 Mineiros do Tietê";0;1;0;0;0;0;0;0;0;0;1
"352990 Miracatu";0;1;0;0;0;0;0;0;0;0;1
"353020 Mirante do Paranapanema";0;1;0;0;0;0;0;0;0;0;1
"353030 Mirassol";0;0;0;2;0;1;2;0;0;0;5
"353050 Mococa";1;0;1;1;0;0;3;2;1;0;9
"353060 Mogi das Cruzes";2;3;1;12;3;5;27;8;8;0;69
"353070 Mogi Guaçu";1;0;0;2;1;1;5;0;1;0;11
"353080 Moji Mirim";0;0;1;2;4;2;1;0;1;0;11
"353110 Mongaguá";0;0;0;1;0;3;1;0;0;0;5
"353120 Monte Alegre do Sul";0;0;0;0;0;0;0;0;1;0;1
"353130 Monte Alto";0;1;0;2;1;1;0;0;0;0;5
"353140 Monte Aprazível";0;0;0;2;0;0;1;0;0;0;3
"353160 Monte Castelo";0;0;0;0;1;0;0;0;0;0;1
"353180 Monte Mor";1;0;0;0;2;0;1;1;1;0;6
"353190 Morro Agudo";1;0;0;0;0;0;0;0;0;0;1
"353220 Narandiba";0;0;0;0;0;0;0;1;0;0;1
"353240 Nazaré Paulista";0;0;0;0;1;0;0;0;0;0;1
"353250 Neves Paulista";0;0;0;1;0;0;0;0;0;0;1
"353260 Nhandeara";0;0;2;0;0;0;0;0;0;0;2
"353280 Nova Aliança";0;0;0;1;0;0;0;0;0;0;1
"353310 Nova Guataporanga";0;0;0;1;0;0;0;0;0;0;1
"353340 Nova Odessa";0;0;0;1;0;2;1;1;0;0;5
"353350 Novo Horizonte";0;0;0;2;0;0;0;0;0;0;2
"353390 Olímpia";1;1;0;1;1;1;0;0;0;0;5
"353440 Osasco";0;4;4;12;10;15;26;2;11;0;84
"353460 Osvaldo Cruz";0;1;0;1;0;1;0;0;0;0;3
"353470 Ourinhos";0;0;0;5;1;1;2;1;0;0;10
"353490 Pacaembu";0;0;0;0;0;1;0;0;0;0;1
"353520 Palmeira d'Oeste";0;0;0;0;0;0;1;0;1;0;2
"353540 Panorama";0;1;0;0;1;0;0;0;0;0;2
"353550 Paraguaçu Paulista";0;1;1;1;1;1;0;0;0;0;5
"353630 Patrocínio Paulista";0;0;0;0;0;1;0;0;0;0;1
"353640 Paulicéia";0;0;0;1;0;0;0;1;0;0;2
"353650 Paulínia";1;1;0;0;3;2;1;1;0;0;9
"353660 Paulo de Faria";0;0;0;0;1;0;0;0;0;0;1
"353670 Pederneiras";0;1;0;1;0;0;0;0;0;0;2
"353710 Pedreira";0;0;0;0;0;0;0;0;1;0;1
"353720 Pedro de Toledo";0;0;0;1;0;0;0;0;0;0;1
"353740 Pereira Barreto";1;0;0;3;0;0;0;0;1;0;5
"353760 Peruíbe";1;0;0;2;1;1;1;0;0;0;6
"353780 Piedade";0;0;0;1;0;0;0;0;0;0;1
"353790 Pilar do Sul";0;0;0;0;0;1;0;0;0;0;1
"353800 Pindamonhangaba";0;2;0;4;2;3;8;1;3;0;23
"353820 Pinhalzinho";0;0;0;0;0;0;1;0;0;0;1
"353850 Piquete";0;0;0;1;0;0;0;0;0;0;1
"353870 Piracicaba";3;4;3;17;6;7;9;1;5;0;55
"353880 Piraju";0;0;0;0;0;2;0;0;0;0;2
"353890 Pirajuí";0;1;1;0;1;0;0;0;1;0;4
"353900 Pirangi";0;0;0;0;0;0;0;0;1;0;1
"353910 Pirapora do Bom Jesus";0;0;1;0;0;0;0;1;0;0;2
"353920 Pirapozinho";0;0;0;0;0;0;0;0;1;0;1
"353930 Pirassununga";0;0;0;0;0;0;1;0;1;0;2
"353980 Poá";0;1;2;2;0;1;3;1;2;0;12
"354010 Pongaí";0;0;0;0;1;0;0;0;0;0;1
"354020 Pontal";0;0;0;0;2;0;1;0;1;0;4
"354060 Porto Feliz";0;0;0;0;0;0;0;0;1;0;1
"354100 Praia Grande";1;2;2;6;4;7;13;1;6;0;42
"354130 Presidente Epitácio";0;3;1;2;0;0;1;0;0;0;7
"354140 Presidente Prudente";0;2;1;7;1;5;14;10;8;0;48
"354150 Presidente Venceslau";0;2;1;0;0;2;0;0;0;0;5
"354160 Promissão";0;0;0;0;0;1;0;0;0;0;1
"354220 Rancharia";0;1;0;0;0;0;1;0;1;0;3
"354240 Regente Feijó";0;2;0;1;1;0;0;0;0;0;4
"354260 Registro";0;0;2;2;0;2;6;0;3;0;15
"354330 Ribeirão Pires";1;1;0;2;0;0;4;0;1;0;9
"354340 Ribeirão Preto";4;4;4;22;39;18;33;5;13;0;142
"354370 Rincão";0;0;0;0;0;0;0;0;1;0;1
"354380 Rinópolis";0;0;0;1;0;0;0;0;0;0;1
"354390 Rio Claro";2;3;1;3;6;5;6;1;1;0;28
"354400 Rio das Pedras";0;0;0;0;0;0;3;0;0;0;3
"354410 Rio Grande da Serra";0;0;0;1;1;0;2;0;0;0;4
"354420 Riolândia";0;1;0;2;0;0;0;0;0;0;3
"354500 Salesópolis";0;0;0;0;0;0;1;0;0;0;1
"354520 Salto";0;0;0;0;0;2;0;1;0;0;3
"354530 Salto de Pirapora";0;1;0;0;0;0;0;0;0;0;1
"354550 Sandovalina";0;0;0;0;0;0;1;0;0;0;1
"354580 Santa Bárbara d'Oeste";1;1;0;5;4;7;4;2;1;0;25
"354610 Santa Clara d'Oeste";0;0;0;1;0;0;0;0;0;0;1
"354640 Santa Cruz do Rio Pardo";0;0;0;1;0;0;0;0;0;0;1
"354660 Santa Fé do Sul";0;1;0;3;0;2;0;0;0;0;6
"354670 Santa Gertrudes";0;0;0;0;0;0;1;0;0;0;1
"354750 Santa Rita do Passa Quatro";0;0;0;0;0;0;1;0;0;0;1
"354730 Santana de Parnaíba";0;0;0;0;0;1;0;2;0;0;3
"354770 Santo Anastácio";0;0;0;0;0;0;1;0;0;0;1
"354780 Santo André";1;7;4;11;10;5;25;7;9;0;79
"354830 Santo Expedito";1;0;0;0;0;1;0;0;0;0;2
"354850 Santos";0;6;2;15;16;13;14;6;14;0;86
"354870 São Bernardo do Campo";2;6;2;24;9;9;31;8;9;0;100
"354880 São Caetano do Sul";0;0;1;2;1;1;8;1;7;0;21
"354890 São Carlos";0;1;1;2;3;3;9;1;6;0;26
"354910 São João da Boa Vista";0;1;1;3;0;2;2;0;2;0;11
"354920 São João das Duas Pontes";0;1;0;0;0;0;0;0;0;0;1
"354940 São Joaquim da Barra";0;0;0;1;0;0;0;0;0;0;1
"354970 São José do Rio Pardo";0;1;0;1;1;1;2;0;2;0;8
"354980 São José do Rio Preto";3;6;6;22;6;13;48;11;17;0;132
"354990 São José dos Campos";0;2;2;5;1;3;7;1;5;0;26
"354995 São Lourenço da Serra";0;0;0;0;0;1;0;0;0;0;1
"355030 São Paulo";28;120;95;272;271;227;671;193;383;1;2261
"355060 São Roque";0;0;0;2;0;1;2;1;0;0;6
"355070 São Sebastião";0;1;0;3;2;2;1;1;0;0;10
"355100 São Vicente";1;2;0;10;0;12;10;1;1;0;37
"355140 Serra Azul";0;0;0;0;1;0;0;0;1;0;2
"355170 Sertãozinho";1;1;0;0;1;0;0;0;1;0;4
"355220 Sorocaba";4;6;3;6;13;6;12;4;10;0;64
"355240 Sumaré";1;2;0;9;2;3;3;0;5;0;25
"355250 Suzano";0;1;0;2;2;4;13;1;3;0;26
"355260 Tabapuã";0;0;0;1;0;0;0;0;0;0;1
"355270 Tabatinga";0;0;0;0;1;0;0;0;0;0;1
"355280 Taboão da Serra";0;5;0;5;2;4;6;4;3;0;29
"355310 Taiaçu";0;0;1;0;0;0;0;0;0;0;1
"355320 Taiúva";0;0;0;2;0;0;1;0;0;0;3
"355330 Tambaú";0;0;0;0;0;0;1;0;0;0;1
"355340 Tanabi";0;0;0;0;0;0;0;0;1;0;1
"355365 Taquaral";0;0;1;0;0;0;0;0;0;0;1
"355370 Taquaritinga";1;0;1;7;0;0;1;0;0;0;10
"355380 Taquarituba";0;1;0;0;1;0;2;0;0;0;4
"355390 Tarabai";0;0;0;0;0;0;1;1;0;0;2
"355400 Tatuí";1;1;3;1;4;1;6;2;2;0;21
"355410 Taubaté";0;3;2;9;8;5;13;1;5;0;46
"355430 Teodoro Sampaio";0;0;0;2;1;1;0;0;1;0;5
"355450 Tietê";0;0;0;0;0;0;1;0;0;0;1
"355470 Torrinha";0;0;0;0;0;0;0;0;1;0;1
"355480 Tremembé";0;1;0;4;0;1;2;0;2;0;10
"355500 Tupã";0;1;0;2;1;1;7;1;0;0;13
"355510 Tupi Paulista";0;0;0;1;0;1;0;1;0;0;3
"355540 Ubatuba";0;1;1;0;3;6;0;2;0;0;13
"355620 Valinhos";0;1;1;0;0;3;4;0;1;0;10
"355630 Valparaíso";0;0;0;2;0;0;0;0;0;0;2
"355640 Vargem Grande do Sul";0;0;1;1;1;0;0;0;0;0;3
"355645 Vargem Grande Paulista";0;0;1;0;0;0;1;0;0;0;2
"355650 Várzea Paulista";0;2;0;1;0;1;0;0;1;0;5
"355660 Vera Cruz";0;0;0;1;0;1;0;0;0;0;2
"355670 Vinhedo";0;0;0;0;0;0;0;0;1;0;1
"355680 Viradouro";0;0;2;0;0;0;0;0;0;0;2
"355700 Votorantim";0;0;2;4;1;0;6;1;1;0;15
"355710 Votuporanga";0;2;0;3;2;2;4;0;3;0;16
"Total";93;399;259;976;687;642;1610;385;750;1;5802
