 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Roraima
Período:2023
"Município (Res)";"< 1 ano";"1-4";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"Total"
"140002 Amajari";0;0;0;2;0;0;1;0;0;0;3
"140010 Boa Vista";0;3;1;10;62;79;44;23;9;2;233
"140015 Bonfim";0;1;0;0;1;0;0;0;0;0;2
"140017 Cantá";1;0;0;0;0;0;0;0;0;0;1
"140020 Caracaraí";0;0;0;0;1;0;1;2;0;0;4
"140030 Mucajaí";0;0;0;0;1;2;4;0;0;0;7
"140045 Pacaraima";0;0;0;0;1;3;2;1;2;0;9
"140047 Rorainópolis";0;0;0;0;1;2;4;0;0;0;7
"140060 São Luiz";0;0;0;0;0;0;1;0;0;0;1
"Total";1;4;1;12;67;86;57;26;11;2;267
