ano,arquivo_dbf,linha,coluna,uf_residencia,uf_residencia_nome,uf_residencia_codigo_tabnet,status,mensagem
2018,aids_18.dbf,Município_(Res),Raça/cor,MT,Mato Grosso,26,ok,Baixado: /home/ubuntu/extensao_dados/extensão - dados/MT/MT_2018/MT_2018_Raca_cor.csv
2018,aids_18.dbf,Município_(Res),Escolaridade,MT,Mato Grosso,26,ok,Baixado: /home/ubuntu/extensao_dados/extensão - dados/MT/MT_2018/MT_2018_Escolaridade.csv
2019,aids_19.dbf,Município_(Res),Ano_Diagnóstico,MT,Mato Grosso,26,ok,Baixado: /home/ubuntu/extensao_dados/extensão - dados/MT/MT_2019/MT_2019_Ano_Diagnostico.csv
2019,aids_19.dbf,Município_(Res),Fx._Etária(13),MT,Mato Grosso,26,ok,Baixado: /home/ubuntu/extensao_dados/extensão - dados/MT/MT_2019/MT_2019_Fx_Etaria_13.csv
2019,aids_19.dbf,Município_(Res),Sexo,MT,Mato Grosso,26,ok,Baixado: /home/ubuntu/extensao_dados/extensão - dados/MT/MT_2019/MT_2019_Sexo.csv
2019,aids_19.dbf,Município_(Res),Raça/cor,MT,Mato Grosso,26,ok,Baixado: /home/ubuntu/extensao_dados/extensão - dados/MT/MT_2019/MT_2019_Raca_cor.csv
2019,aids_19.dbf,Município_(Res),Escolaridade,MT,Mato Grosso,26,ok,Baixado: /home/ubuntu/extensao_dados/extensão - dados/MT/MT_2019/MT_2019_Escolaridade.csv
2020,aids_20.dbf,Município_(Res),Ano_Diagnóstico,MT,Mato Grosso,26,ok,Baixado: /home/ubuntu/extensao_dados/extensão - dados/MT/MT_2020/MT_2020_Ano_Diagnostico.csv
2020,aids_20.dbf,Município_(Res),Fx._Etária(13),MT,Mato Grosso,26,ok,Baixado: /home/ubuntu/extensao_dados/extensão - dados/MT/MT_2020/MT_2020_Fx_Etaria_13.csv
2020,aids_20.dbf,Município_(Res),Sexo,MT,Mato Grosso,26,ok,Baixado: /home/ubuntu/extensao_dados/extensão - dados/MT/MT_2020/MT_2020_Sexo.csv
2020,aids_20.dbf,Município_(Res),Raça/cor,MT,Mato Grosso,26,ok,Baixado: /home/ubuntu/extensao_dados/extensão - dados/MT/MT_2020/MT_2020_Raca_cor.csv
2020,aids_20.dbf,Município_(Res),Escolaridade,MT,Mato Grosso,26,ok,Baixado: /home/ubuntu/extensao_dados/extensão - dados/MT/MT_2020/MT_2020_Escolaridade.csv
2021,aids_21.dbf,Município_(Res),Ano_Diagnóstico,MT,Mato Grosso,26,ok,Baixado: /home/ubuntu/extensao_dados/extensão - dados/MT/MT_2021/MT_2021_Ano_Diagnostico.csv
2021,aids_21.dbf,Município_(Res),Fx._Etária(13),MT,Mato Grosso,26,ok,Baixado: /home/ubuntu/extensao_dados/extensão - dados/MT/MT_2021/MT_2021_Fx_Etaria_13.csv
2021,aids_21.dbf,Município_(Res),Sexo,MT,Mato Grosso,26,ok,Baixado: /home/ubuntu/extensao_dados/extensão - dados/MT/MT_2021/MT_2021_Sexo.csv
2021,aids_21.dbf,Município_(Res),Raça/cor,MT,Mato Grosso,26,ok,Baixado: /home/ubuntu/extensao_dados/extensão - dados/MT/MT_2021/MT_2021_Raca_cor.csv
2021,aids_21.dbf,Município_(Res),Escolaridade,MT,Mato Grosso,26,ok,Baixado: /home/ubuntu/extensao_dados/extensão - dados/MT/MT_2021/MT_2021_Escolaridade.csv
2022,aids_22.dbf,Município_(Res),Ano_Diagnóstico,MT,Mato Grosso,26,ok,Baixado: /home/ubuntu/extensao_dados/extensão - dados/MT/MT_2022/MT_2022_Ano_Diagnostico.csv
2022,aids_22.dbf,Município_(Res),Fx._Etária(13),MT,Mato Grosso,26,ok,Baixado: /home/ubuntu/extensao_dados/extensão - dados/MT/MT_2022/MT_2022_Fx_Etaria_13.csv
2022,aids_22.dbf,Município_(Res),Sexo,MT,Mato Grosso,26,ok,Baixado: /home/ubuntu/extensao_dados/extensão - dados/MT/MT_2022/MT_2022_Sexo.csv
2022,aids_22.dbf,Município_(Res),Raça/cor,MT,Mato Grosso,26,ok,Baixado: /home/ubuntu/extensao_dados/extensão - dados/MT/MT_2022/MT_2022_Raca_cor.csv
2022,aids_22.dbf,Município_(Res),Escolaridade,MT,Mato Grosso,26,ok,Baixado: /home/ubuntu/extensao_dados/extensão - dados/MT/MT_2022/MT_2022_Escolaridade.csv
2023,aids_23.dbf,Município_(Res),Ano_Diagnóstico,MT,Mato Grosso,26,ok,Baixado: /home/ubuntu/extensao_dados/extensão - dados/MT/MT_2023/MT_2023_Ano_Diagnostico.csv
2023,aids_23.dbf,Município_(Res),Fx._Etária(13),MT,Mato Grosso,26,ok,Baixado: /home/ubuntu/extensao_dados/extensão - dados/MT/MT_2023/MT_2023_Fx_Etaria_13.csv
2023,aids_23.dbf,Município_(Res),Sexo,MT,Mato Grosso,26,ok,Baixado: /home/ubuntu/extensao_dados/extensão - dados/MT/MT_2023/MT_2023_Sexo.csv
2023,aids_23.dbf,Município_(Res),Raça/cor,MT,Mato Grosso,26,ok,Baixado: /home/ubuntu/extensao_dados/extensão - dados/MT/MT_2023/MT_2023_Raca_cor.csv
2023,aids_23.dbf,Município_(Res),Escolaridade,MT,Mato Grosso,26,ok,Baixado: /home/ubuntu/extensao_dados/extensão - dados/MT/MT_2023/MT_2023_Escolaridade.csv
2024,aids_24.dbf,Município_(Res),Ano_Diagnóstico,MT,Mato Grosso,26,ok,Baixado: /home/ubuntu/extensao_dados/extensão - dados/MT/MT_2024/MT_2024_Ano_Diagnostico.csv
2024,aids_24.dbf,Município_(Res),Fx._Etária(13),MT,Mato Grosso,26,ok,Baixado: /home/ubuntu/extensao_dados/extensão - dados/MT/MT_2024/MT_2024_Fx_Etaria_13.csv
2024,aids_24.dbf,Município_(Res),Sexo,MT,Mato Grosso,26,ok,Baixado: /home/ubuntu/extensao_dados/extensão - dados/MT/MT_2024/MT_2024_Sexo.csv
2024,aids_24.dbf,Município_(Res),Raça/cor,MT,Mato Grosso,26,ok,Baixado: /home/ubuntu/extensao_dados/extensão - dados/MT/MT_2024/MT_2024_Raca_cor.csv
2024,aids_24.dbf,Município_(Res),Escolaridade,MT,Mato Grosso,26,ok,Baixado: /home/ubuntu/extensao_dados/extensão - dados/MT/MT_2024/MT_2024_Escolaridade.csv
2025,aids_25.dbf,Município_(Res),Ano_Diagnóstico,MT,Mato Grosso,26,ok,Baixado: /home/ubuntu/extensao_dados/extensão - dados/MT/MT_2025/MT_2025_Ano_Diagnostico.csv
2025,aids_25.dbf,Município_(Res),Fx._Etária(13),MT,Mato Grosso,26,ok,Baixado: /home/ubuntu/extensao_dados/extensão - dados/MT/MT_2025/MT_2025_Fx_Etaria_13.csv
2025,aids_25.dbf,Município_(Res),Sexo,MT,Mato Grosso,26,ok,Baixado: /home/ubuntu/extensao_dados/extensão - dados/MT/MT_2025/MT_2025_Sexo.csv
2025,aids_25.dbf,Município_(Res),Raça/cor,MT,Mato Grosso,26,ok,Baixado: /home/ubuntu/extensao_dados/extensão - dados/MT/MT_2025/MT_2025_Raca_cor.csv
2025,aids_25.dbf,Município_(Res),Escolaridade,MT,Mato Grosso,26,ok,Baixado: /home/ubuntu/extensao_dados/extensão - dados/MT/MT_2025/MT_2025_Escolaridade.csv
