 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
Região Res.: Região Nordeste
UF Notificação: Bahia
Região Not.: Região Nordeste
Período:2016
"Município (Res)";"< 1 ano";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"291750 Jacobina";0;0;0;0;1;0;2;1;1;0;0;0;5
"291760 Jaguaquara";0;0;0;0;0;0;0;1;0;0;0;0;1
"291780 Jaguaripe";0;0;0;0;0;0;1;1;0;0;0;0;2
"291800 Jequié";0;0;0;0;0;6;7;8;4;1;0;0;26
"291820 Jiquiriçá";0;0;0;0;0;0;1;0;0;0;0;0;1
"291830 Jitaúna";0;0;0;0;0;0;0;1;0;0;0;0;1
"291835 João Dourado";0;0;0;0;0;0;0;0;1;0;0;0;1
"291840 Juazeiro";0;1;0;0;3;21;8;8;4;2;0;0;47
"291880 Laje";0;0;0;0;0;0;0;1;0;0;0;0;1
"291920 Lauro de Freitas";0;2;0;0;0;9;10;9;3;1;0;0;34
"291930 Lençóis";0;0;0;0;0;0;1;0;0;0;0;0;1
"291955 Luís Eduardo Magalhães";0;1;0;0;0;0;2;1;0;0;0;0;4
"291992 Madre de Deus";0;0;0;0;0;0;0;3;0;0;0;0;3
"292050 Maracás";0;0;0;0;0;0;1;0;0;0;0;0;1
"292060 Maragogipe";0;0;0;0;1;0;1;0;0;0;0;0;2
"292080 Marcionílio Souza";0;0;0;0;0;0;0;1;0;0;0;0;1
"292090 Mascote";0;0;0;0;0;0;1;1;0;0;0;0;2
"292100 Mata de São João";0;0;0;0;1;1;1;0;0;0;0;0;3
"292105 Matina";0;0;0;0;0;0;1;0;0;0;0;0;1
"292110 Medeiros Neto";0;0;0;0;0;2;0;1;0;0;0;0;3
"292130 Milagres";0;0;0;0;0;0;0;0;1;0;0;0;1
"292150 Monte Santo";0;0;0;0;0;0;0;2;0;0;0;0;2
"292200 Mucuri";0;0;0;0;0;0;3;1;0;0;0;0;4
