 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: Acre
Período:2021
"Município (Res)";"Branca";"Parda";"Indígena";"Ignorado";"Total"
"120010 Brasiléia";0;2;1;0;3
"120020 Cruzeiro do Sul";1;1;0;0;2
"120038 Plácido de Castro";0;1;0;0;1
"120040 Rio Branco";17;82;0;1;100
"120050 Sena Madureira";1;0;0;0;1
"120045 Senador Guiomard";0;1;0;0;1
"120060 Tarauacá";0;1;0;0;1
"Total";19;88;1;1;109
