 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Acre
Período:2021
"Município (Res)";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"Total"
"120010 Brasiléia";0;0;1;2;0;0;3
"120020 Cruzeiro do Sul";0;0;1;0;0;1;2
"120038 Plácido de Castro";0;1;0;0;0;0;1
"120040 Rio Branco";5;29;25;29;10;2;100
"120050 Sena Madureira";0;0;1;0;0;0;1
"120045 Senador Guiomard";0;0;0;0;1;0;1
"120060 Tarauacá";0;0;0;0;1;0;1
"Total";5;30;28;31;12;3;109
