 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Acre
Período:2018
"Município (Res)";"1-4";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"Total"
"120001 Acrelândia";0;0;0;1;0;0;0;0;1
"120013 Bujari";0;0;0;0;0;1;0;0;1
"120020 Cruzeiro do Sul";0;0;0;2;0;0;0;0;2
"120033 Mâncio Lima";0;0;1;0;0;0;0;0;1
"120034 Manoel Urbano";0;0;0;0;0;1;0;0;1
"120038 Plácido de Castro";0;0;1;1;0;1;0;0;3
"120040 Rio Branco";2;2;25;31;17;12;1;1;91
"120050 Sena Madureira";0;0;1;1;1;1;0;1;5
"120060 Tarauacá";0;0;1;0;0;0;0;0;1
"120070 Xapuri";0;0;0;1;0;0;0;0;1
"Total";2;2;29;37;18;16;1;2;107
