 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Minas Gerais
Período:2024
"Município (Res)";"< 1 ano";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"312440 Espírito Santo do Dourado";0;0;0;0;0;0;0;1;0;0;0;0;1
"312450 Estiva";0;0;0;0;0;0;2;1;0;0;0;0;3
"312460 Estrela Dalva";0;0;0;0;0;0;1;1;0;0;0;0;2
"312470 Estrela do Indaiá";0;0;0;0;0;0;1;0;0;0;0;0;1
"312510 Extrema";0;0;0;0;0;1;6;3;2;0;0;0;12
"312595 Fervedouro";0;0;0;0;0;0;1;0;0;0;0;0;1
"312610 Formiga";0;0;0;0;1;0;2;1;1;1;0;0;6
"312670 Francisco Sá";0;0;0;0;0;0;1;0;0;0;0;0;1
"312680 Frei Gaspar";0;0;0;0;0;1;0;0;0;0;0;0;1
"312690 Frei Inocêncio";0;0;0;0;0;1;0;0;0;0;0;0;1
"312710 Frutal";1;0;0;0;0;2;5;6;0;4;0;1;19
"312760 Gouveia";0;0;0;0;0;1;0;0;0;0;0;0;1
"312770 Governador Valadares";0;0;0;0;1;11;12;9;4;7;0;0;44
"312820 Guaraciaba";0;0;0;0;0;0;0;0;0;1;0;0;1
"312870 Guaxupé";0;0;0;0;0;0;1;1;0;0;0;0;2
"312890 Guimarânia";0;0;0;0;0;0;1;0;0;0;0;0;1
"312950 Ibiá";0;0;0;0;0;0;0;0;0;1;0;0;1
"312960 Ibiaí";0;0;0;0;0;0;1;0;0;0;0;0;1
"312970 Ibiraci";0;0;0;0;0;0;1;0;0;0;0;0;1
"312980 Ibirité";0;0;0;0;1;9;5;9;7;2;0;0;33
"313010 Igarapé";0;0;0;0;0;1;3;2;0;0;0;0;6
"313070 Indianópolis";0;0;0;0;0;0;0;0;1;0;0;0;1
"313090 Inhapim";0;0;0;0;0;0;0;1;1;0;0;0;2
"313120 Ipanema";0;0;0;0;0;0;0;1;0;0;0;0;1
"313130 Ipatinga";0;0;0;0;0;12;8;5;1;2;0;0;28
"313150 Ipuiúna";0;0;0;0;0;1;0;0;0;0;0;0;1
"313170 Itabira";0;0;0;0;0;2;1;5;0;0;1;0;9
"313190 Itabirito";0;0;0;0;0;0;3;2;2;0;0;0;7
"313210 Itacarambi";0;0;0;0;0;1;0;0;0;0;0;0;1
"313220 Itaguara";0;0;0;0;0;0;0;0;1;0;0;0;1
"313230 Itaipé";0;0;1;0;0;0;0;0;0;0;0;0;1
"313240 Itajubá";0;0;0;0;0;4;5;3;0;2;0;0;14
"313250 Itamarandiba";0;0;0;0;0;0;0;1;0;1;0;0;2
"313330 Itaobim";0;0;0;0;0;1;1;0;0;3;0;0;5
"313350 Itapecerica";0;0;0;0;0;1;0;0;0;0;0;0;1
"313380 Itaúna";0;0;0;0;0;1;3;5;2;0;0;0;11
"313420 Ituiutaba";0;0;0;0;0;3;6;5;3;6;1;0;24
"313430 Itumirim";0;0;0;0;0;0;0;0;0;1;0;0;1
"313440 Iturama";0;0;0;0;0;1;1;0;0;0;0;0;2
"313470 Jacinto";0;0;0;0;0;1;0;0;0;0;0;0;1
"313505 Jaíba";0;0;0;0;0;0;1;1;0;0;0;0;2
"313510 Janaúba";0;0;0;0;0;3;5;1;0;1;0;0;10
"313520 Januária";0;0;0;0;0;0;0;0;1;0;0;0;1
"313580 Jequitinhonha";0;0;0;0;0;0;1;0;0;0;0;0;1
"313620 João Monlevade";0;0;0;0;0;1;2;5;2;0;0;0;10
"313630 João Pinheiro";0;0;0;0;0;1;2;3;0;0;0;0;6
"313665 Juatuba";0;0;1;0;0;0;1;1;0;0;0;0;3
"313670 Juiz de Fora";0;0;0;0;2;32;37;29;17;6;2;0;125
"313720 Lagoa da Prata";0;0;0;0;0;0;0;0;0;2;0;0;2
"313740 Lagoa Dourada";0;0;0;0;0;1;0;0;0;0;0;0;1
"313750 Lagoa Formosa";0;0;0;0;0;0;0;0;0;0;1;0;1
"313760 Lagoa Santa";0;0;0;0;0;1;0;0;1;1;0;0;3
"313770 Lajinha";0;0;0;0;0;0;1;0;0;0;0;0;1
"313820 Lavras";0;0;0;0;0;0;2;1;0;0;0;0;3
"313840 Leopoldina";0;0;0;0;0;0;1;0;1;0;0;0;2
"313860 Lima Duarte";0;0;0;0;0;0;1;0;0;0;0;0;1
"313880 Luz";0;0;0;0;0;0;1;0;0;0;0;0;1
