 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
UF Residência: Minas Gerais
Período:2024
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"não se aplica";"Total"
"313190 Itabirito";0;0;0;2;0;2;0;0;3;0;7
"313210 Itacarambi";0;0;0;0;0;1;0;0;0;0;1
"313220 Itaguara";0;0;0;0;0;1;0;0;0;0;1
"313240 Itajubá";0;0;0;1;2;1;3;1;4;0;12
"313250 Itamarandiba";0;1;0;0;0;0;0;0;0;0;1
"313330 Itaobim";0;0;0;0;0;0;1;0;0;0;1
"313350 Itapecerica";0;0;0;0;0;0;0;1;0;0;1
"313380 Itaúna";0;0;0;2;3;1;2;0;1;0;9
"313420 Ituiutaba";2;0;1;4;1;6;4;0;3;0;21
"313430 Itumirim";0;0;0;0;0;1;0;0;0;0;1
"313440 Iturama";0;0;0;0;0;0;1;0;0;0;1
"313470 Jacinto";0;0;0;0;1;0;0;0;0;0;1
"313505 Jaíba";0;1;0;0;0;0;1;0;0;0;2
"313510 Janaúba";1;0;0;2;0;1;3;0;3;0;10
"313520 Januária";0;1;0;0;0;0;0;0;0;0;1
"313580 Jequitinhonha";0;0;0;0;1;0;0;0;0;0;1
"313620 João Monlevade";0;0;0;0;1;0;2;0;1;0;4
"313630 João Pinheiro";0;0;0;1;1;0;3;0;1;0;6
"313665 Juatuba";0;0;0;1;0;0;1;0;0;0;2
"313670 Juiz de Fora";5;5;7;20;2;13;37;3;12;0;104
"313720 Lagoa da Prata";0;0;0;0;0;0;0;0;1;0;1
"313740 Lagoa Dourada";0;0;0;0;0;0;1;0;0;0;1
"313760 Lagoa Santa";0;0;0;1;0;0;0;0;0;0;1
"313770 Lajinha";0;0;0;0;0;0;1;0;0;0;1
"313820 Lavras";0;0;0;0;0;0;1;0;2;0;3
"313840 Leopoldina";0;0;0;2;0;0;0;0;0;0;2
"313860 Lima Duarte";0;0;0;0;0;0;0;0;1;0;1
"313880 Luz";0;0;0;0;0;0;1;0;0;0;1
"313940 Manhuaçu";0;2;2;2;1;2;2;0;2;0;13
"313960 Mantena";1;0;0;0;0;0;0;0;0;0;1
"314000 Mariana";0;0;0;1;0;0;1;0;0;0;2
"314070 Mateus Leme";0;0;0;1;1;1;3;0;0;0;6
"314080 Matias Barbosa";0;0;1;0;0;0;0;0;0;0;1
"314085 Matias Cardoso";0;0;0;0;0;0;0;0;1;0;1
"314120 Matutina";0;0;0;0;0;0;1;0;0;0;1
"314150 Mendes Pimentel";0;0;0;0;1;0;0;0;0;0;1
"314180 Minas Novas";0;1;0;0;0;0;0;0;0;0;1
"314300 Monte Belo";0;0;0;0;0;0;1;0;0;0;1
"314310 Monte Carmelo";0;0;0;0;2;0;0;0;0;0;2
"314330 Montes Claros";0;2;2;7;3;18;20;3;13;0;68
"314350 Morada Nova de Minas";0;0;0;0;0;0;0;0;1;0;1
"314390 Muriaé";0;1;2;17;3;8;7;1;0;0;39
"314400 Mutum";0;0;0;0;1;0;0;0;0;0;1
"314435 Naque";0;0;0;0;1;0;0;0;0;0;1
"314440 Natércia";0;0;0;1;0;0;0;0;0;0;1
"314467 Nova Belém";0;0;1;0;0;0;0;0;0;0;1
"314470 Nova Era";0;0;0;0;0;0;0;0;1;0;1
"314480 Nova Lima";0;0;0;1;0;0;0;1;3;0;5
"314505 Nova Porteirinha";0;0;0;0;1;0;0;0;0;0;1
"314520 Nova Serrana";0;0;0;1;0;0;2;0;0;0;3
"314535 Novo Oriente de Minas";0;0;0;0;0;0;1;0;0;0;1
"314537 Novorizonte";0;0;0;0;0;1;0;0;0;0;1
"314590 Ouro Branco";0;0;0;0;1;0;0;0;0;0;1
"314600 Ouro Fino";0;0;0;0;0;0;0;1;0;0;1
"314610 Ouro Preto";0;2;0;0;1;5;2;0;3;0;13
"314630 Padre Paraíso";0;0;0;1;0;1;0;0;0;0;2
"314710 Pará de Minas";0;0;0;0;2;0;2;0;0;0;4
"314700 Paracatu";0;0;1;3;0;1;3;1;1;0;10
"314720 Paraguaçu";0;0;0;0;0;0;1;0;0;0;1
"314740 Paraopeba";0;0;0;0;0;1;1;0;0;0;2
"314760 Passa Quatro";0;0;0;0;0;0;1;0;0;0;1
"314790 Passos";0;2;1;3;1;2;6;0;3;0;18
"314800 Patos de Minas";0;2;2;2;5;2;9;2;1;0;25
"314810 Patrocínio";0;0;1;0;0;0;0;1;0;0;2
"314930 Pedro Leopoldo";0;0;0;1;0;0;0;0;2;0;3
"314950 Pequeri";0;0;0;0;0;0;0;0;1;0;1
"314990 Perdões";0;0;0;0;0;0;1;0;0;0;1
"314995 Periquito";0;0;0;0;0;0;2;0;0;0;2
"315040 Piedade dos Gerais";0;0;0;0;0;1;0;0;0;0;1
"315050 Pimenta";0;0;0;0;0;0;0;0;1;0;1
"315057 Pintópolis";0;0;0;0;0;0;0;0;1;0;1
"315070 Pirajuba";0;0;0;1;0;0;1;0;0;0;2
"315100 Piranguinho";0;0;0;0;0;0;0;0;1;0;1
"315120 Pirapora";0;1;1;3;0;0;2;0;2;0;9
"315180 Poços de Caldas";0;2;2;2;1;1;3;2;7;0;20
"315200 Pompéu";0;0;0;0;0;0;1;0;0;0;1
"315210 Ponte Nova";0;2;0;2;2;0;3;1;0;0;10
"315220 Porteirinha";0;0;0;0;0;0;2;0;0;0;2
"315240 Poté";0;0;1;0;0;0;0;0;0;0;1
"315250 Pouso Alegre";1;2;0;6;4;2;9;1;4;0;29
"315280 Prata";0;0;0;1;0;0;0;0;0;0;1
"315415 Reduto";0;0;0;0;0;0;1;0;0;0;1
"315430 Resplendor";0;0;0;1;0;0;0;0;0;0;1
"315460 Ribeirão das Neves";0;0;1;2;1;4;4;2;0;0;14
"315560 Rio Pardo de Minas";0;0;0;0;0;0;1;0;0;0;1
"315660 Rubim";0;0;0;0;1;0;0;0;0;0;1
"315670 Sabará";0;0;0;2;0;3;6;0;1;0;12
"315710 Salto da Divisa";0;0;0;0;0;1;1;0;0;0;2
"315720 Santa Bárbara";0;0;0;0;0;1;1;0;0;0;2
"315780 Santa Luzia";0;0;0;3;0;1;3;1;0;0;8
"315960 Santa Rita do Sapucaí";0;0;0;0;0;0;0;0;1;0;1
"315980 Santa Vitória";0;1;0;0;0;0;0;0;0;0;1
"316040 Santo Antônio do Monte";0;0;0;0;1;0;0;0;0;0;1
"316110 São Francisco";0;0;0;0;0;0;1;0;0;0;1
"316180 São Gonçalo do Pará";0;0;0;0;1;0;0;0;0;0;1
"316200 São Gonçalo do Sapucaí";0;0;0;1;0;0;0;0;0;0;1
"316210 São Gotardo";0;0;0;1;0;0;3;0;2;0;6
"316220 São João Batista do Glória";0;0;0;0;0;1;0;0;0;0;1
"316240 São João da Ponte";0;0;0;1;0;0;0;0;0;0;1
"316250 São João del Rei";0;1;0;1;1;1;1;1;1;0;7
"316292 São Joaquim de Bicas";0;1;0;1;0;2;2;0;2;0;8
"316370 São Lourenço";0;1;0;1;0;2;6;0;1;0;11
"316470 São Sebastião do Paraíso";0;0;0;0;0;0;0;0;3;0;3
"316500 São Tiago";0;0;0;0;0;1;0;0;0;0;1
"316540 Sapucaí-Mirim";0;0;0;0;0;0;0;0;1;0;1
"316557 Senador Amaral";0;0;0;1;0;0;0;0;0;0;1
"316650 Serra Azul de Minas";0;0;0;0;0;0;1;0;0;0;1
"316720 Sete Lagoas";0;2;2;9;4;7;9;1;3;0;37
"316760 Simonésia";0;0;0;1;0;0;0;0;0;0;1
"316770 Sobrália";0;0;0;1;0;0;0;0;0;0;1
"316780 Soledade de Minas";0;0;0;0;0;0;1;0;0;0;1
"316860 Teófilo Otoni";0;0;1;9;3;5;6;3;3;0;30
"316870 Timóteo";0;0;0;0;2;0;0;0;1;0;3
"316890 Tiros";0;0;0;1;0;0;0;0;0;0;1
"316930 Três Corações";0;0;0;1;1;2;4;0;1;0;9
"316940 Três Pontas";0;0;0;1;1;3;2;0;0;0;7
"316990 Ubá";0;3;5;0;1;0;3;0;2;0;14
"317000 Ubaí";0;0;0;1;0;0;0;0;0;0;1
"317010 Uberaba";1;2;1;6;8;13;15;5;6;0;57
"317020 Uberlândia";3;4;4;16;8;14;24;8;14;0;95
"317040 Unaí";0;1;0;1;2;3;3;0;4;0;14
"317070 Varginha";0;0;0;2;0;1;4;0;2;0;9
"317100 Vazante";0;0;1;0;0;0;0;0;1;0;2
"317120 Vespasiano";0;1;0;5;0;1;7;0;0;0;14
"317130 Viçosa";0;1;0;0;0;2;1;0;0;0;4
"317200 Visconde do Rio Branco";0;0;0;0;0;1;1;0;0;0;2
"Total";25;84;62;262;160;226;463;82;244;1;1609
