 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
UF Residência: Rondônia
Período:2016
"Município (Res)";"Masculino";"Feminino";"Total"
"110002 Ariquemes";13;8;21
"110045 Buritis";1;0;1
"110004 Cacoal";7;2;9
"110080 Candeias do Jamari";1;1;2
"110005 Cerejeiras";0;1;1
"110008 Costa Marques";0;1;1
"110009 Espigão D'Oeste";0;1;1
"110010 Guajará-Mirim";3;1;4
"110011 Jaru";0;2;2
"110012 Ji-Paraná";19;6;25
"110120 Ministro Andreazza";1;0;1
"110143 Nova União";1;0;1
"110015 Ouro Preto do Oeste";1;2;3
"110018 Pimenta Bueno";2;2;4
"110020 Porto Velho";171;70;241
"110025 Presidente Médici";1;1;2
"110026 Rio Crespo";0;1;1
"110028 Rolim de Moura";4;0;4
"110030 Vilhena";7;5;12
"Total";232;104;336
