 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Espírito Santo
Período:2024
"Município (Res)";"1-4";"5-9";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"320013 Águia Branca";0;0;0;0;1;0;0;0;0;0;1
"320040 Anchieta";0;0;0;0;1;0;1;1;0;0;3
"320060 Aracruz";0;0;0;3;4;4;3;4;0;0;18
"320090 Barra de São Francisco";0;0;0;2;1;1;1;1;0;0;6
"320100 Boa Esperança";0;0;0;0;0;2;0;0;0;0;2
"320120 Cachoeiro de Itapemirim";0;1;0;9;8;10;9;3;2;0;42
"320130 Cariacica";0;0;2;8;13;17;13;5;0;1;59
"320150 Colatina";0;0;0;2;10;10;4;2;0;0;28
"320160 Conceição da Barra";0;0;0;0;1;0;1;0;0;0;2
"320190 Domingos Martins";0;0;0;0;1;1;0;0;0;0;2
"320220 Fundão";0;0;0;0;0;0;1;1;0;0;2
"320225 Governador Lindenberg";0;0;0;1;0;0;0;0;0;0;1
"320230 Guaçuí";0;0;0;1;1;1;3;0;0;0;6
"320240 Guarapari";0;0;0;0;8;3;4;1;0;0;16
"320305 Jaguaré";0;0;0;0;0;0;1;0;0;1;2
"320310 Jerônimo Monteiro";0;0;0;1;0;0;0;0;0;0;1
"320320 Linhares";0;0;1;6;7;9;6;6;1;0;36
"320330 Mantenópolis";0;0;0;0;1;0;0;0;0;0;1
"320350 Montanha";0;0;0;1;2;1;0;0;0;0;4
"320390 Nova Venécia";1;0;0;1;1;3;1;2;1;0;10
"320405 Pedro Canário";0;0;0;2;1;3;2;0;0;0;8
"320410 Pinheiros";0;0;0;0;0;1;2;1;0;0;4
"320420 Piúma";0;0;0;0;1;0;0;0;0;0;1
"320435 Rio Bananal";0;0;0;1;0;0;0;0;0;0;1
"320455 Santa Maria de Jetibá";0;0;0;1;0;0;0;0;0;0;1
"320460 Santa Teresa";0;0;0;0;0;0;1;1;0;0;2
"320490 São Mateus";0;0;1;14;9;9;7;4;1;0;45
"320500 Serra";0;0;0;34;27;15;21;8;1;0;106
"320501 Sooretama";0;0;0;0;0;1;0;0;0;0;1
"320510 Viana";0;0;1;3;1;1;0;1;0;0;7
"320517 Vila Valério";0;0;0;0;0;1;0;0;0;0;1
"320520 Vila Velha";0;0;5;29;37;15;14;7;2;0;109
"320530 Vitória";2;1;3;15;37;26;11;3;0;1;99
"Total";3;2;13;134;173;134;106;51;8;3;627
