 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
Ano Diagnóstico: 2024
UF Residência: Bahia
Região Res.: Região Nordeste
UF Notificação: Bahia
Região Not.: Região Nordeste
Período:2024
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"Total"
"292090 Mascote";0;0;0;0;0;0;1;0;0;1
"292100 Mata de São João";0;0;0;0;0;0;1;0;0;1
"292110 Medeiros Neto";0;0;0;0;0;0;1;0;0;1
"292130 Milagres";0;0;0;1;0;0;0;0;0;1
"292150 Monte Santo";0;1;0;1;0;0;0;0;0;2
"292170 Morro do Chapéu";0;0;0;1;0;0;0;0;0;1
"292200 Mucuri";0;0;0;0;0;0;2;0;0;2
"292250 Nazaré";0;0;0;0;0;0;1;0;0;1
"292290 Nova Soure";0;0;0;0;0;0;1;0;0;1
"292300 Nova Viçosa";0;1;0;0;1;0;0;0;0;2
"292305 Novo Triunfo";0;0;0;0;0;0;1;0;0;1
"292400 Paulo Afonso";0;0;0;0;0;1;2;0;0;3
"292465 Pintadas";0;0;0;0;1;0;0;0;0;1
"292467 Piraí do Norte";0;0;0;0;0;1;0;0;0;1
"292510 Poções";0;1;0;0;0;0;1;0;0;2
"292530 Porto Seguro";4;11;0;6;2;12;16;0;7;58
"292540 Potiraguá";0;1;0;0;0;0;0;0;0;1
"292560 Presidente Dutra";1;0;0;0;0;0;0;0;0;1
"292575 Presidente Tancredo Neves";0;1;0;0;1;0;0;0;1;3
"292580 Queimadas";0;0;0;0;0;1;0;0;0;1
"292590 Quijingue";0;1;0;0;0;0;0;0;0;1
"292595 Rafael Jambeiro";0;0;0;0;0;1;0;0;0;1
"292600 Remanso";1;0;0;0;0;3;1;0;0;5
"292610 Retirolândia";0;0;0;0;0;0;1;0;0;1
"292620 Riachão das Neves";0;0;0;0;1;1;0;0;0;2
"292660 Ribeira do Pombal";0;0;0;0;1;3;2;0;1;7
"292680 Rio do Antônio";0;0;0;1;0;0;0;0;0;1
"292700 Rio Real";0;0;0;1;0;0;0;0;0;1
"292720 Ruy Barbosa";0;0;0;1;0;0;0;0;0;1
"292730 Salinas da Margarida";0;0;0;0;0;0;2;0;0;2
"292740 Salvador";6;26;14;70;26;69;172;30;72;485
"292750 Santa Bárbara";0;0;0;1;0;0;0;0;0;1
"292780 Santa Cruz da Vitória";0;1;0;0;0;0;0;0;0;1
"292810 Santa Maria da Vitória";0;0;0;0;0;1;0;0;0;1
"292840 Santa Rita de Cássia";0;0;0;1;0;0;0;0;0;1
"292800 Santaluz";0;0;1;0;0;0;1;0;0;2
"292860 Santo Amaro";0;0;0;0;0;1;0;1;0;2
"292870 Santo Antônio de Jesus";1;2;1;2;1;1;3;0;1;12
"292890 São Desidério";0;0;0;0;0;1;0;0;0;1
"292900 São Félix";0;0;0;1;0;0;0;0;0;1
"292920 São Francisco do Conde";0;0;0;0;1;0;3;0;1;5
"292935 São José da Vitória";0;0;0;0;0;1;0;0;0;1
"292950 São Sebastião do Passé";0;0;0;0;0;0;0;0;1;1
"292960 Sapeaçu";0;0;0;0;0;0;1;0;0;1
"292975 Saubara";0;0;0;0;0;1;0;0;0;1
"292990 Seabra";0;0;0;0;0;0;1;0;0;1
"293010 Senhor do Bonfim";0;2;0;2;2;0;4;0;1;11
"293050 Serrinha";1;2;1;6;1;3;2;1;6;23
"293070 Simões Filho";1;1;1;1;2;4;4;1;1;16
"293077 Sobradinho";0;1;0;0;0;0;0;0;0;1
"293090 Tabocas do Brejo Velho";0;0;0;1;0;0;0;0;0;1
"293100 Tanhaçu";0;0;0;0;0;0;1;0;0;1
"293110 Tanquinho";0;0;0;0;0;1;1;0;1;3
"293130 Tapiramutá";0;0;0;0;0;0;1;0;0;1
"293135 Teixeira de Freitas";3;1;4;16;2;4;4;2;2;38
"293170 Terra Nova";0;0;0;0;1;0;1;0;0;2
"293210 Ubaíra";0;0;0;1;0;0;0;0;0;1
"293220 Ubaitaba";0;0;1;0;0;1;0;0;0;2
"293250 Una";1;0;0;0;0;0;0;0;0;1
"293270 Uruçuca";0;0;0;0;0;0;1;0;0;1
"293290 Valença";0;8;1;3;4;1;0;0;1;18
"293317 Varzedo";0;1;0;1;0;0;0;0;0;2
"293320 Vera Cruz";0;0;0;0;0;2;2;0;0;4
"293330 Vitória da Conquista";1;5;2;7;5;11;21;4;14;70
"Total";46;136;64;261;127;215;439;61;170;1519
