 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: Roraima
Período:2019
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Total"
"140005 Alto Alegre";0;0;0;2;0;2
"140002 Amajari";0;0;0;1;1;2
"140010 Boa Vista";33;7;1;155;7;203
"140015 Bonfim";0;0;0;2;1;3
"140017 Cantá";0;0;0;3;0;3
"140020 Caracaraí";0;1;0;2;0;3
"140028 Iracema";0;1;0;0;0;1
"140030 Mucajaí";2;0;0;1;0;3
"140045 Pacaraima";0;0;0;2;1;3
"140047 Rorainópolis";0;0;0;5;0;5
"140050 São João da Baliza";0;1;0;0;0;1
"Total";35;10;1;173;10;229
