 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
Ano Diagnóstico: 2017
Ano Notificação: 2017
UF Residência: Alagoas
Região Res.: Região Nordeste
UF Notificação: Alagoas
Região Not.: Região Nordeste
Período:2017
"Município (Res)";"< 1 ano";"1-4";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"270020 Anadia";0;0;0;0;1;0;0;0;0;0;1
"270030 Arapiraca";0;1;2;11;8;1;3;2;0;0;28
"270040 Atalaia";0;0;0;0;1;0;0;0;0;0;1
"270050 Barra de Santo Antônio";0;0;0;1;1;0;0;0;0;0;2
"270080 Belém";0;0;0;0;0;1;0;0;0;0;1
"270120 Cacimbinhas";0;0;0;0;0;0;0;1;0;0;1
"270130 Cajueiro";0;0;0;1;0;0;0;0;0;0;1
"270135 Campestre";0;0;0;0;1;0;0;0;0;0;1
"270140 Campo Alegre";0;0;0;0;0;1;0;0;0;0;1
"270160 Canapi";0;0;0;0;0;0;1;0;0;0;1
"270180 Carneiros";0;0;0;1;1;0;0;0;0;0;2
"270210 Colônia Leopoldina";0;0;0;0;0;1;0;0;0;0;1
"270220 Coqueiro Seco";0;0;0;0;3;0;0;0;0;0;3
"270230 Coruripe";0;0;0;0;2;1;0;1;0;1;5
"270235 Craíbas";0;0;0;0;1;0;0;0;0;0;1
"270240 Delmiro Gouveia";0;0;1;0;0;1;1;0;0;0;3
"270280 Flexeiras";0;0;0;1;1;0;0;0;0;0;2
"270290 Girau do Ponciano";0;0;0;0;1;0;0;0;0;0;1
"270310 Igaci";0;0;0;1;0;0;0;1;0;0;2
"270320 Igreja Nova";0;0;0;1;1;0;0;0;0;0;2
"270350 Jacuípe";0;0;0;0;1;0;0;0;1;0;2
"270360 Japaratinga";0;0;0;2;0;0;0;0;0;0;2
"270375 Jequiá da Praia";0;0;0;0;0;0;0;1;0;0;1
"270380 Joaquim Gomes";0;0;0;0;0;0;0;1;0;0;1
"270420 Limoeiro de Anadia";0;0;0;0;1;0;0;0;0;0;1
"270430 Maceió";4;1;10;123;138;97;33;15;3;1;425
"270450 Maragogi";0;0;0;1;0;3;0;0;0;0;4
"270470 Marechal Deodoro";0;0;0;2;7;1;1;1;0;0;12
"270480 Maribondo";0;0;0;1;0;1;0;0;0;0;2
"270500 Mata Grande";0;0;1;0;0;0;0;0;0;0;1
"270510 Matriz de Camaragibe";0;0;0;1;1;1;1;0;0;0;4
"270520 Messias";0;1;0;0;0;0;0;0;0;0;1
"270550 Murici";0;0;0;2;1;0;0;0;0;0;3
"270560 Novo Lino";0;0;0;0;0;0;0;1;0;0;1
"270590 Olho d'Água Grande";0;0;0;0;0;1;0;0;0;0;1
"270610 Ouro Branco";0;0;0;0;1;1;0;0;0;0;2
"270620 Palestina";0;0;0;0;0;0;1;0;0;0;1
"270630 Palmeira dos Índios";0;0;1;0;0;0;0;1;1;0;3
"270640 Pão de Açúcar";0;0;0;0;0;1;0;0;0;0;1
"270644 Paripueira";0;0;0;0;0;1;0;0;0;0;1
"270650 Passo de Camaragibe";0;0;0;0;1;0;0;0;0;0;1
"270660 Paulo Jacinto";0;0;0;0;1;0;0;0;0;0;1
"270670 Penedo";0;0;0;0;0;0;1;0;0;0;1
"270690 Pilar";0;0;0;5;3;1;0;0;0;0;9
"270700 Pindoba";0;0;0;0;1;0;0;0;0;0;1
"270710 Piranhas";0;0;0;0;2;0;0;0;0;0;2
"270720 Poço das Trincheiras";0;0;0;1;1;0;0;0;0;0;2
"270730 Porto Calvo";0;0;0;2;4;0;0;0;0;0;6
"270740 Porto de Pedras";0;0;0;0;2;0;0;0;0;0;2
"270750 Porto Real do Colégio";0;0;0;0;1;0;0;0;0;0;1
"270760 Quebrangulo";0;0;0;1;0;0;0;0;0;0;1
"270770 Rio Largo";0;0;0;3;3;2;1;0;0;0;9
"270780 Roteiro";0;0;0;1;1;0;0;0;0;0;2
"270790 Santa Luzia do Norte";0;0;0;0;0;1;0;0;0;0;1
"270800 Santana do Ipanema";0;0;0;0;1;0;1;0;0;0;2
"270810 Santana do Mundaú";0;0;0;1;0;0;0;0;0;0;1
"270830 São José da Laje";0;0;0;0;1;0;0;0;0;0;1
"270860 São Miguel dos Campos";0;0;0;1;2;6;1;1;0;0;11
"270870 São Miguel dos Milagres";0;0;0;0;0;1;0;0;0;0;1
"270880 São Sebastião";0;0;0;0;1;2;0;0;0;0;3
"270890 Satuba";0;0;0;0;0;1;1;0;0;0;2
"270900 Tanque d'Arca";0;0;0;0;1;0;0;0;0;0;1
"270910 Taquarana";0;0;0;0;0;1;0;0;0;0;1
"270915 Teotônio Vilela";0;0;0;0;1;2;1;0;0;0;4
"270920 Traipu";0;0;0;0;0;2;0;0;0;0;2
"270930 União dos Palmares";0;1;0;2;2;2;0;0;0;0;7
"270940 Viçosa";0;0;0;0;0;2;0;0;0;0;2
"Total";4;4;15;166;201;136;47;26;5;2;606
