 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
UF Residência: São Paulo
Período:2024
"Município (Res)";"Masculino";"Feminino";"Ignorado";"Total"
"352710 Lins";10;3;0;13
"352720 Lorena";7;5;0;12
"352730 Louveira";2;1;0;3
"352740 Lucélia";1;0;0;1
"352770 Luiziânia";0;1;0;1
"352820 Macedônia";1;0;0;1
"352840 Mairinque";5;2;0;7
"352850 Mairiporã";4;4;0;8
"352900 Marília";17;4;0;21
"352920 Martinópolis";1;1;0;2
"352930 Matão";3;2;0;5
"352940 Mauá";34;11;0;45
"352970 Miguelópolis";1;0;0;1
"352980 Mineiros do Tietê";0;1;0;1
"352990 Miracatu";3;0;0;3
"353010 Mirandópolis";1;0;0;1
"353020 Mirante do Paranapanema";0;1;0;1
"353030 Mirassol";1;0;0;1
"353050 Mococa";1;0;0;1
"353060 Mogi das Cruzes";36;9;0;45
"353070 Mogi Guaçu";16;6;0;22
"353080 Moji Mirim";11;2;0;13
"353110 Mongaguá";10;3;0;13
"353130 Monte Alto";0;2;0;2
"353180 Monte Mor";2;0;0;2
"353190 Morro Agudo";1;0;0;1
"353250 Neves Paulista";0;1;0;1
"353260 Nhandeara";1;0;0;1
"353282 Nova Campina";0;1;0;1
"353300 Nova Granada";1;0;0;1
"353340 Nova Odessa";10;3;0;13
"353350 Novo Horizonte";1;0;0;1
"353390 Olímpia";7;1;0;8
"353440 Osasco";76;13;0;89
"353470 Ourinhos";16;1;0;17
"353490 Pacaembu";1;0;0;1
"353510 Palmares Paulista";1;0;0;1
"353540 Panorama";1;0;0;1
"353550 Paraguaçu Paulista";4;6;0;10
"353560 Paraibuna";3;0;0;3
"353600 Parapuã";1;0;0;1
"353620 Pariquera-Açu";2;1;0;3
"353625 Parisi";1;0;0;1
"353650 Paulínia";7;3;0;10
"353670 Pederneiras";1;1;0;2
"353700 Pedregulho";1;0;0;1
"353730 Penápolis";7;3;0;10
"353740 Pereira Barreto";1;1;0;2
"353760 Peruíbe";13;2;0;15
"353770 Piacatu";1;0;0;1
"353780 Piedade";1;0;0;1
"353790 Pilar do Sul";1;1;0;2
"353800 Pindamonhangaba";13;5;0;18
"353810 Pindorama";1;0;0;1
"353860 Piracaia";2;0;0;2
"353870 Piracicaba";58;20;0;78
"353880 Piraju";1;0;0;1
"353890 Pirajuí";2;0;0;2
"353910 Pirapora do Bom Jesus";2;0;0;2
"353920 Pirapozinho";2;0;0;2
"353930 Pirassununga";4;1;0;5
"353950 Pitangueiras";0;2;0;2
"353980 Poá";6;0;0;6
"354050 Porangaba";0;1;0;1
"354060 Porto Feliz";0;2;0;2
"354070 Porto Ferreira";2;1;0;3
"354075 Potim";1;1;0;2
"354085 Pracinha";1;0;0;1
"354090 Pradópolis";2;0;0;2
"354100 Praia Grande";63;25;0;88
"354120 Presidente Bernardes";2;0;0;2
"354130 Presidente Epitácio";5;2;0;7
"354140 Presidente Prudente";47;8;0;55
"354150 Presidente Venceslau";3;4;0;7
"354160 Promissão";1;0;0;1
"354210 Rafard";2;0;0;2
"354220 Rancharia";1;1;0;2
"354240 Regente Feijó";0;1;0;1
"354260 Registro";11;7;0;18
"354280 Ribeira";1;0;0;1
"354290 Ribeirão Bonito";0;2;0;2
"354300 Ribeirão Branco";1;0;0;1
"354330 Ribeirão Pires";9;1;0;10
"354340 Ribeirão Preto";102;33;0;135
"354370 Rincão";0;1;0;1
"354390 Rio Claro";23;5;0;28
"354400 Rio das Pedras";1;1;0;2
"354410 Rio Grande da Serra";1;1;0;2
"354425 Rosana";1;0;0;1
"354510 Salmourão";0;1;0;1
"354520 Salto";4;2;0;6
"354560 Santa Adélia";1;0;0;1
"354580 Santa Bárbara d'Oeste";18;4;0;22
"354620 Santa Cruz da Conceição";0;1;0;1
"354630 Santa Cruz das Palmeiras";2;0;0;2
"354640 Santa Cruz do Rio Pardo";2;1;0;3
"354660 Santa Fé do Sul";7;1;0;8
"354680 Santa Isabel";2;0;0;2
"354750 Santa Rita do Passa Quatro";1;0;0;1
"354730 Santana de Parnaíba";2;1;0;3
"354770 Santo Anastácio";1;1;0;2
"354780 Santo André";52;20;0;72
"354850 Santos";53;17;0;70
"354870 São Bernardo do Campo";69;22;1;92
"354880 São Caetano do Sul";14;3;0;17
"354890 São Carlos";27;10;0;37
