 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
Ano Diagnóstico: 2025
UF Residência: Ceará
Região Res.: Região Nordeste
UF Notificação: Ceará
Região Not.: Região Nordeste
Período:2025
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Total"
"230075 Amontada";0;0;0;4;0;4
"230100 Aquiraz";4;1;0;24;0;29
"230110 Aracati";0;1;0;6;0;7
"230120 Aracoiaba";0;0;0;2;0;2
"230130 Araripe";0;0;0;1;0;1
"230190 Barbalha";0;0;0;3;0;3
"230195 Barreira";0;0;0;2;0;2
"230210 Baturité";1;0;0;8;0;9
"230220 Beberibe";0;0;0;1;0;1
"230230 Bela Cruz";0;0;0;1;0;1
"230240 Boa Viagem";0;0;0;2;0;2
"230250 Brejo Santo";3;0;0;6;0;9
"230260 Camocim";1;0;0;2;0;3
"230280 Canindé";0;0;0;3;0;3
"230330 Cariús";1;0;0;0;0;1
"230350 Cascavel";1;0;0;6;0;7
"230370 Caucaia";3;2;0;49;1;55
"230380 Cedro";0;0;0;1;0;1
"230410 Crateús";2;0;0;3;0;5
"230420 Crato";1;1;0;16;0;18
"230426 Deputado Irapuan Pinheiro";1;0;0;2;0;3
"230428 Eusébio";1;0;0;5;0;6
"230435 Forquilha";0;0;0;1;0;1
"230440 Fortaleza";76;27;6;573;2;684
"230445 Fortim";0;0;0;1;0;1
"230465 Graça";0;0;0;1;0;1
"230470 Granja";0;0;0;3;0;3
"230480 Granjeiro";0;0;0;1;0;1
"230500 Guaraciaba do Norte";0;0;0;1;0;1
"230523 Horizonte";2;1;0;6;0;9
"230526 Ibaretama";0;0;0;1;0;1
"230535 Icapuí";0;0;0;1;0;1
"230540 Icó";1;0;0;1;0;2
"230550 Iguatu";8;0;0;12;0;20
"230625 Itaitinga";0;1;0;5;0;6
"230630 Itapagé";1;0;0;0;0;1
"230640 Itapipoca";1;1;0;14;1;17
"230660 Itatira";0;0;0;1;0;1
"230700 Jaguaruana";1;0;0;2;0;3
"230710 Jardim";0;0;0;1;0;1
"230725 Jijoca de Jericoacoara";0;0;0;2;0;2
"230730 Juazeiro do Norte";7;3;0;29;0;39
"230740 Jucás";2;0;0;2;0;4
"230760 Limoeiro do Norte";1;0;0;4;0;5
"230765 Maracanaú";15;2;2;29;0;48
"230770 Maranguape";1;1;0;2;0;4
"230780 Marco";0;0;0;1;0;1
"230790 Martinópole";0;0;0;1;0;1
"230800 Massapê";0;0;0;3;0;3
"230837 Miraíma";0;0;0;1;0;1
"230850 Mombaça";0;0;0;2;0;2
"230860 Monsenhor Tabosa";1;0;0;0;0;1
"230900 Mucambo";0;0;0;2;0;2
"230920 Nova Olinda";1;0;0;0;0;1
"230960 Pacajus";2;0;0;8;0;10
"230970 Pacatuba";0;0;0;8;0;8
"230980 Pacoti";1;0;0;1;0;2
"231020 Paracuru";1;0;0;2;0;3
"231025 Paraipaba";0;0;0;2;0;2
"231030 Parambu";0;0;0;1;0;1
"231050 Pedra Branca";1;0;0;3;0;4
"231060 Penaforte";0;0;0;1;0;1
"231070 Pentecoste";0;0;0;1;0;1
"231080 Pereiro";0;0;0;1;0;1
"231085 Pindoretama";1;0;0;1;0;2
"231090 Piquet Carneiro";1;0;0;0;0;1
"231100 Poranga";0;0;0;1;0;1
"231130 Quixadá";1;2;0;8;0;11
"231135 Quixelô";0;0;0;2;0;2
"231140 Quixeramobim";1;1;0;4;0;6
"231150 Quixeré";0;0;0;2;0;2
"231180 Russas";1;0;0;4;0;5
"231190 Saboeiro";0;0;0;2;0;2
"231230 São Benedito";0;0;0;3;0;3
"231240 São Gonçalo do Amarante";1;0;0;11;0;12
"231260 São Luís do Curu";0;0;0;1;0;1
"231280 Senador Sá";1;0;0;0;0;1
"231290 Sobral";15;16;1;140;0;172
"231330 Tauá";2;2;0;4;0;8
"231340 Tianguá";1;0;0;1;0;2
"231350 Trairi";0;0;0;1;0;1
"231360 Ubajara";0;0;0;3;0;3
"231375 Umirim";0;0;0;2;0;2
"231400 Várzea Alegre";0;0;0;1;0;1
"Total";167;62;9;1069;4;1311
