 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Pará
Período:2024
"Município (Res)";"< 1 ano";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"150630 Salvaterra";0;0;0;0;1;1;0;1;0;0;0;0;3
"150635 Santa Bárbara do Pará";0;0;0;0;0;1;0;0;0;0;0;0;1
"150640 Santa Cruz do Arari";0;0;0;0;0;0;1;0;1;0;0;0;2
"150650 Santa Isabel do Pará";0;0;0;0;1;7;9;7;3;1;1;0;29
"150660 Santa Maria do Pará";0;0;0;0;0;0;0;0;1;0;0;0;1
"150670 Santana do Araguaia";0;0;0;0;0;2;2;0;1;0;0;0;5
"150680 Santarém";0;0;0;1;12;75;48;34;22;5;1;0;198
"150700 Santo Antônio do Tauá";0;0;0;0;0;0;1;1;0;0;0;0;2
"150710 São Caetano de Odivelas";0;0;0;0;0;1;0;0;0;0;0;0;1
"150730 São Félix do Xingu";0;0;0;0;0;0;1;2;0;0;0;1;4
"150747 São João de Pirabas";0;0;0;0;1;1;1;3;1;1;0;0;8
"150760 São Miguel do Guamá";0;0;0;0;0;1;0;0;1;0;0;0;2
"150790 Soure";0;0;0;0;0;2;4;2;0;1;0;0;9
"150795 Tailândia";0;0;0;0;1;7;10;4;0;1;1;0;24
"150796 Terra Alta";0;0;0;0;0;0;1;0;0;0;0;0;1
"150800 Tomé-Açu";0;0;0;0;0;0;2;4;0;0;0;0;6
"150805 Trairão";0;0;0;0;0;0;0;1;1;1;0;0;3
"150808 Tucumã";0;0;0;0;0;0;0;0;0;1;1;0;2
"150810 Tucuruí";0;0;0;0;0;15;14;16;5;3;0;0;53
"150812 Ulianópolis";0;0;0;0;0;0;0;0;2;1;0;0;3
"150815 Uruará";0;0;0;0;0;0;0;2;0;0;0;0;2
"150820 Vigia";0;0;0;0;0;0;5;4;2;0;0;0;11
"150830 Viseu";0;0;0;0;0;2;0;0;0;0;0;0;2
"150835 Vitória do Xingu";0;0;0;0;0;0;0;0;0;0;1;0;1
"150840 Xinguara";0;0;0;0;0;0;0;1;0;1;0;0;2
"150000 Município ignorado - PA";1;0;0;0;0;0;0;0;0;0;0;0;1
"Total";6;4;3;4;59;587;693;558;295;129;30;6;2374
