 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Rondônia
Período:2015
"Município (Res)";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"110040 Alto Paraíso";0;0;0;0;1;0;0;0;0;0;0;1
"110002 Ariquemes";0;0;0;0;3;13;3;2;1;0;0;22
"110045 Buritis";0;0;0;0;1;2;0;0;0;0;0;3
"110004 Cacoal";0;0;0;0;1;6;3;0;0;0;1;11
"110080 Candeias do Jamari";0;0;0;0;0;1;0;0;0;0;0;1
"110090 Castanheiras";0;0;0;0;0;1;0;0;0;0;0;1
"110005 Cerejeiras";0;0;0;0;1;0;0;0;0;0;0;1
"110092 Chupinguaia";0;0;0;0;0;0;1;0;0;0;0;1
"110006 Colorado do Oeste";0;0;0;0;0;0;0;1;0;0;0;1
"110008 Costa Marques";0;0;1;0;1;0;0;0;0;0;0;2
"110094 Cujubim";0;0;0;0;0;1;0;0;0;0;0;1
"110010 Guajará-Mirim";0;0;0;0;1;2;0;0;0;0;0;3
"110110 Itapuã do Oeste";0;0;0;0;1;0;1;0;0;0;0;2
"110011 Jaru";0;0;0;0;2;0;1;1;0;0;0;4
"110012 Ji-Paraná";0;0;0;1;6;9;9;7;0;0;0;32
"110140 Monte Negro";0;0;0;0;0;1;0;0;0;0;0;1
"110033 Nova Mamoré";0;0;0;0;1;0;0;0;0;0;0;1
"110018 Pimenta Bueno";0;0;0;0;2;5;1;1;0;0;0;9
"110020 Porto Velho";2;1;0;4;69;75;60;34;7;2;0;254
"110025 Presidente Médici";0;0;0;0;0;2;1;0;0;0;0;3
"110147 Primavera de Rondônia";0;0;0;0;0;0;1;0;0;0;0;1
"110026 Rio Crespo";0;0;0;0;0;0;1;0;0;0;0;1
"110028 Rolim de Moura";0;0;0;0;1;1;1;0;0;0;0;3
"110149 São Francisco do Guaporé";0;0;0;0;0;1;0;0;0;0;0;1
"110030 Vilhena";0;0;0;0;2;3;1;1;2;0;0;9
"Total";2;1;1;5;93;123;84;47;10;2;1;369
