 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
Ano Diagnóstico: 2024
Ano Notificação: 2024
UF Residência: Pernambuco
Região Res.: Região Nordeste
UF Notificação: Pernambuco
Região Not.: Região Nordeste
Período:2024
"Município (Res)";"Masculino";"Feminino";"Ignorado";"Total"
"260005 Abreu e Lima";17;10;0;27
"260010 Afogados da Ingazeira";10;3;0;13
"260030 Agrestina";1;0;0;1
"260040 Água Preta";1;0;0;1
"260050 Águas Belas";1;1;0;2
"260060 Alagoinha";1;0;0;1
"260070 Aliança";2;1;0;3
"260080 Altinho";0;1;0;1
"260090 Amaraji";2;2;0;4
"260100 Angelim";2;0;0;2
"260105 Araçoiaba";2;0;0;2
"260110 Araripina";9;8;0;17
"260120 Arcoverde";8;1;0;9
"260140 Barreiros";2;2;0;4
"260170 Belo Jardim";7;3;0;10
"260190 Bezerros";1;0;0;1
"260210 Bom Conselho";2;1;0;3
"260220 Bom Jardim";0;2;0;2
"260230 Bonito";1;0;0;1
"260240 Brejão";1;0;0;1
"260260 Brejo da Madre de Deus";1;1;0;2
"260290 Cabo de Santo Agostinho";26;15;0;41
"260300 Cabrobó";1;1;0;2
"260310 Cachoeirinha";1;0;0;1
"260345 Camaragibe";24;8;0;32
"260370 Canhotinho";1;1;0;2
"260380 Capoeiras";1;1;0;2
"260400 Carpina";4;2;0;6
"260410 Caruaru";103;42;3;148
"260420 Catende";3;0;0;3
"260440 Chã de Alegria";2;0;0;2
"260450 Chã Grande";1;0;0;1
"260460 Condado";0;1;0;1
"260490 Cumaru";1;0;0;1
"260520 Escada";11;3;0;14
"260540 Feira Nova";1;1;0;2
"260570 Floresta";1;1;0;2
"260590 Gameleira";3;1;0;4
"260600 Garanhuns";21;5;0;26
"260620 Goiana";13;4;0;17
"260640 Gravatá";6;0;0;6
"260680 Igarassu";23;6;0;29
"260760 Ilha de Itamaracá";3;1;0;4
"260700 Inajá";1;0;0;1
"260720 Ipojuca";16;12;0;28
"260765 Itambé";2;0;0;2
"260775 Itapissuma";5;1;0;6
"260790 Jaboatão dos Guararapes";80;26;0;106
"260810 João Alfredo";0;1;0;1
"260820 Joaquim Nabuco";1;0;0;1
"260825 Jucati";3;0;0;3
"260830 Jupi";1;0;0;1
"260870 Lagoa dos Gatos";0;2;0;2
"260880 Lajedo";3;1;0;4
"260890 Limoeiro";13;4;0;17
"260900 Macaparana";1;0;0;1
"260940 Moreno";2;0;0;2
"260950 Nazaré da Mata";2;1;0;3
"260960 Olinda";64;16;0;80
"260980 Orocó";1;0;0;1
"260990 Ouricuri";3;3;0;6
"261000 Palmares";24;9;0;33
"261010 Palmeirina";1;1;0;2
"261030 Paranatama";1;0;0;1
"261050 Passira";2;0;0;2
"261060 Paudalho";1;1;0;2
"261070 Paulista";27;17;0;44
"261090 Pesqueira";1;1;0;2
"261100 Petrolândia";1;2;0;3
"261110 Petrolina";52;22;0;74
"261130 Pombos";0;1;0;1
"261140 Primavera";1;0;0;1
"261160 Recife";345;152;0;497
"261180 Ribeirão";2;1;0;3
"261190 Rio Formoso";0;2;0;2
"261220 Salgueiro";8;5;0;13
"261230 Saloá";1;1;0;2
"261245 Santa Cruz";2;0;0;2
"261250 Santa Cruz do Capibaribe";10;8;0;18
"261260 Santa Maria da Boa Vista";1;0;0;1
"261280 Santa Terezinha";1;0;0;1
"261300 São Bento do Una";1;0;0;1
"261320 São João";1;0;0;1
"261330 São Joaquim do Monte";1;0;0;1
"261340 São José da Coroa Grande";0;1;0;1
"261350 São José do Belmonte";1;0;0;1
"261360 São José do Egito";1;1;0;2
"261370 São Lourenço da Mata";13;8;0;21
"261390 Serra Talhada";23;12;0;35
"261410 Sertânia";2;2;0;4
"261420 Sirinhaém";2;3;0;5
"261450 Surubim";3;0;0;3
"261460 Tabira";2;0;0;2
"261470 Tacaimbó";1;0;0;1
"261485 Tamandaré";0;1;0;1
"261530 Timbaúba";0;1;0;1
"261540 Toritama";5;0;0;5
"261560 Trindade";1;2;0;3
"261570 Triunfo";1;0;0;1
"261630 Vicência";3;0;0;3
"261640 Vitória de Santo Antão";9;11;0;20
"261650 Xexéu";1;1;0;2
"260000 Município ignorado - PE";0;1;0;1
"Total";1071;463;3;1537
