 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
UF Residência: São Paulo
Período:2019
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"Total"
"351685 Gavião Peixoto";0;0;0;0;0;0;2;0;0;2
"351720 Guaiçara";0;0;0;1;0;0;0;0;0;1
"351740 Guaíra";0;0;0;0;1;1;1;0;0;3
"351750 Guapiaçu";0;1;0;1;0;0;0;0;0;2
"351760 Guapiara";0;0;0;0;0;1;0;0;0;1
"351770 Guará";1;0;0;1;0;1;0;0;0;3
"351790 Guaraci";0;0;0;0;0;0;1;0;0;1
"351840 Guaratinguetá";0;1;0;1;2;0;5;1;1;11
"351850 Guareí";0;0;0;0;0;0;1;0;0;1
"351860 Guariba";0;0;0;0;0;1;0;0;0;1
"351870 Guarujá";4;3;3;8;5;7;8;3;3;44
"351880 Guarulhos";2;5;4;25;14;22;45;10;24;151
"351907 Hortolândia";0;2;0;5;2;4;20;1;5;39
"351910 Iacanga";0;0;0;0;0;1;0;0;0;1
"351920 Iacri";0;0;0;1;0;0;0;0;0;1
"351925 Iaras";0;0;0;1;0;0;0;0;0;1
"351930 Ibaté";0;0;0;0;0;1;0;0;0;1
"351960 Ibitinga";1;0;0;1;0;1;0;0;0;3
"351970 Ibiúna";0;0;0;2;0;0;0;0;0;2
"352000 Igaraçu do Tietê";0;1;0;0;0;0;0;0;0;1
"352010 Igarapava";0;0;0;2;0;2;0;0;0;4
"352042 Ilha Comprida";0;0;0;0;0;0;1;0;0;1
"352044 Ilha Solteira";0;0;0;1;0;0;0;0;0;1
"352050 Indaiatuba";0;1;0;2;1;9;10;0;1;24
"352090 Ipaussu";0;0;1;1;0;0;0;0;0;2
"352190 Itajobi";0;0;0;1;0;0;1;0;1;3
"352210 Itanhaém";0;0;0;3;2;0;3;1;0;9
"352220 Itapecerica da Serra";0;0;1;2;1;0;4;0;1;9
"352230 Itapetininga";0;1;0;3;0;3;3;1;1;12
"352240 Itapeva";0;1;0;0;0;1;2;0;1;5
"352250 Itapevi";0;0;2;4;1;0;7;3;4;21
"352260 Itapira";0;0;0;1;0;0;1;0;1;3
"352270 Itápolis";0;0;0;1;0;0;0;0;0;1
"352290 Itapuí";0;0;0;1;0;0;0;0;0;1
"352300 Itapura";0;1;0;0;0;0;0;0;0;1
"352310 Itaquaquecetuba";0;2;2;8;3;4;4;1;1;25
"352320 Itararé";0;1;0;0;0;0;0;0;0;1
"352340 Itatiba";0;1;0;1;0;0;4;0;0;6
"352350 Itatinga";0;0;0;0;0;0;1;0;0;1
"352360 Itirapina";0;0;2;0;1;0;1;0;0;4
"352390 Itu";1;3;0;5;3;3;9;0;2;26
"352400 Itupeva";0;0;0;0;0;0;2;0;2;4
"352410 Ituverava";0;0;0;1;0;3;0;0;0;4
"352430 Jaboticabal";0;0;0;0;0;1;0;0;3;4
"352440 Jacareí";0;0;1;5;2;1;6;1;3;19
"352470 Jaguariúna";0;0;0;1;0;1;1;0;1;4
"352480 Jales";1;0;0;1;2;1;1;0;2;8
"352500 Jandira";0;3;0;2;0;1;2;1;1;10
"352510 Jardinópolis";0;0;0;1;0;0;0;0;0;1
"352530 Jaú";0;3;1;5;1;3;4;0;3;20
"352540 Jeriquara";0;0;0;0;0;1;0;0;0;1
"352570 José Bonifácio";0;0;0;0;0;1;0;0;0;1
"352580 Júlio Mesquita";0;0;1;0;0;0;0;0;0;1
"352590 Jundiaí";0;0;4;11;4;11;18;4;15;67
"352600 Junqueirópolis";0;0;0;0;0;0;1;0;0;1
"352610 Juquiá";0;0;0;1;0;0;0;0;0;1
"352620 Juquitiba";0;0;0;0;1;0;0;0;0;1
"352670 Leme";0;1;1;2;2;0;0;0;1;7
"352680 Lençóis Paulista";0;2;0;0;0;1;3;0;0;6
"352690 Limeira";0;0;1;2;3;4;7;2;4;23
"352710 Lins";0;1;1;5;2;1;5;1;1;17
"352720 Lorena";0;0;0;0;0;1;14;0;0;15
"352730 Louveira";0;0;0;0;0;0;1;0;0;1
"352780 Lupércio";0;0;0;0;0;1;0;0;0;1
"352840 Mairinque";0;0;1;0;0;0;2;0;1;4
"352850 Mairiporã";0;3;1;0;0;0;1;0;0;5
"352885 Marapoama";0;0;0;1;0;0;0;0;0;1
"352900 Marília";0;2;2;5;3;1;9;0;4;26
"352920 Martinópolis";0;1;0;0;0;0;0;0;0;1
"352930 Matão";0;1;0;0;0;2;0;1;0;4
"352940 Mauá";0;6;2;5;10;7;19;2;6;57
"352980 Mineiros do Tietê";0;0;1;0;0;0;0;0;0;1
"353030 Mirassol";1;1;0;0;1;0;1;0;0;4
"353050 Mococa";0;0;0;0;0;0;2;0;0;2
"353060 Mogi das Cruzes";0;1;4;2;3;3;24;2;4;43
"353070 Mogi Guaçu";2;2;2;1;2;3;10;1;2;25
"353080 Moji Mirim";0;0;0;1;2;1;2;0;2;8
"353100 Monções";0;0;0;0;0;0;0;0;1;1
"353110 Mongaguá";0;0;0;1;1;0;1;0;0;3
