 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
Ano Diagnóstico: 2022
UF Residência: Ceará
Região Res.: Região Nordeste
UF Notificação: Ceará
Região Not.: Região Nordeste
Período:2022
"Município (Res)";"< 1 ano";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"231085 Pindoretama";0;0;0;0;0;0;0;0;1;0;0;0;1
"231130 Quixadá";0;0;0;0;0;1;1;1;2;0;0;0;5
"231140 Quixeramobim";0;0;0;0;0;0;0;1;0;0;0;0;1
"231160 Redenção";0;0;0;0;0;1;2;0;0;0;0;0;3
"231170 Reriutaba";0;0;0;0;0;0;0;1;0;0;0;0;1
"231180 Russas";0;0;0;0;0;2;0;0;2;0;0;0;4
"231190 Saboeiro";0;0;0;0;0;0;0;2;0;1;0;0;3
"231220 Santa Quitéria";0;0;0;0;0;0;0;1;1;0;0;0;2
"231200 Santana do Acaraú";0;1;0;0;0;0;0;0;0;0;0;0;1
"231240 São Gonçalo do Amarante";0;0;0;0;0;1;3;5;1;0;0;0;10
"231260 São Luís do Curu";0;0;0;0;0;0;0;0;1;0;0;0;1
"231280 Senador Sá";0;0;0;0;0;0;0;1;0;0;0;0;1
"231290 Sobral";0;0;0;0;1;19;18;14;6;2;2;0;62
"231310 Tabuleiro do Norte";0;0;0;0;0;0;0;0;1;0;0;0;1
"231320 Tamboril";0;0;0;0;0;0;0;0;1;0;0;0;1
"231325 Tarrafas";0;0;0;0;0;0;0;0;1;0;0;0;1
"231330 Tauá";0;0;0;0;1;0;3;0;0;0;0;0;4
"231335 Tejuçuoca";0;0;0;0;0;0;0;0;1;0;0;0;1
"231340 Tianguá";0;0;0;0;0;1;1;0;2;0;0;0;4
"231350 Trairi";0;0;0;0;0;2;0;1;1;0;0;0;4
"231355 Tururu";0;0;0;0;0;1;0;0;0;0;0;0;1
"231360 Ubajara";0;0;0;0;0;1;2;0;0;0;0;0;3
"231375 Umirim";0;0;0;0;0;0;1;0;0;0;1;0;2
"231380 Uruburetama";0;0;0;0;0;1;1;0;0;0;0;0;2
"231395 Varjota";0;0;0;0;0;0;1;0;0;0;0;0;1
"231400 Várzea Alegre";0;0;0;0;0;0;1;0;0;0;0;0;1
"231410 Viçosa do Ceará";0;0;0;0;0;0;1;0;0;0;0;0;1
"Total";4;4;2;4;22;326;412;284;149;63;24;3;1297
