 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Minas Gerais
Período:2017
"Município (Res)";"< 1 ano";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"ignorado";"Total"
"312200 Divino";0;0;0;0;0;0;0;1;0;0;0;0;0;1
"312230 Divinópolis";0;0;0;0;4;19;18;15;9;3;0;2;0;70
"312260 Dom Joaquim";0;0;0;0;0;0;1;0;0;0;0;0;0;1
"312360 Elói Mendes";0;0;0;0;0;0;0;1;0;0;0;0;0;1
"312385 Entre Folhas";0;0;0;0;0;1;0;0;0;0;0;0;0;1
"312410 Esmeraldas";1;0;0;0;0;1;1;2;1;0;0;0;0;6
"312420 Espera Feliz";0;0;0;0;0;1;0;0;0;0;0;0;0;1
"312440 Espírito Santo do Dourado";0;0;0;0;0;0;1;0;0;0;0;0;0;1
"312460 Estrela Dalva";0;0;0;0;0;1;0;0;0;0;0;0;0;1
"312490 Eugenópolis";0;0;0;0;0;0;0;1;0;0;0;0;0;1
"312510 Extrema";0;0;0;0;1;3;1;1;0;1;0;0;0;7
"312560 Felisburgo";0;0;0;0;0;0;0;1;0;0;0;0;0;1
"312610 Formiga";0;0;0;0;0;0;2;0;0;0;0;0;0;2
"312640 Fortuna de Minas";0;0;0;0;0;0;1;0;0;0;0;0;0;1
"312680 Frei Gaspar";0;0;0;0;0;0;1;0;0;0;0;0;0;1
"312710 Frutal";0;0;0;0;1;2;8;3;4;0;0;0;0;18
"312730 Galiléia";0;0;0;0;0;0;0;0;1;0;0;0;0;1
"312735 Glaucilândia";0;0;0;0;0;0;1;0;0;0;0;0;0;1
"312737 Goiabeira";0;0;0;0;0;1;0;0;0;0;0;0;0;1
"312738 Goianá";0;0;0;0;0;0;1;0;0;0;0;0;0;1
"312770 Governador Valadares";0;0;1;0;1;8;10;11;7;7;1;0;0;46
"312825 Guaraciama";0;0;0;0;0;0;0;0;1;0;0;0;0;1
"312870 Guaxupé";0;0;0;0;0;0;1;3;1;2;0;0;0;7
"312930 Iapu";0;0;0;0;0;0;0;1;0;0;0;0;0;1
"312950 Ibiá";0;0;0;0;0;1;1;0;0;0;0;0;0;2
"312960 Ibiaí";0;0;0;0;0;0;0;0;1;0;0;0;0;1
"312965 Ibiracatu";0;0;0;0;0;0;1;0;0;0;0;0;0;1
