 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
Ano Diagnóstico: 2022
UF Residência: Maranhão
Região Res.: Região Nordeste
UF Notificação: Maranhão
Região Not.: Região Nordeste
Período:2022
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"Total"
"211170 São Vicente Ferrer";0;0;1;0;0;0;0;0;0;1
"211176 Senador La Rocque";0;0;0;2;0;0;0;0;0;2
"211178 Serrano do Maranhão";0;0;0;0;1;0;1;0;0;2
"211180 Sítio Novo";0;0;0;0;0;0;1;0;2;3
"211190 Sucupira do Norte";0;1;0;0;0;0;0;0;0;1
"211210 Timbiras";0;2;0;0;0;0;0;0;0;2
"211220 Timon";3;3;1;7;3;2;10;2;5;36
"211230 Tuntum";1;1;0;0;0;0;0;0;0;2
"211240 Turiaçu";0;2;0;1;1;0;0;0;0;4
"211245 Turilândia";0;0;1;0;0;0;0;0;0;1
"211250 Tutóia";1;2;0;2;0;0;0;0;0;5
"211270 Vargem Grande";0;0;0;0;1;0;0;0;0;1
"211280 Viana";1;0;0;0;0;0;1;0;0;2
"211290 Vitória do Mearim";0;1;0;0;0;1;0;0;0;2
"211400 Zé Doca";0;1;0;0;0;0;0;0;0;1
"Total";85;172;82;176;89;131;306;45;134;1220
