 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
UF Residência: Rondônia
Período:2025
"Município (Res)";"Masculino";"Feminino";"Ignorado";"Total"
"110001 Alta Floresta D'Oeste";0;1;0;1
"110037 Alto Alegre dos Parecis";1;1;0;2
"110034 Alvorada D'Oeste";1;0;0;1
"110002 Ariquemes";17;8;0;25
"110045 Buritis";1;1;0;2
"110004 Cacoal";3;0;0;3
"110080 Candeias do Jamari";1;0;0;1
"110008 Costa Marques";0;1;0;1
"110010 Guajará-Mirim";5;1;0;6
"110011 Jaru";3;1;0;4
"110012 Ji-Paraná";10;3;1;14
"110015 Ouro Preto do Oeste";1;0;0;1
"110018 Pimenta Bueno";1;2;0;3
"110020 Porto Velho";96;30;1;127
"110028 Rolim de Moura";1;1;0;2
"110149 São Francisco do Guaporé";1;0;0;1
"110032 São Miguel do Guaporé";1;0;0;1
"110155 Teixeirópolis";1;0;0;1
"110175 Vale do Anari";1;0;0;1
"110030 Vilhena";22;12;0;34
"Total";167;62;2;231
