regiao,uf,cod_ibge,municipio,ano_diagnostico,Branca,Preta,Amarela,Parda,Indígena,Ignorado,2023,analfabeto,1ª a 4ª série incompleta,4ª série completa,5ª a 8ª série incompleta,fundamental completo,médio incompleto,médio completo,superior incompleto,superior completo,nao_informado
NORDESTE,BA,353420.0,Orindiúva,2021,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,353430.0,Orlândia,2021,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,353440.0,Osasco,2021,52.0,6.0,0.0,33.0,0.0,1.0,,,,,,,,,,,0.0
NORDESTE,BA,353460.0,Osvaldo Cruz,2021,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,353470.0,Ourinhos,2021,11.0,1.0,0.0,3.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,353500.0,Palestina,2021,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,353530.0,Palmital,2021,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,353540.0,Panorama,2021,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,353550.0,Paraguaçu Paulista,2021,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,353560.0,Paraibuna,2021,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,353590.0,Paranapuã,2021,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,353620.0,Pariquera-Açu,2021,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORDESTE,BA,353640.0,Paulicéia,2021,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,0.0
