 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
UF Residência: Rio de Janeiro
Período:2019
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"não se aplica";"Total"
"330010 Angra dos Reis";0;3;0;9;0;6;2;1;1;0;22
"330015 Aperibé";0;0;0;0;0;0;0;0;1;0;1
"330020 Araruama";0;2;1;2;1;2;4;0;2;0;14
"330022 Areal";0;1;0;0;0;0;0;0;0;0;1
"330023 Armação dos Búzios";0;0;0;2;0;0;2;0;0;0;4
"330025 Arraial do Cabo";0;0;0;1;1;3;0;0;0;0;5
"330030 Barra do Piraí";0;1;0;0;0;4;1;0;0;0;6
"330040 Barra Mansa";0;1;1;0;0;1;4;0;0;0;7
"330045 Belford Roxo";0;5;3;9;5;14;21;2;2;0;61
"330050 Bom Jardim";0;0;0;1;0;0;0;0;0;0;1
"330060 Bom Jesus do Itabapoana";0;0;0;0;1;1;1;0;1;0;4
"330070 Cabo Frio";0;4;1;6;1;3;4;0;2;0;21
"330080 Cachoeiras de Macacu";1;0;0;1;0;2;2;0;0;0;6
"330100 Campos dos Goytacazes";3;2;0;8;4;2;7;0;2;1;29
"330110 Cantagalo";0;0;0;1;0;0;0;0;0;0;1
"330093 Carapebus";0;0;0;0;1;0;1;0;0;0;2
"330120 Carmo";0;0;0;1;0;0;0;0;0;0;1
"330130 Casimiro de Abreu";0;0;0;0;0;1;0;0;1;0;2
"330095 Comendador Levy Gasparian";0;0;0;1;0;0;0;0;0;0;1
"330150 Cordeiro";0;0;1;1;1;0;0;0;1;0;4
"330170 Duque de Caxias";0;8;8;27;20;29;18;1;8;0;119
"330185 Guapimirim";1;1;1;1;0;1;1;0;0;0;6
"330187 Iguaba Grande";0;0;0;0;1;0;1;0;1;0;3
"330190 Itaboraí";0;5;2;3;4;7;8;0;2;0;31
"330200 Itaguaí";0;0;0;7;1;1;2;1;2;0;14
"330220 Itaperuna";0;0;0;2;2;1;5;0;1;0;11
"330225 Itatiaia";0;0;0;1;0;0;2;2;0;0;5
"330227 Japeri";0;3;2;1;4;4;4;0;1;0;19
"330240 Macaé";0;1;0;6;4;4;11;2;2;0;30
"330250 Magé";0;1;2;2;3;4;6;2;2;1;23
"330260 Mangaratiba";0;1;1;1;1;0;1;0;1;0;6
"330270 Maricá";0;3;0;2;0;2;3;1;3;0;14
"330280 Mendes";0;0;0;1;0;0;0;0;0;0;1
"330285 Mesquita";0;3;0;2;1;2;4;0;4;0;16
"330290 Miguel Pereira";0;0;0;1;0;0;0;0;0;0;1
"330300 Miracema";0;0;0;0;0;0;0;0;1;0;1
"330310 Natividade";0;0;0;0;0;1;0;0;0;0;1
"330320 Nilópolis";0;1;0;5;0;1;4;1;3;0;15
"330330 Niterói";0;5;2;12;6;14;24;10;11;0;84
"330340 Nova Friburgo";1;1;0;7;5;5;2;0;0;0;21
"330350 Nova Iguaçu";3;12;15;28;8;24;29;3;14;0;136
"330360 Paracambi";0;1;0;1;0;0;0;0;0;0;2
"330370 Paraíba do Sul";0;1;0;1;0;2;1;0;0;0;5
"330380 Parati";0;0;0;1;1;0;1;1;1;0;5
"330390 Petrópolis";0;3;2;14;9;3;14;3;11;0;59
"330395 Pinheiral";0;0;0;1;0;0;0;0;1;0;2
"330400 Piraí";0;1;0;2;0;0;1;0;0;0;4
"330410 Porciúncula";0;0;0;0;0;1;0;0;0;0;1
"330412 Quatis";0;0;0;0;0;0;1;0;0;0;1
"330414 Queimados";2;2;2;6;0;1;2;2;2;0;19
"330415 Quissamã";0;0;0;0;0;0;1;0;1;0;2
"330420 Resende";0;1;1;2;2;4;2;1;3;0;16
"330430 Rio Bonito";1;2;0;0;0;4;3;0;0;0;10
"330450 Rio das Flores";0;0;0;0;0;1;1;0;0;0;2
"330452 Rio das Ostras";0;2;0;2;1;5;5;1;4;0;20
"330455 Rio de Janeiro";15;98;30;168;98;206;268;59;179;0;1121
"330470 Santo Antônio de Pádua";0;0;0;2;0;0;0;0;0;0;2
"330480 São Fidélis";0;0;0;0;0;0;1;0;0;0;1
"330475 São Francisco de Itabapoana";0;0;0;0;0;0;1;0;0;0;1
"330490 São Gonçalo";2;13;2;35;11;20;43;7;10;0;143
"330500 São João da Barra";0;0;1;2;0;0;3;0;0;0;6
"330510 São João de Meriti";0;6;3;16;2;8;14;2;3;0;54
"330520 São Pedro da Aldeia";0;0;0;0;0;3;2;0;1;0;6
"330550 Saquarema";0;0;1;1;0;0;0;0;2;0;4
"330555 Seropédica";0;0;2;1;0;0;1;0;0;0;4
"330575 Tanguá";0;0;0;0;0;0;1;0;0;0;1
"330580 Teresópolis";1;6;0;4;0;2;7;0;1;0;21
"330600 Três Rios";0;0;0;2;5;2;2;0;0;0;11
"330610 Valença";0;3;0;2;1;6;2;0;0;0;14
"330620 Vassouras";0;1;0;1;1;3;1;2;0;0;9
"330630 Volta Redonda";0;11;4;20;8;4;12;1;7;0;67
"Total";30;215;88;436;214;414;564;105;295;2;2363
