 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
UF Residência: Rio de Janeiro
Período:2016
"Município (Res)";"Masculino";"Feminino";"Total"
"330010 Angra dos Reis";21;6;27
"330015 Aperibé";1;1;2
"330020 Araruama";11;7;18
"330022 Areal";3;0;3
"330023 Armação dos Búzios";5;1;6
"330025 Arraial do Cabo";2;4;6
"330030 Barra do Piraí";12;4;16
"330040 Barra Mansa";21;10;31
"330045 Belford Roxo";58;33;91
"330050 Bom Jardim";1;0;1
"330060 Bom Jesus do Itabapoana";3;2;5
"330070 Cabo Frio";23;15;38
"330080 Cachoeiras de Macacu";6;2;8
"330090 Cambuci";0;1;1
"330100 Campos dos Goytacazes";85;55;140
"330093 Carapebus";0;1;1
"330120 Carmo";1;1;2
"330130 Casimiro de Abreu";7;3;10
"330095 Comendador Levy Gasparian";1;0;1
"330140 Conceição de Macabu";1;1;2
"330150 Cordeiro";2;1;3
"330170 Duque de Caxias";148;100;248
"330185 Guapimirim";9;9;18
"330187 Iguaba Grande";4;2;6
"330190 Itaboraí";20;21;41
"330200 Itaguaí";24;9;33
"330210 Itaocara";1;2;3
"330220 Itaperuna";14;11;25
"330225 Itatiaia";1;0;1
"330227 Japeri";14;9;23
"330240 Macaé";37;22;59
"330245 Macuco";2;1;3
"330250 Magé";36;14;50
"330260 Mangaratiba";3;2;5
"330270 Maricá";25;9;34
"330285 Mesquita";27;13;40
"330290 Miguel Pereira";6;4;10
"330300 Miracema";5;2;7
"330310 Natividade";1;1;2
"330320 Nilópolis";19;8;27
"330330 Niterói";84;43;127
"330340 Nova Friburgo";17;5;22
"330350 Nova Iguaçu";155;114;269
"330360 Paracambi";5;3;8
"330370 Paraíba do Sul";5;2;7
"330380 Parati";7;0;7
"330390 Petrópolis";23;10;33
"330395 Pinheiral";4;0;4
"330400 Piraí";5;1;6
"330410 Porciúncula";4;0;4
"330411 Porto Real";2;0;2
"330412 Quatis";3;0;3
"330414 Queimados";23;13;36
"330415 Quissamã";0;2;2
"330420 Resende";16;9;25
"330430 Rio Bonito";8;1;9
"330440 Rio Claro";1;2;3
"330452 Rio das Ostras";36;12;48
"330455 Rio de Janeiro";1519;652;2171
"330470 Santo Antônio de Pádua";3;2;5
"330475 São Francisco de Itabapoana";1;0;1
"330490 São Gonçalo";148;90;238
"330500 São João da Barra";2;1;3
"330510 São João de Meriti";65;44;109
"330513 São José de Ubá";0;3;3
"330520 São Pedro da Aldeia";7;2;9
"330540 Sapucaia";2;0;2
"330550 Saquarema";6;9;15
"330555 Seropédica";11;4;15
"330560 Silva Jardim";2;1;3
"330575 Tanguá";1;0;1
"330580 Teresópolis";23;12;35
"330590 Trajano de Morais";1;0;1
"330600 Três Rios";8;9;17
"330610 Valença";8;2;10
"330615 Varre-Sai";0;1;1
"330620 Vassouras";4;2;6
"330630 Volta Redonda";48;16;64
"330000 Município ignorado - RJ";11;6;17
"Total";2928;1460;4388
