 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Acre
Período:2023
"Município (Res)";"1-4";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"Total"
"120005 Assis Brasil";0;0;1;0;1;0;0;2
"120010 Brasiléia";0;0;3;3;0;0;1;7
"120013 Bujari";0;0;0;1;0;0;0;1
"120020 Cruzeiro do Sul";0;0;2;1;0;0;0;3
"120025 Epitaciolândia";0;0;0;0;0;1;0;1
"120038 Plácido de Castro";0;0;0;0;0;1;0;1
"120040 Rio Branco";1;2;29;37;24;14;6;113
"120050 Sena Madureira";0;0;0;0;1;1;0;2
"120060 Tarauacá";0;1;0;0;1;0;0;2
"Total";1;3;35;42;27;17;7;132
