 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: Espírito Santo
Período:2021
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Ignorado";"Total"
"320010 Afonso Cláudio";1;0;0;0;0;1
"320016 Água Doce do Norte";0;0;0;1;0;1
"320013 Águia Branca";0;0;0;1;0;1
"320020 Alegre";0;0;0;1;0;1
"320060 Aracruz";3;1;1;8;0;13
"320080 Baixo Guandu";1;0;0;0;0;1
"320090 Barra de São Francisco";2;0;0;2;0;4
"320120 Cachoeiro de Itapemirim";9;3;1;18;9;40
"320130 Cariacica";15;4;4;24;0;47
"320150 Colatina";12;5;2;23;0;42
"320160 Conceição da Barra";1;1;0;4;2;8
"320210 Ecoporanga";0;0;1;3;0;4
"320230 Guaçuí";3;2;1;2;3;11
"320240 Guarapari";7;0;0;11;0;18
"320245 Ibatiba";1;0;0;1;0;2
"320280 Itapemirim";1;0;0;1;0;2
"320300 Iúna";1;0;0;0;0;1
"320305 Jaguaré";0;1;0;1;0;2
"320320 Linhares";3;1;2;17;0;23
"320340 Mimoso do Sul";0;0;0;1;0;1
"320350 Montanha";1;0;0;2;1;4
"320380 Muqui";0;0;0;0;1;1
"320390 Nova Venécia";6;0;0;2;0;8
"320405 Pedro Canário";1;1;0;3;0;5
"320410 Pinheiros";1;0;0;0;0;1
"320430 Presidente Kennedy";0;0;0;1;0;1
"320435 Rio Bananal";0;0;0;1;0;1
"320455 Santa Maria de Jetibá";0;0;1;0;0;1
"320460 Santa Teresa";0;0;0;1;0;1
"320470 São Gabriel da Palha";0;0;0;4;0;4
"320480 São José do Calçado";0;0;0;1;0;1
"320490 São Mateus";6;5;6;20;0;37
"320500 Serra";23;12;1;45;2;83
"320501 Sooretama";0;0;0;1;0;1
"320503 Vargem Alta";0;1;0;0;0;1
"320510 Viana";5;0;0;7;0;12
"320515 Vila Pavão";0;0;1;0;0;1
"320520 Vila Velha";37;10;9;48;3;107
"320530 Vitória";30;7;6;37;0;80
"320000 Município ignorado - ES";0;0;0;1;0;1
"Total";170;54;36;293;21;574
