 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: Acre
Período:2022
"Município (Res)";"Branca";"Preta";"Parda";"Indígena";"Total"
"120005 Assis Brasil";0;0;0;1;1
"120010 Brasiléia";0;0;5;0;5
"120020 Cruzeiro do Sul";1;1;6;0;8
"120025 Epitaciolândia";0;0;1;0;1
"120080 Porto Acre";0;0;1;0;1
"120040 Rio Branco";11;1;92;2;106
"120050 Sena Madureira";0;0;2;0;2
"120060 Tarauacá";0;0;1;0;1
"Total";12;2;108;3;125
