 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
Ano Diagnóstico: 2019
UF Residência: Ceará
Região Res.: Região Nordeste
UF Notificação: Ceará
Período:2019
"Município (Res)";"< 1 ano";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"231000 Palhano";0;0;0;0;0;1;0;0;0;0;0;0;1
"231020 Paracuru";0;0;0;0;0;2;2;0;2;0;0;0;6
"231025 Paraipaba";0;0;0;0;2;2;0;1;0;0;0;0;5
"231030 Parambu";0;0;0;0;1;0;1;1;0;0;0;0;3
"231050 Pedra Branca";0;0;0;0;0;0;0;1;0;0;0;0;1
"231060 Penaforte";0;0;0;0;0;0;0;0;1;0;0;0;1
"231070 Pentecoste";0;0;0;0;0;1;1;0;1;0;0;0;3
"231080 Pereiro";0;0;0;0;0;0;1;0;0;0;0;0;1
"231085 Pindoretama";0;0;0;0;0;0;3;0;0;0;0;0;3
"231090 Piquet Carneiro";0;0;0;0;0;1;0;0;0;0;0;0;1
"231110 Porteiras";0;0;0;0;0;0;1;0;0;0;0;0;1
"231130 Quixadá";0;0;0;0;0;3;2;0;3;0;0;0;8
"231140 Quixeramobim";0;0;0;0;0;0;1;0;0;0;0;0;1
"231160 Redenção";0;0;0;0;0;1;1;0;1;0;0;0;3
"231180 Russas";0;0;0;0;0;4;2;7;1;0;0;0;14
"231190 Saboeiro";0;0;0;0;0;0;1;1;0;0;0;0;2
"231220 Santa Quitéria";0;0;0;0;0;0;1;1;0;0;0;0;2
"231230 São Benedito";0;0;0;0;0;1;0;0;0;0;0;0;1
"231240 São Gonçalo do Amarante";0;0;1;0;0;1;3;1;1;0;0;0;7
"231250 São João do Jaguaribe";0;0;0;0;0;0;0;0;1;0;0;0;1
"231270 Senador Pompeu";0;0;0;0;0;0;1;1;1;0;0;0;3
"231290 Sobral";0;0;0;0;2;13;15;9;5;3;0;0;47
"231300 Solonópole";0;0;0;0;0;1;0;0;0;0;0;0;1
"231330 Tauá";0;0;0;0;0;1;0;0;0;0;0;0;1
"231340 Tianguá";0;0;0;0;0;0;3;1;1;0;0;0;5
"231350 Trairi";0;0;0;0;0;3;3;2;1;0;0;0;9
"231370 Umari";0;0;0;1;0;0;0;0;0;0;0;0;1
"231380 Uruburetama";0;0;0;0;0;1;1;2;0;0;0;0;4
"231390 Uruoca";0;0;0;0;0;1;0;0;0;0;0;0;1
"231400 Várzea Alegre";0;0;0;0;1;0;0;1;0;1;0;0;3
"231410 Viçosa do Ceará";0;0;0;0;0;1;2;0;0;0;0;0;3
"Total";3;5;4;5;31;379;435;297;176;61;18;2;1416
