 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
UF Residência: Rio de Janeiro
Período:2018
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"não se aplica";"Total"
"330010 Angra dos Reis";1;6;1;12;0;7;0;1;2;0;30
"330015 Aperibé";0;0;0;0;0;1;0;0;0;0;1
"330020 Araruama";1;0;2;0;5;3;4;1;0;0;16
"330023 Armação dos Búzios";0;0;0;0;0;1;1;1;1;0;4
"330025 Arraial do Cabo";0;0;0;0;0;0;1;0;1;0;2
"330030 Barra do Piraí";0;2;0;1;0;10;2;0;1;0;16
"330040 Barra Mansa";0;0;0;5;0;3;3;1;2;0;14
"330045 Belford Roxo";0;4;1;18;6;18;12;1;0;0;60
"330050 Bom Jardim";0;0;0;0;0;1;1;0;0;0;2
"330060 Bom Jesus do Itabapoana";0;0;0;1;0;1;0;0;1;0;3
"330070 Cabo Frio";0;1;1;4;1;7;4;0;5;0;23
"330080 Cachoeiras de Macacu";0;1;0;1;0;0;0;0;0;0;2
"330100 Campos dos Goytacazes";0;2;1;11;1;4;12;2;5;1;39
"330110 Cantagalo";0;0;0;0;1;2;0;0;0;0;3
"330093 Carapebus";0;0;0;1;0;1;0;0;0;0;2
"330115 Cardoso Moreira";0;0;0;1;0;1;0;0;0;0;2
"330130 Casimiro de Abreu";0;0;0;0;1;1;0;0;1;0;3
"330170 Duque de Caxias";4;33;14;44;25;27;11;5;15;0;178
"330185 Guapimirim";0;1;1;0;6;2;4;1;0;0;15
"330187 Iguaba Grande";0;0;1;0;0;0;0;0;0;0;1
"330190 Itaboraí";0;3;0;5;2;3;3;1;0;0;17
"330200 Itaguaí";1;0;0;1;0;1;1;0;2;0;6
"330205 Italva";0;0;0;1;0;0;0;0;0;0;1
"330220 Itaperuna";0;2;0;2;0;0;0;1;1;0;6
"330225 Itatiaia";0;1;0;0;0;0;0;0;1;0;2
"330227 Japeri";0;3;2;5;3;3;2;1;0;0;19
"330240 Macaé";3;6;1;7;1;6;6;3;6;0;39
"330245 Macuco";0;0;0;1;0;0;1;0;0;0;2
"330250 Magé";0;2;0;13;2;9;8;1;0;0;35
"330260 Mangaratiba";1;0;0;2;0;1;0;0;1;0;5
"330270 Maricá";0;3;0;6;1;3;3;1;2;0;19
"330285 Mesquita";1;3;1;6;1;7;7;1;3;0;30
"330290 Miguel Pereira";0;0;1;0;0;1;0;0;0;0;2
"330300 Miracema";0;0;0;0;0;1;0;0;0;0;1
"330310 Natividade";1;0;0;0;1;0;0;0;0;0;2
"330320 Nilópolis";0;1;1;6;3;3;2;0;2;0;18
"330330 Niterói";1;6;2;7;6;9;23;4;10;0;68
"330340 Nova Friburgo";0;0;2;5;2;2;8;0;1;0;20
"330350 Nova Iguaçu";4;18;9;25;14;19;26;5;6;0;126
"330360 Paracambi";0;0;0;1;0;2;0;1;0;0;4
"330370 Paraíba do Sul";0;1;0;2;2;1;0;0;0;0;6
"330390 Petrópolis";1;6;0;7;5;1;7;4;4;0;35
"330395 Pinheiral";0;1;0;0;0;0;0;0;1;0;2
"330400 Piraí";0;0;0;1;0;0;1;0;0;0;2
"330410 Porciúncula";0;0;1;0;0;0;1;0;0;0;2
"330411 Porto Real";0;0;0;0;0;0;0;0;2;0;2
"330414 Queimados";0;3;1;3;1;4;2;0;3;0;17
"330415 Quissamã";0;1;0;0;0;0;0;0;0;0;1
"330420 Resende";0;3;0;5;0;6;8;1;5;0;28
"330430 Rio Bonito";1;1;0;1;1;0;0;0;1;0;5
"330440 Rio Claro";0;0;0;1;0;0;0;0;0;0;1
"330450 Rio das Flores";0;0;0;0;0;1;0;0;0;0;1
"330452 Rio das Ostras";0;1;0;4;6;5;12;1;2;0;31
"330455 Rio de Janeiro";23;157;30;207;113;216;295;66;190;0;1297
"330470 Santo Antônio de Pádua";0;0;0;1;0;2;0;0;0;0;3
"330480 São Fidélis";0;1;0;0;0;1;0;0;1;0;3
"330475 São Francisco de Itabapoana";0;0;0;0;1;0;0;0;0;0;1
"330490 São Gonçalo";3;12;7;43;10;27;38;9;9;0;158
"330500 São João da Barra";1;1;0;0;1;0;2;0;0;0;5
"330510 São João de Meriti";3;11;5;20;2;13;22;3;5;0;84
"330520 São Pedro da Aldeia";0;1;0;2;0;3;1;1;5;0;13
"330540 Sapucaia";0;0;0;0;0;0;0;0;1;0;1
"330550 Saquarema";0;0;0;1;2;3;0;0;0;0;6
"330555 Seropédica";0;1;0;1;0;1;0;0;0;0;3
"330580 Teresópolis";0;3;0;4;0;1;2;0;2;0;12
"330590 Trajano de Morais";0;0;0;1;0;0;0;0;0;0;1
"330600 Três Rios";0;1;0;4;14;2;0;0;0;0;21
"330610 Valença";1;1;0;1;0;3;1;1;0;0;8
"330615 Varre-Sai";0;0;0;0;0;0;0;0;1;0;1
"330620 Vassouras";1;1;0;2;1;2;2;1;0;0;10
"330630 Volta Redonda";1;5;7;14;13;8;10;0;8;0;66
"Total";53;310;92;517;254;460;549;119;309;1;2664
