 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Roraima
Período:2024
"Município (Res)";"1-4";"5-9";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"Total"
"140005 Alto Alegre";0;0;1;0;1;2;0;0;0;4
"140002 Amajari";0;0;1;1;0;0;0;0;0;2
"140010 Boa Vista";0;0;3;73;70;48;22;8;1;225
"140015 Bonfim";0;0;0;0;1;0;1;0;0;2
"140017 Cantá";0;0;0;1;1;0;1;1;1;5
"140020 Caracaraí";0;0;0;1;1;1;1;0;0;4
"140023 Caroebe";0;0;0;1;0;0;0;0;0;1
"140030 Mucajaí";0;0;0;1;2;1;0;1;0;5
"140040 Normandia";0;0;0;2;1;0;0;0;0;3
"140045 Pacaraima";2;0;1;8;8;3;5;0;0;27
"140047 Rorainópolis";0;1;0;3;3;4;1;2;0;14
"140050 São João da Baliza";0;0;0;0;0;0;2;0;0;2
"140060 São Luiz";0;0;0;1;0;0;0;0;0;1
"140000 Município ignorado - RR";0;0;0;0;1;0;0;0;0;1
"Total";2;1;6;92;89;59;33;12;2;296
