 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: Rio Grande do Norte
Período:2015
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Ignorado";"Total"
"240020 Açu";1;0;0;7;0;8
"240060 Almino Afonso";1;0;0;0;0;1
"240070 Alto do Rodrigues";0;0;0;1;0;1
"240080 Angicos";0;0;1;2;0;3
"240090 Antônio Martins";0;0;0;2;0;2
"240100 Apodi";2;0;0;2;0;4
"240110 Areia Branca";0;0;0;2;0;2
"240130 Augusto Severo";0;0;0;2;0;2
"240145 Baraúna";1;0;0;3;0;4
"240150 Barcelona";0;0;0;1;0;1
"240200 Caicó";5;0;0;4;0;9
"240220 Canguaretama";1;0;0;2;0;3
"240260 Ceará-Mirim";0;0;0;2;0;2
"240270 Cerro Corá";0;0;0;2;0;2
"240280 Coronel Ezequiel";0;0;0;1;0;1
"240310 Currais Novos";0;0;0;1;0;1
"240360 Extremoz";0;0;0;4;0;4
"240400 Frutuoso Gomes";1;0;0;0;0;1
"240440 Grossos";1;0;0;0;0;1
"240450 Guamaré";0;0;0;1;0;1
"240470 Ipanguaçu";0;0;0;2;0;2
"240485 Itajá";1;0;0;1;0;2
"240560 Jardim de Piranhas";1;0;0;0;0;1
"240600 José da Penha";0;0;0;1;0;1
"240610 Jucurutu";1;0;0;1;0;2
"240670 Lajes";0;0;0;1;0;1
"240710 Macaíba";3;0;0;7;0;10
"240720 Macau";0;0;0;1;0;1
"240740 Martins";0;1;0;0;0;1
"240800 Mossoró";21;3;0;32;1;57
"240810 Natal";79;18;3;182;0;282
"240820 Nísia Floresta";0;0;0;1;0;1
"240830 Nova Cruz";1;0;0;2;0;3
"240325 Parnamirim";13;0;0;21;0;34
"240930 Patu";2;0;0;1;0;3
"240940 Pau dos Ferros";1;0;0;1;0;2
"240990 Pendências";0;0;0;2;0;2
"241010 Poço Branco";0;0;0;1;0;1
"241090 Riachuelo";0;0;0;1;0;1
"241120 Santa Cruz";0;0;0;1;0;1
"241150 Santo Antônio";0;0;0;1;0;1
"241190 São Francisco do Oeste";1;0;0;1;0;2
"241200 São Gonçalo do Amarante";2;0;0;6;0;8
"241220 São José de Mipibu";2;1;0;6;0;9
"241230 São José do Campestre";0;0;0;2;0;2
"241280 São Rafael";3;0;0;0;1;4
"241355 Serrinha dos Pintos";0;0;0;1;0;1
"241400 Tangará";1;0;0;0;0;1
"241420 Tibau do Sul";0;0;0;1;0;1
"241450 Umarizal";1;0;0;1;0;2
"241480 Vera Cruz";0;0;0;1;0;1
"241500 Vila Flor";0;0;0;1;0;1
"Total";146;23;4;319;2;494
