 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Rio Grande do Norte
Período:2015
"Município (Res)";"< 1 ano";"1-4";"5-9";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"Total"
"240020 Açu";0;0;0;0;5;3;0;0;0;0;8
"240060 Almino Afonso";0;0;0;0;1;0;0;0;0;0;1
"240070 Alto do Rodrigues";0;0;0;0;0;0;1;0;0;0;1
"240080 Angicos";0;0;0;0;0;0;1;1;0;1;3
"240090 Antônio Martins";0;0;0;1;1;0;0;0;0;0;2
"240100 Apodi";0;0;0;0;1;1;1;1;0;0;4
"240110 Areia Branca";0;0;0;0;1;0;0;0;0;1;2
"240130 Augusto Severo";0;0;0;0;0;0;2;0;0;0;2
"240145 Baraúna";0;0;0;0;0;1;1;2;0;0;4
"240150 Barcelona";0;0;0;0;0;0;1;0;0;0;1
"240200 Caicó";0;0;0;0;2;4;0;1;2;0;9
"240220 Canguaretama";0;0;0;0;0;1;1;1;0;0;3
"240260 Ceará-Mirim";0;0;0;0;1;1;0;0;0;0;2
"240270 Cerro Corá";0;0;0;0;0;1;1;0;0;0;2
"240280 Coronel Ezequiel";0;0;0;0;0;0;0;1;0;0;1
"240310 Currais Novos";0;0;0;0;1;0;0;0;0;0;1
"240360 Extremoz";0;0;0;1;1;1;1;0;0;0;4
"240400 Frutuoso Gomes";0;0;0;0;1;0;0;0;0;0;1
"240440 Grossos";0;0;0;0;0;0;0;1;0;0;1
"240450 Guamaré";0;0;0;0;0;1;0;0;0;0;1
"240470 Ipanguaçu";0;0;0;0;0;0;2;0;0;0;2
"240485 Itajá";0;0;0;0;0;2;0;0;0;0;2
"240560 Jardim de Piranhas";0;0;0;0;0;1;0;0;0;0;1
"240600 José da Penha";0;0;0;0;0;0;0;0;1;0;1
"240610 Jucurutu";0;0;0;0;2;0;0;0;0;0;2
"240670 Lajes";0;0;0;0;0;0;0;1;0;0;1
"240710 Macaíba";0;0;0;1;3;3;0;1;1;1;10
"240720 Macau";0;0;0;0;0;0;0;1;0;0;1
"240740 Martins";0;0;0;0;0;0;1;0;0;0;1
"240800 Mossoró";0;0;0;1;13;17;13;8;4;1;57
"240810 Natal";3;4;1;12;79;82;61;25;12;3;282
"240820 Nísia Floresta";0;0;0;0;0;1;0;0;0;0;1
"240830 Nova Cruz";0;0;0;0;1;1;0;1;0;0;3
"240325 Parnamirim";1;0;0;0;11;15;5;1;1;0;34
"240930 Patu";0;0;0;0;1;1;1;0;0;0;3
"240940 Pau dos Ferros";0;0;0;0;0;0;1;1;0;0;2
"240990 Pendências";0;0;0;0;0;1;1;0;0;0;2
"241010 Poço Branco";0;0;0;0;0;0;1;0;0;0;1
"241090 Riachuelo";0;0;0;0;0;1;0;0;0;0;1
"241120 Santa Cruz";0;0;0;0;1;0;0;0;0;0;1
"241150 Santo Antônio";0;0;0;0;0;1;0;0;0;0;1
"241190 São Francisco do Oeste";0;0;0;0;1;0;0;1;0;0;2
"241200 São Gonçalo do Amarante";0;0;1;0;4;1;2;0;0;0;8
"241220 São José de Mipibu";0;0;0;0;0;3;4;2;0;0;9
"241230 São José do Campestre";0;0;0;0;1;1;0;0;0;0;2
"241280 São Rafael";0;0;0;0;0;4;0;0;0;0;4
"241355 Serrinha dos Pintos";0;0;0;0;1;0;0;0;0;0;1
"241400 Tangará";0;0;0;0;1;0;0;0;0;0;1
"241420 Tibau do Sul";0;0;0;0;1;0;0;0;0;0;1
"241450 Umarizal";0;0;0;0;0;2;0;0;0;0;2
"241480 Vera Cruz";0;0;0;0;0;0;0;1;0;0;1
"241500 Vila Flor";0;0;0;0;0;0;1;0;0;0;1
"Total";4;4;2;16;135;151;103;51;21;7;494
