 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Amapá
Período:2015
"Município (Res)";"1-4";"5-9";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"80 e mais";"Total"
"160010 Amapá";0;0;0;1;0;0;0;0;0;1
"160020 Calçoene";0;0;0;0;0;1;0;0;0;1
"160023 Ferreira Gomes";0;0;0;1;0;0;0;0;0;1
"160027 Laranjal do Jari";0;0;0;1;0;0;0;0;0;1
"160030 Macapá";1;2;2;32;39;28;19;2;0;125
"160050 Oiapoque";0;0;0;0;0;3;1;0;0;4
"160015 Pedra Branca do Amapari";0;0;1;0;1;1;0;0;1;4
"160060 Santana";0;0;0;3;1;1;1;1;0;7
"160070 Tartarugalzinho";0;0;0;0;1;0;0;0;0;1
"160080 Vitória do Jari";0;0;0;0;0;1;0;0;0;1
"Total";1;2;3;38;42;35;21;3;1;146
