 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: Amapá
Período:2015
"Município (Res)";"Branca";"Preta";"Parda";"Ignorado";"Total"
"160010 Amapá";0;0;1;0;1
"160020 Calçoene";0;0;1;0;1
"160023 Ferreira Gomes";0;0;1;0;1
"160027 Laranjal do Jari";0;0;1;0;1
"160030 Macapá";26;11;87;1;125
"160050 Oiapoque";0;1;3;0;4
"160015 Pedra Branca do Amapari";0;0;4;0;4
"160060 Santana";0;0;6;1;7
"160070 Tartarugalzinho";0;0;1;0;1
"160080 Vitória do Jari";0;0;1;0;1
"Total";26;12;106;2;146
