 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Tocantins
Período:2022
"Município (Res)";"< 1 ano";"1-4";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"Total"
"170035 Aliança do Tocantins";0;0;0;0;1;0;0;0;0;1
"170070 Alvorada";0;0;0;1;0;0;0;0;0;1
"170100 Ananás";0;0;0;0;0;1;0;0;0;1
"170210 Araguaína";0;0;3;23;16;17;8;3;1;71
"170215 Araguanã";0;0;0;0;0;0;0;1;0;1
"170220 Araguatins";0;0;0;0;0;0;1;0;0;1
"170510 Chapada da Natividade";0;0;0;1;0;0;0;0;0;1
"170550 Colinas do Tocantins";0;0;0;0;0;0;2;0;0;2
"170610 Cristalândia";0;0;0;1;0;1;0;0;0;2
"170650 Darcinópolis";0;0;0;0;0;0;0;0;1;1
"170700 Dianópolis";0;0;0;0;1;0;2;0;0;3
"170710 Divinópolis do Tocantins";0;0;0;0;0;1;0;0;0;1
"170950 Gurupi";0;0;2;5;6;6;1;3;0;23
"171190 Lagoa da Confusão";0;0;0;0;1;0;0;0;0;1
"171200 Lajeado";0;0;0;0;0;0;1;0;0;1
"171420 Natividade";0;0;0;0;0;1;0;0;0;1
"172100 Palmas";1;1;2;37;28;16;9;3;1;98
"171380 Palmeiras do Tocantins";0;0;0;0;0;0;0;0;1;1
"171610 Paraíso do Tocantins";0;0;1;1;2;2;1;0;0;7
"171650 Pedro Afonso";0;0;0;0;0;0;1;0;0;1
"171750 Pium";0;0;0;2;0;1;0;0;0;3
"171820 Porto Nacional";0;0;0;1;2;0;2;0;0;5
"171855 Riachinho";0;0;0;0;0;1;0;0;0;1
"171870 Rio dos Bois";0;0;0;0;0;1;0;0;0;1
"172020 São Miguel do Tocantins";0;0;0;0;0;1;0;0;0;1
"172065 Silvanópolis";0;0;0;0;0;1;0;0;0;1
"172090 Taguatinga";0;0;0;0;0;1;0;0;0;1
"172120 Tocantinópolis";0;0;0;0;0;0;0;1;0;1
"Total";1;1;8;72;57;51;28;11;4;233
