 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: Tocantins
Período:2022
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Ignorado";"Total"
"170035 Aliança do Tocantins";1;0;0;0;0;1
"170070 Alvorada";0;0;0;1;0;1
"170100 Ananás";0;0;0;1;0;1
"170210 Araguaína";10;2;0;58;1;71
"170215 Araguanã";0;0;0;1;0;1
"170220 Araguatins";0;0;0;1;0;1
"170510 Chapada da Natividade";0;1;0;0;0;1
"170550 Colinas do Tocantins";0;0;0;2;0;2
"170610 Cristalândia";1;0;0;1;0;2
"170650 Darcinópolis";0;0;0;1;0;1
"170700 Dianópolis";2;0;0;1;0;3
"170710 Divinópolis do Tocantins";0;0;0;1;0;1
"170950 Gurupi";2;0;1;20;0;23
"171190 Lagoa da Confusão";1;0;0;0;0;1
"171200 Lajeado";1;0;0;0;0;1
"171420 Natividade";0;0;0;1;0;1
"172100 Palmas";33;11;3;50;1;98
"171380 Palmeiras do Tocantins";0;0;0;1;0;1
"171610 Paraíso do Tocantins";0;0;0;7;0;7
"171650 Pedro Afonso";0;0;0;1;0;1
"171750 Pium";0;0;0;3;0;3
"171820 Porto Nacional";0;0;0;5;0;5
"171855 Riachinho";0;0;0;1;0;1
"171870 Rio dos Bois";0;0;0;1;0;1
"172020 São Miguel do Tocantins";0;0;0;1;0;1
"172065 Silvanópolis";1;0;0;0;0;1
"172090 Taguatinga";0;0;0;1;0;1
"172120 Tocantinópolis";0;0;0;1;0;1
"Total";52;14;4;161;2;233
