 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
Ano Diagnóstico: 2015
UF Residência: Paraíba
Região Res.: Região Nordeste
UF Notificação: Paraíba
Período:2015
"Município (Res)";"< 1 ano";"1-4";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"Total"
"250010 Água Branca";0;0;0;0;0;1;0;0;0;0;1
"250030 Alagoa Grande";0;0;0;0;0;2;0;0;0;0;2
"250050 Alagoinha";0;0;0;0;1;0;0;0;0;0;1
"250080 Araçagi";0;0;0;0;1;0;0;0;0;0;1
"250090 Arara";0;0;0;1;0;0;0;0;0;0;1
"250110 Areia";0;0;0;0;1;0;0;0;0;0;1
"250140 Baía da Traição";0;0;0;0;0;1;0;0;0;0;1
"250180 Bayeux";0;0;0;0;1;2;0;2;1;0;6
"250190 Belém";0;0;0;0;1;0;0;0;0;0;1
"250200 Belém do Brejo do Cruz";0;0;0;1;0;0;0;0;0;0;1
"250220 Bom Jesus";0;0;0;0;0;1;0;0;0;0;1
"250320 Cabedelo";0;0;0;1;2;3;1;1;0;0;8
"250350 Cacimba de Dentro";0;0;0;0;0;0;1;0;0;0;1
"250370 Cajazeiras";0;0;0;0;1;1;0;0;0;0;2
"250400 Campina Grande";2;0;1;1;10;22;13;8;1;1;59
"250403 Capim";0;0;0;1;0;0;0;0;0;0;1
"250430 Catolé do Rocha";0;0;0;0;0;0;1;0;0;0;1
"250435 Caturité";0;0;0;0;0;0;1;0;0;0;1
"250440 Conceição";0;0;0;0;0;0;0;1;0;0;1
"250460 Conde";0;0;0;0;2;2;1;3;0;0;8
"250490 Cruz do Espírito Santo";0;0;0;0;0;2;0;1;0;0;3
"250500 Cubati";0;0;0;0;1;0;1;0;0;0;2
"250510 Cuité";0;0;0;0;0;1;0;0;0;0;1
"250520 Cuitegi";0;0;0;0;1;0;0;0;0;0;1
"250570 Dona Inês";0;0;0;0;0;0;1;0;0;0;1
"250600 Esperança";0;0;0;0;0;1;1;0;0;0;2
"250630 Guarabira";0;0;0;0;2;2;1;0;0;0;5
"250640 Gurinhém";0;0;0;0;0;1;0;0;0;0;1
"250690 Itabaiana";0;0;0;0;0;1;0;0;0;0;1
"250710 Itapororoca";0;0;0;0;0;0;1;0;0;0;1
"250720 Itatuba";0;0;0;0;0;0;1;0;0;0;1
"250740 Jericó";0;0;0;1;0;0;0;0;0;0;1
"250750 João Pessoa";0;3;1;14;109;108;67;39;9;3;353
"250760 Juarez Távora";0;0;0;0;0;1;0;0;0;0;1
"250780 Junco do Seridó";0;0;0;0;0;0;1;0;0;0;1
"250790 Juripiranga";0;0;0;0;2;0;0;0;0;0;2
"250820 Lagoa de Dentro";0;0;0;0;0;1;0;0;0;0;1
"250830 Lagoa Seca";0;0;0;0;2;0;0;0;0;0;2
"250850 Livramento";0;0;0;0;0;0;0;1;0;0;1
"250890 Mamanguape";0;0;0;0;1;2;2;0;0;0;5
"250905 Marcação";0;0;0;0;0;1;0;1;0;0;2
"250910 Mari";0;0;0;0;1;0;0;0;0;0;1
"250915 Marizópolis";0;0;0;0;0;2;0;0;0;0;2
"250920 Massaranduba";0;0;0;0;1;0;0;1;0;0;2
"250930 Mataraca";0;0;0;0;0;0;1;0;0;0;1
"251080 Patos";0;0;0;0;2;1;2;0;0;0;5
"251100 Pedra Branca";0;0;0;0;0;0;1;0;0;0;1
"251190 Pitimbu";0;0;0;0;0;2;1;0;1;0;4
"251210 Pombal";0;0;0;0;3;0;0;0;0;0;3
"251250 Queimadas";0;0;0;0;1;1;1;0;1;0;4
"251270 Remígio";0;0;0;0;0;0;1;0;0;0;1
"251280 Riacho dos Cavalos";0;0;0;0;1;0;0;0;0;0;1
"251290 Rio Tinto";0;0;1;1;1;0;0;0;0;0;3
"251370 Santa Rita";0;0;0;0;1;6;3;0;1;0;11
"251390 São Bento";0;0;0;0;1;1;0;0;0;0;2
"251400 São João do Cariri";0;0;0;0;0;1;0;0;0;0;1
"251420 São José da Lagoa Tapada";0;0;0;0;0;0;0;1;0;0;1
"251460 São José do Bonfim";0;0;0;0;0;1;0;0;0;0;1
"251510 São Sebastião de Lagoa de Roça";0;0;0;0;0;1;1;0;0;0;2
"251530 Sapé";0;0;0;0;0;1;0;0;0;0;1
"251540 Seridó";0;0;0;0;0;1;0;1;0;0;2
"251600 Solânea";0;0;0;0;0;0;0;0;0;1;1
"251610 Soledade";0;0;0;0;1;0;0;0;0;0;1
"251620 Sousa";0;0;0;0;2;3;2;0;0;0;7
"251630 Sumé";0;0;0;0;1;1;0;0;0;0;2
"251670 Teixeira";0;0;0;0;0;0;0;1;0;0;1
"Total";2;3;3;21;154;178;107;61;14;5;548
