 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
UF Residência: Minas Gerais
Período:2015
"Município (Res)";"Masculino";"Feminino";"Ignorado";"Total"
"314000 Mariana";1;5;0;6
"314050 Martinho Campos";1;0;0;1
"314053 Martins Soares";1;0;0;1
"314070 Mateus Leme";3;0;0;3
"314080 Matias Barbosa";0;1;0;1
"314110 Matozinhos";5;1;0;6
"314140 Medina";1;0;0;1
"314270 Montalvânia";1;0;0;1
"314300 Monte Belo";0;1;0;1
"314310 Monte Carmelo";2;1;0;3
"314330 Montes Claros";28;11;0;39
"314350 Morada Nova de Minas";1;0;0;1
"314390 Muriaé";22;9;0;31
"314410 Muzambinho";1;0;0;1
"314430 Nanuque";2;2;0;4
"314470 Nova Era";1;1;0;2
"314480 Nova Lima";7;4;0;11
"314510 Nova Resende";1;1;0;2
"314520 Nova Serrana";2;4;0;6
"313660 Nova União";1;0;0;1
"314530 Novo Cruzeiro";0;1;0;1
"314535 Novo Oriente de Minas";2;0;0;2
"314560 Oliveira";5;1;0;6
"314587 Orizânia";1;0;0;1
"314600 Ouro Fino";1;0;0;1
"314610 Ouro Preto";7;0;0;7
"314630 Padre Paraíso";4;0;0;4
"314690 Papagaios";0;1;0;1
"314710 Pará de Minas";2;4;0;6
"314700 Paracatu";5;0;0;5
"314730 Paraisópolis";2;1;0;3
"314740 Paraopeba";3;1;0;4
"314760 Passa Quatro";1;0;0;1
"314790 Passos";12;4;0;16
"314800 Patos de Minas";17;3;0;20
"314810 Patrocínio";2;2;0;4
"314850 Pavão";0;1;0;1
"314860 Peçanha";1;0;0;1
"314870 Pedra Azul";2;0;0;2
"314900 Pedra Dourada";0;2;0;2
"314930 Pedro Leopoldo";2;4;0;6
"314950 Pequeri";1;0;0;1
"314980 Perdizes";1;0;0;1
"315020 Piedade de Ponte Nova";0;1;0;1
"315060 Piracema";1;0;0;1
"315120 Pirapora";7;2;0;9
"315140 Pitangui";2;0;0;2
"315150 Piumhi";2;0;0;2
"315180 Poços de Caldas";8;6;0;14
"315200 Pompéu";3;1;0;4
"315210 Ponte Nova";8;6;0;14
"315217 Ponto dos Volantes";0;1;0;1
"315220 Porteirinha";1;0;0;1
"315250 Pouso Alegre";27;2;0;29
"315280 Prata";3;1;0;4
"315290 Pratápolis";1;0;0;1
"315340 Presidente Olegário";1;0;0;1
"315390 Raposos";0;1;0;1
"315400 Raul Soares";1;0;0;1
"315430 Resplendor";1;0;0;1
"315460 Ribeirão das Neves";36;17;0;53
"315560 Rio Pardo de Minas";0;1;0;1
"315630 Rodeiro";0;2;0;2
"315670 Sabará";12;3;0;15
"315720 Santa Bárbara";0;1;0;1
"315750 Santa Efigênia de Minas";0;1;0;1
"315770 Santa Juliana";0;1;0;1
"315780 Santa Luzia";14;10;0;24
"315800 Santa Maria de Itabira";0;1;0;1
"315810 Santa Maria do Salto";0;1;0;1
"315820 Santa Maria do Suaçuí";1;0;0;1
"315920 Santa Rita de Caldas";1;0;0;1
"315960 Santa Rita do Sapucaí";1;2;0;3
"315970 Santa Rosa da Serra";1;0;0;1
"315980 Santa Vitória";1;3;0;4
"315895 Santana do Paraíso";1;1;0;2
"315990 Santo Antônio do Amparo";0;1;0;1
"316070 Santos Dumont";4;0;0;4
"316100 São Domingos do Prata";1;1;0;2
"316110 São Francisco";0;4;0;4
"316130 São Francisco de Sales";1;0;0;1
"316165 São Geraldo do Baixio";0;1;0;1
"316190 São Gonçalo do Rio Abaixo";1;0;0;1
"316200 São Gonçalo do Sapucaí";2;0;0;2
"316210 São Gotardo";2;0;0;2
"316225 São João da Lagoa";1;0;0;1
"316240 São João da Ponte";1;0;0;1
"316250 São João del Rei";9;1;0;10
"316265 São João do Pacuí";1;0;0;1
"316280 São João Evangelista";1;0;0;1
"316290 São João Nepomuceno";0;1;0;1
"316292 São Joaquim de Bicas";2;2;0;4
"316295 São José da Lapa";1;1;0;2
"316330 São José do Divino";1;0;0;1
"316370 São Lourenço";6;2;0;8
"316440 São Sebastião da Bela Vista";1;0;0;1
"316470 São Sebastião do Paraíso";13;2;0;15
"316490 São Sebastião do Rio Verde";1;0;0;1
"316520 São Thomé das Letras";0;1;0;1
"316553 Sarzedo";4;0;0;4
"316640 Seritinga";1;1;0;2
"316680 Serra do Salitre";0;1;0;1
"316670 Serra dos Aimorés";1;0;0;1
"316720 Sete Lagoas";46;22;0;68
"316760 Simonésia";1;1;0;2
"316860 Teófilo Otoni";26;15;0;41
"316870 Timóteo";7;4;0;11
"316900 Tocantins";1;1;0;2
"316920 Tombos";2;0;0;2
"316930 Três Corações";17;4;0;21
"316935 Três Marias";2;1;0;3
"316940 Três Pontas";7;2;0;9
"316960 Tupaciguara";1;1;0;2
"316990 Ubá";7;2;0;9
"317010 Uberaba";78;37;0;115
"317020 Uberlândia";190;52;0;242
"317040 Unaí";3;2;0;5
"317070 Varginha";14;4;0;18
"317080 Várzea da Palma";2;0;0;2
"317090 Varzelândia";1;0;0;1
"317120 Vespasiano";26;10;0;36
"317130 Viçosa";8;1;0;9
"317160 Virgem da Lapa";1;0;0;1
"317190 Virgolândia";1;0;0;1
"317200 Visconde do Rio Branco";4;1;0;5
"310000 Município ignorado - MG";0;0;1;1
"Total";2066;773;1;2840
