 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Sergipe
Período:2018
"Município (Res)";"1-4";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"280030 Aracaju";1;4;85;88;59;36;9;1;1;284
"280040 Arauá";0;0;0;1;0;0;0;0;0;1
"280060 Barra dos Coqueiros";0;0;1;2;1;2;1;0;0;7
"280067 Boquim";0;0;1;0;0;0;0;0;0;1
"280100 Campo do Brito";0;0;2;0;0;1;0;0;0;3
"280120 Canindé de São Francisco";0;0;0;1;1;0;0;0;0;2
"280130 Capela";0;0;0;1;2;0;0;0;0;3
"280150 Carmópolis";0;0;1;0;0;1;0;0;0;2
"280160 Cedro de São João";0;0;0;1;1;1;0;0;0;3
"280170 Cristinápolis";0;0;1;1;0;0;0;0;0;2
"280190 Cumbe";0;0;0;1;1;0;0;0;0;2
"280200 Divina Pastora";0;0;0;1;0;0;0;0;0;1
"280210 Estância";0;0;2;3;0;1;0;0;0;6
"280220 Feira Nova";0;0;0;1;0;0;0;0;0;1
"280230 Frei Paulo";0;0;1;0;0;0;0;0;0;1
"280280 Indiaroba";0;0;0;1;0;0;0;0;0;1
"280290 Itabaiana";0;1;1;3;2;0;1;0;0;8
"280300 Itabaianinha";0;0;1;1;0;0;0;0;0;2
"280320 Itaporanga d'Ajuda";0;0;0;0;1;0;1;0;0;2
"280330 Japaratuba";0;0;0;1;0;0;0;0;0;1
"280350 Lagarto";0;0;1;3;1;1;1;0;0;7
"280360 Laranjeiras";0;0;0;1;0;0;0;0;0;1
"280390 Malhador";0;0;0;2;0;0;0;0;0;2
"280410 Moita Bonita";0;0;0;0;1;0;0;0;0;1
"280430 Muribeca";0;0;1;0;0;0;0;0;0;1
"280440 Neópolis";0;0;0;1;1;0;0;0;0;2
"280445 Nossa Senhora Aparecida";0;0;0;1;0;0;0;0;0;1
"280450 Nossa Senhora da Glória";0;0;0;1;1;0;0;0;0;2
"280460 Nossa Senhora das Dores";0;1;2;1;0;2;0;0;0;6
"280480 Nossa Senhora do Socorro";1;2;2;7;11;5;3;1;0;32
"280550 Poço Verde";0;0;0;2;0;1;0;0;0;3
"280560 Porto da Folha";0;0;1;0;1;0;0;0;0;2
"280570 Propriá";0;0;2;1;2;0;0;0;0;5
"280660 Santo Amaro das Brotas";0;0;0;0;1;0;0;0;0;1
"280670 São Cristóvão";0;0;1;0;1;2;0;0;0;4
"280750 Tomar do Geru";0;0;0;0;0;0;1;0;0;1
"280760 Umbaúba";0;0;0;2;1;0;0;0;0;3
"Total";2;8;106;129;89;53;17;2;1;407
