 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
UF Residência: São Paulo
Período:2023
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"não se aplica";"Total"
"350010 Adamantina";0;0;0;0;0;0;2;0;0;0;2
"350030 Aguaí";0;0;0;1;0;0;0;0;0;0;1
"350050 Águas de Lindóia";0;0;0;0;0;0;1;0;0;0;1
"350070 Agudos";0;0;1;0;0;0;1;0;0;0;2
"350140 Álvaro de Carvalho";0;0;0;1;0;0;0;0;0;0;1
"350160 Americana";0;0;2;0;0;4;7;1;5;0;19
"350170 Américo Brasiliense";0;0;2;0;0;2;1;0;1;0;6
"350190 Amparo";0;0;0;1;0;0;1;0;0;0;2
"350210 Andradina";0;0;0;3;1;1;2;0;1;0;8
"350220 Angatuba";0;1;0;0;0;0;0;0;0;0;1
"350240 Anhumas";0;0;0;0;0;0;1;0;0;0;1
"350250 Aparecida";0;0;0;0;0;1;2;0;0;0;3
"350260 Aparecida d'Oeste";0;0;0;0;0;0;0;0;1;0;1
"350270 Apiaí";0;1;0;0;0;0;0;0;0;0;1
"350275 Araçariguama";0;0;0;1;0;0;0;0;0;0;1
"350280 Araçatuba";1;2;1;7;3;8;13;5;4;0;44
"350290 Araçoiaba da Serra";0;0;0;0;0;0;0;0;1;0;1
"350300 Aramina";0;0;0;0;1;0;0;0;0;0;1
"350320 Araraquara";0;1;2;3;3;2;11;0;9;0;31
"350330 Araras";1;0;0;4;3;1;6;0;2;0;17
"350380 Artur Nogueira";0;0;0;0;0;0;2;0;0;0;2
"350390 Arujá";0;0;0;1;0;1;0;0;0;0;2
"350400 Assis";1;1;0;0;0;0;4;2;2;0;10
"350410 Atibaia";1;0;1;2;1;2;3;2;2;0;14
"350440 Avanhandava";0;0;0;0;2;0;0;0;0;0;2
"350450 Avaré";0;0;0;1;0;0;3;1;2;0;7
"350480 Bálsamo";0;0;0;0;0;0;1;0;0;0;1
"350520 Bariri";0;0;0;0;0;0;1;0;0;0;1
"350550 Barretos";0;1;1;3;7;1;3;0;3;0;19
"350560 Barrinha";0;0;1;0;0;0;1;0;0;0;2
"350570 Barueri";0;3;2;5;10;14;22;4;6;0;66
"350580 Bastos";0;0;0;1;0;0;0;0;0;0;1
"350590 Batatais";0;0;0;1;0;1;0;0;0;0;2
"350600 Bauru";1;3;3;10;8;9;31;3;10;0;78
"350610 Bebedouro";0;0;1;3;1;1;3;0;1;1;11
"350635 Bertioga";0;1;0;0;0;1;6;1;0;0;9
"350640 Bilac";0;0;0;0;0;1;0;0;0;0;1
"350650 Birigui";0;0;0;3;0;1;10;0;0;0;14
"350690 Bofete";0;0;0;0;0;0;1;0;0;0;1
"350700 Boituva";0;0;0;0;0;0;0;0;1;0;1
"350715 Bom Sucesso de Itararé";0;0;0;0;0;0;1;0;0;0;1
"350730 Boracéia";0;0;0;0;1;0;0;0;0;0;1
"350740 Borborema";0;1;0;0;0;1;0;0;0;0;2
"350750 Botucatu";0;3;0;4;4;2;8;2;3;0;26
"350760 Bragança Paulista";0;0;0;0;2;4;3;3;5;0;17
"350790 Brotas";0;1;1;0;0;0;0;0;0;0;2
"350810 Buritama";0;0;0;0;0;1;0;0;0;0;1
"350840 Cabreúva";0;0;0;0;0;1;0;0;1;0;2
"350850 Caçapava";0;0;0;2;1;1;0;0;0;0;4
"350860 Cachoeira Paulista";0;0;0;0;0;0;2;0;0;0;2
"350900 Caieiras";0;0;0;0;0;1;2;0;1;0;4
"350910 Caiuá";0;0;0;1;0;0;0;0;0;0;1
"350920 Cajamar";0;0;0;2;0;1;4;0;2;0;9
"350930 Cajobi";0;0;1;0;0;0;0;0;0;0;1
"350940 Cajuru";0;0;0;0;0;1;0;0;0;0;1
"350950 Campinas";3;7;3;11;9;10;41;7;15;0;106
"350960 Campo Limpo Paulista";1;1;0;1;0;0;3;0;2;0;8
"350970 Campos do Jordão";0;0;0;0;3;0;3;0;0;0;6
"351040 Capivari";0;0;0;1;1;1;0;0;0;0;3
"351050 Caraguatatuba";0;0;1;4;2;7;15;2;2;0;33
"351060 Carapicuíba";2;1;0;3;2;8;15;4;3;0;38
"351080 Casa Branca";0;0;0;2;0;0;1;0;0;0;3
"351110 Catanduva";1;4;0;1;4;2;4;0;4;0;20
"351140 Cerqueira César";0;0;0;1;0;0;1;0;0;0;2
"351150 Cerquilho";0;0;0;0;1;0;1;0;0;0;2
"355720 Chavantes";0;0;0;0;0;0;1;0;0;0;1
"351200 Colina";0;1;0;1;0;0;1;0;0;0;3
"351220 Conchal";0;0;0;0;0;0;0;0;1;0;1
"351280 Cosmópolis";0;0;0;0;0;2;1;0;0;0;3
"351300 Cotia";0;0;1;2;4;3;10;1;1;0;22
"351310 Cravinhos";0;0;0;0;1;1;0;0;0;0;2
"351340 Cruzeiro";0;1;0;0;2;1;4;1;1;0;10
"351350 Cubatão";0;1;2;6;0;4;4;0;0;0;17
"351370 Descalvado";0;0;0;0;1;0;0;0;0;0;1
"351380 Diadema";1;2;0;1;2;3;13;1;5;0;28
"351410 Dois Córregos";0;1;0;0;0;0;0;0;0;0;1
"351430 Dourado";0;0;0;0;0;0;1;0;0;0;1
"351440 Dracena";0;0;0;0;2;0;2;0;0;0;4
"351500 Embu";0;1;2;3;1;4;14;1;2;0;28
"351515 Engenheiro Coelho";0;0;0;0;0;0;1;0;0;0;1
"351518 Espírito Santo do Pinhal";0;0;0;1;0;1;1;1;0;0;4
"355730 Estiva Gerbi";0;0;0;0;0;0;1;0;0;0;1
"351550 Fernandópolis";0;1;1;1;0;2;3;0;1;0;9
"351570 Ferraz de Vasconcelos";0;0;0;4;2;1;7;0;3;0;17
"351600 Flórida Paulista";0;0;1;0;0;0;0;0;0;0;1
"351620 Franca";1;2;2;1;2;6;8;2;0;0;24
"351630 Francisco Morato";1;1;1;1;2;0;9;1;0;0;16
"351640 Franco da Rocha";0;1;0;0;4;2;8;1;1;0;17
"351660 Gália";0;0;0;0;0;0;1;0;0;0;1
"351670 Garça";0;0;0;1;0;0;0;0;1;0;2
"351690 General Salgado";0;1;0;0;0;0;0;0;0;0;1
"351700 Getulina";0;0;0;1;0;0;0;0;0;0;1
"351730 Guaimbê";0;0;0;0;0;0;2;0;0;0;2
"351740 Guaíra";1;1;0;0;1;0;0;0;0;0;3
"351770 Guará";0;1;0;0;0;0;0;0;0;0;1
"351780 Guaraçaí";0;0;0;0;0;0;0;0;1;0;1
"351790 Guaraci";0;1;0;0;0;1;0;0;0;0;2
"351810 Guarantã";0;0;0;0;0;0;1;0;0;0;1
"351820 Guararapes";0;0;0;0;0;0;1;0;0;0;1
"351830 Guararema";0;1;0;0;0;1;0;0;0;0;2
"351840 Guaratinguetá";0;1;1;3;3;1;12;0;3;0;24
"351850 Guareí";0;0;0;0;0;0;0;0;1;0;1
"351860 Guariba";0;0;0;0;0;0;0;0;1;0;1
"351870 Guarujá";0;4;2;9;6;6;12;3;3;0;45
"351880 Guarulhos";2;7;8;14;12;24;47;4;22;0;140
"351907 Hortolândia";2;0;0;4;2;6;4;0;0;0;18
"351930 Ibaté";0;0;0;0;1;0;3;0;0;0;4
"351950 Ibirarema";0;1;0;0;0;0;0;0;0;0;1
"351960 Ibitinga";0;0;0;0;0;2;2;0;1;0;5
"351970 Ibiúna";0;0;0;2;1;2;3;0;0;0;8
"352000 Igaraçu do Tietê";0;0;1;0;0;0;0;0;1;0;2
"352020 Igaratá";0;0;0;0;0;0;0;0;1;0;1
"352042 Ilha Comprida";0;0;0;1;0;2;0;0;1;0;4
"352040 Ilhabela";0;0;0;1;1;0;0;0;0;0;2
"352050 Indaiatuba";0;1;0;3;6;9;10;1;2;0;32
"352080 Inúbia Paulista";0;0;0;1;0;0;0;0;0;0;1
"352090 Ipaussu";0;0;0;1;0;0;0;0;0;0;1
"352190 Itajobi";0;0;0;1;0;1;0;0;0;0;2
"352210 Itanhaém";0;1;0;2;2;2;1;1;4;0;13
"352215 Itaóca";0;0;0;0;1;1;0;0;0;0;2
"352220 Itapecerica da Serra";0;1;0;2;0;0;4;0;0;0;7
"352230 Itapetininga";0;0;0;1;1;3;10;0;2;0;17
"352240 Itapeva";0;0;1;1;0;2;3;0;2;0;9
"352250 Itapevi";0;1;0;5;2;2;18;1;4;0;33
"352260 Itapira";1;0;0;1;0;3;4;0;0;0;9
"352270 Itápolis";1;0;0;0;0;1;0;0;0;0;2
"352280 Itaporanga";0;0;0;1;0;0;0;0;0;0;1
"352290 Itapuí";0;0;0;0;0;0;1;0;0;0;1
"352310 Itaquaquecetuba";0;1;1;2;2;4;16;1;0;0;27
"352320 Itararé";0;0;0;1;1;0;0;0;0;0;2
"352330 Itariri";0;0;0;0;0;0;1;0;0;0;1
"352340 Itatiba";0;0;0;1;0;0;4;0;1;0;6
"352390 Itu";0;0;0;0;2;3;7;2;3;0;17
"352400 Itupeva";0;0;0;0;0;0;1;0;0;0;1
"352410 Ituverava";0;1;1;0;1;0;0;0;0;0;3
"352420 Jaborandi";0;1;0;0;1;0;0;0;0;0;2
"352430 Jaboticabal";0;1;1;1;1;1;0;0;0;0;5
"352440 Jacareí";0;1;0;5;2;3;10;1;3;0;25
"352450 Jaci";0;0;0;0;0;0;1;0;0;0;1
"352470 Jaguariúna";1;0;0;0;0;0;0;0;0;0;1
"352480 Jales";0;1;3;2;0;0;3;0;0;0;9
"352500 Jandira";0;0;0;1;1;5;4;0;3;0;14
"352510 Jardinópolis";0;0;0;1;1;0;1;0;1;0;4
"352520 Jarinu";0;0;0;0;0;0;1;0;0;0;1
"352530 Jaú";0;1;0;0;0;4;11;1;2;0;19
"352570 José Bonifácio";0;0;0;1;0;1;0;0;1;0;3
"352590 Jundiaí";0;3;1;7;8;11;19;1;11;0;61
"352640 Laranjal Paulista";0;0;0;1;0;1;0;0;1;0;3
"352660 Lavrinhas";0;0;0;0;0;0;1;0;0;0;1
"352670 Leme";0;2;0;1;1;2;2;0;1;0;9
