 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: Amapá
Período:2025
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Total"
"160010 Amapá";0;0;0;7;0;7
"160020 Calçoene";0;0;0;1;0;1
"160027 Laranjal do Jari";2;0;0;5;0;7
"160030 Macapá";23;17;1;112;1;154
"160040 Mazagão";0;0;0;1;0;1
"160050 Oiapoque";0;1;0;5;2;8
"160015 Pedra Branca do Amapari";1;0;0;1;0;2
"160053 Porto Grande";0;1;0;2;1;4
"160060 Santana";1;3;1;12;0;17
"160070 Tartarugalzinho";0;0;0;2;0;2
"Total";27;22;2;148;4;203
