 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
Ano Diagnóstico: 2017
Ano Notificação: 2017
Região Res.: Região Nordeste
UF Notificação: Pernambuco
Região Not.: Região Nordeste
Período:2017
"Município (Res)";"< 1 ano";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"261110 Petrolina";0;0;0;0;2;18;28;9;9;2;0;0;68
"261140 Primavera";0;0;0;0;1;1;1;1;0;0;0;0;4
"261150 Quipapá";0;0;0;0;0;0;0;0;0;1;0;0;1
"261160 Recife";9;3;2;1;16;193;243;166;82;40;6;1;762
"261180 Ribeirão";0;0;0;0;0;1;1;3;0;0;0;0;5
"261190 Rio Formoso";0;0;0;0;1;0;2;0;0;0;0;0;3
"261220 Salgueiro";0;0;0;0;0;3;7;1;2;1;0;1;15
"261250 Santa Cruz do Capibaribe";0;0;0;0;0;1;3;1;0;0;0;0;5
"261270 Santa Maria do Cambucá";0;0;0;0;0;0;2;0;0;0;0;0;2
"261300 São Bento do Una";0;0;0;0;0;1;1;0;0;0;0;0;2
"261310 São Caitano";1;0;0;0;0;0;0;0;1;0;0;0;2
"261320 São João";0;0;0;0;0;0;0;1;0;0;0;0;1
"261340 São José da Coroa Grande";0;0;0;0;0;0;0;1;0;0;0;0;1
"261350 São José do Belmonte";0;0;0;0;0;0;2;0;0;0;0;0;2
"261370 São Lourenço da Mata";0;0;0;0;0;3;5;5;3;2;0;0;18
"261390 Serra Talhada";0;0;0;0;0;5;0;1;2;0;0;0;8
"261420 Sirinhaém";0;0;0;0;0;0;1;3;0;0;0;0;4
"261460 Tabira";0;0;0;0;0;0;0;1;0;0;0;0;1
"261480 Tacaratu";0;0;0;0;0;0;1;0;0;0;0;0;1
"261485 Tamandaré";0;0;0;0;0;0;0;2;0;1;0;0;3
"261500 Taquaritinga do Norte";0;0;0;0;0;0;1;1;0;0;0;1;3
"261530 Timbaúba";0;0;0;0;1;1;3;0;0;0;0;0;5
"261540 Toritama";0;0;0;0;0;0;1;1;0;0;0;0;2
"261560 Trindade";0;0;0;0;0;0;1;0;0;0;0;0;1
"261620 Vertentes";0;0;0;0;0;1;2;0;0;0;0;0;3
"261640 Vitória de Santo Antão";0;0;0;0;3;10;12;8;1;3;0;0;37
"261650 Xexéu";0;0;0;0;0;0;0;1;0;0;0;0;1
"260000 Município ignorado - PE";1;0;0;0;0;0;0;0;0;0;0;0;1
"Total";15;8;3;4;40;453;578;419;224;87;17;5;1853
