 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
UF Residência: São Paulo
Período:2025
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"Total"
"352220 Itapecerica da Serra";0;1;0;3;0;4;11;0;0;19
"352230 Itapetininga";0;0;0;0;0;6;7;0;2;15
"352240 Itapeva";0;0;0;2;0;1;0;0;0;3
"352250 Itapevi";0;0;0;2;1;2;10;0;3;18
"352260 Itapira";0;1;0;2;0;1;2;0;0;6
"352270 Itápolis";0;0;0;1;0;0;0;0;0;1
"352300 Itapura";0;0;0;0;0;0;1;0;0;1
"352310 Itaquaquecetuba";1;0;0;2;2;2;8;1;3;19
"352340 Itatiba";1;0;0;1;2;1;3;0;2;10
"352380 Itobi";1;0;0;0;0;0;0;0;0;1
"352390 Itu";3;0;0;1;1;0;4;1;2;12
"352410 Ituverava";0;1;0;0;0;2;0;0;0;3
"352430 Jaboticabal";0;0;0;1;1;0;0;0;0;2
"352440 Jacareí";2;0;0;0;0;0;3;0;4;9
"352470 Jaguariúna";0;0;0;0;0;0;1;0;0;1
"352480 Jales";0;0;0;1;0;1;2;0;1;5
"352500 Jandira";0;1;0;1;0;2;5;1;1;11
"352530 Jaú";1;0;0;2;0;3;3;0;3;12
"352590 Jundiaí";0;1;0;4;0;9;6;2;2;24
"352600 Junqueirópolis";0;0;0;1;0;0;1;0;0;2
"352640 Laranjal Paulista";0;0;0;1;0;0;0;0;0;1
"352650 Lavínia";0;0;0;0;0;1;0;0;0;1
"352670 Leme";1;0;0;0;1;1;3;0;0;6
"352680 Lençóis Paulista";0;1;0;0;0;0;0;1;0;2
"352690 Limeira";0;1;0;2;1;4;3;0;1;12
"352710 Lins";0;0;0;1;1;5;5;0;1;13
"352720 Lorena";0;0;0;0;0;2;5;0;1;8
"352830 Magda";0;0;0;0;0;0;1;0;0;1
"352840 Mairinque";0;0;0;1;0;0;1;0;0;2
"352850 Mairiporã";0;0;0;0;0;3;0;0;1;4
"352900 Marília";0;0;1;2;1;1;5;0;3;13
"352920 Martinópolis";0;0;0;0;0;0;0;0;1;1
"352930 Matão";0;0;0;0;0;5;1;0;0;6
"352940 Mauá";2;0;1;4;2;7;6;2;4;28
"353030 Mirassol";0;0;0;0;2;1;0;0;0;3
"353050 Mococa";0;0;0;1;0;5;2;0;0;8
"353060 Mogi das Cruzes";0;3;0;4;3;4;11;4;8;37
"353070 Mogi Guaçu";2;1;1;3;0;4;2;2;4;19
"353080 Moji Mirim";0;0;0;0;0;0;6;0;0;6
"353090 Mombuca";1;0;0;0;0;0;0;0;0;1
"353110 Mongaguá";0;0;1;0;1;2;4;0;1;9
"353130 Monte Alto";0;0;0;0;1;1;0;0;0;2
"353180 Monte Mor";0;0;0;0;0;0;1;0;0;1
"353190 Morro Agudo";0;0;0;0;0;0;0;1;0;1
"353300 Nova Granada";0;0;0;1;0;0;0;0;0;1
"353320 Nova Independência";0;0;0;1;0;0;0;0;0;1
"353340 Nova Odessa";0;1;0;1;0;0;0;0;0;2
"353350 Novo Horizonte";0;0;0;0;0;0;1;0;0;1
"353390 Olímpia";0;0;0;0;0;0;1;0;0;1
"353440 Osasco";0;0;2;7;0;6;13;0;5;33
"353470 Ourinhos";0;0;0;0;0;1;1;0;1;3
"353475 Ouroeste";0;0;0;0;1;0;0;0;0;1
"353550 Paraguaçu Paulista";0;0;0;1;1;0;1;0;0;3
"353620 Pariquera-Açu";0;0;0;0;0;0;1;0;0;1
"353650 Paulínia";0;0;0;1;0;0;4;2;4;11
"353710 Pedreira";0;1;0;0;0;0;0;0;0;1
"353730 Penápolis";0;0;0;0;0;1;0;0;2;3
"353760 Peruíbe";1;0;0;4;1;1;1;0;2;10
"353800 Pindamonhangaba";0;0;0;2;1;0;3;0;0;6
"353860 Piracaia";0;0;0;0;0;0;0;0;1;1
"353870 Piracicaba";1;0;2;3;2;4;10;3;4;29
"353890 Pirajuí";1;0;0;0;0;0;1;1;0;3
"353920 Pirapozinho";0;0;0;0;0;1;0;0;0;1
"353930 Pirassununga";0;0;0;0;1;0;3;0;0;4
"353980 Poá";0;0;0;1;0;1;1;0;2;5
"354000 Pompéia";0;0;0;0;0;0;1;0;0;1
"354020 Pontal";0;0;0;0;0;0;1;0;0;1
"354040 Populina";0;0;0;0;0;0;0;1;0;1
"354060 Porto Feliz";0;0;0;0;0;0;2;0;0;2
