 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: Tocantins
Período:2024
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Total"
"170030 Aguiarnópolis";0;0;0;1;0;1
"170100 Ananás";0;0;0;1;0;1
"170210 Araguaína";8;5;4;79;1;97
"170220 Araguatins";0;0;0;4;0;4
"170300 Babaçulândia";0;0;0;1;0;1
"170310 Barrolândia";0;0;0;1;0;1
"170388 Carmolândia";0;0;0;1;0;1
"171670 Colméia";0;0;0;2;0;2
"170950 Gurupi";4;2;0;15;0;21
"171190 Lagoa da Confusão";0;0;0;0;5;5
"171320 Miracema do Tocantins";1;0;0;0;0;1
"171370 Monte Santo do Tocantins";0;0;0;1;0;1
"172100 Palmas";16;3;10;60;1;90
"171610 Paraíso do Tocantins";1;1;0;14;0;16
"171650 Pedro Afonso";0;0;0;1;0;1
"171660 Peixe";0;1;0;1;0;2
"171820 Porto Nacional";2;1;0;6;0;9
"171886 Santa Fé do Araguaia";0;0;0;1;0;1
"172090 Taguatinga";0;0;0;4;0;4
"172110 Tocantínia";0;0;0;0;1;1
"172120 Tocantinópolis";1;0;0;1;0;2
"172210 Xambioá";0;0;0;1;0;1
"Total";33;13;14;195;8;263
